== hu
telegram.tokenLabel	Bot-token
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Érvénytelen tokenformátum
telegram.verifyButton	Ellenőrzés és kapcsolódás
telegram.verifiedToast	A @{{username}} bot kapcsolódott
telegram.verifyFailedToast	A Telegram elutasította ezt a tokent
telegram.disconnect	Kapcsolat bontása
telegram.disconnectedToast	A bot lekapcsolódott
telegram.disconnectConfirmTitle	Bontja a bot kapcsolatát?
telegram.disconnectConfirmMessage	A Telegram automatikus válaszadója addig nem működik, amíg újra nem kapcsol egy botot.
telegram.gateTooltip	Először kapcsoljon botot
telegram.statsPending	Az automatikus válaszadó indulásakor jelenik meg
telegram.instructionTitle	Token igénylése
telegram.instructionStep1	Nyissa meg a @BotFather alkalmazást a Telegramban
telegram.instructionStep2	Küldje el a /newbot parancsot, majd válasszon nevet és felhasználónevet a botnak
telegram.instructionStep3	Másolja ki a kapott tokent
telegram.instructionStep4	Illessze be ide, és kattintson az „Ellenőrzés és kapcsolódás” gombra
instagram.connectButton	Instagram kapcsolása
instagram.connectedToast	Az Instagram kapcsolódott
instagram.connectErrorToast	Az Instagram kapcsolása nem sikerült — próbálja újra
instagram.expiresUntil	A hozzáférés {{date}} napjáig érvényes
instagram.disconnect	Kapcsolat bontása
instagram.disconnectedToast	Az Instagram lekapcsolódott
instagram.disconnectConfirmTitle	Bontja az Instagram kapcsolatát?
instagram.disconnectConfirmMessage	Az Instagram automatikus válaszadója addig nem válaszol az ügyfeleknek, amíg újra nem kapcsolja a fiókot.
instagram.gateTooltip	Először kapcsoljon fiókot
instagram.statsPending	Az automatikus válaszadó indulásakor jelenik meg
instagram.instructionTitle	Kapcsolódás
instagram.instructionStep1	A stúdió fiókjának professzionálisnak kell lennie — Business vagy Creator (Instagram-beállítások → Fióktípus)
instagram.instructionStep2	Kattintson az „Instagram kapcsolása” gombra, és jelentkezzen be a stúdió fiókjával
instagram.instructionStep3	Engedélyezze az üzenetekhez való hozzáférést
instagram.instructionStep4	Automatikusan visszakerül ide
whatsapp.numberLabel	WhatsApp Business-szám
whatsapp.connectLink	vagy írja be kézzel a tokent
whatsapp.gateTooltip	Először kapcsoljon WhatsApp-számot
whatsapp.statsPending	Az automatikus válaszadó indulásakor jelenik meg
whatsapp.instructionTitle	Kapcsolódás
whatsapp.instructionStep1	Kattintson a „WhatsApp kapcsolása” lehetőségre — megnyílik egy Meta-ablak
whatsapp.instructionStep2	Jelentkezzen be a Facebookba, válasszon üzleti fiókot és számot (vagy adjon hozzá újat), majd erősítse meg kóddal
whatsapp.instructionStep3	A szám egyszer kapcsolódik — ugyanazt használjuk ügyfélértesítésekhez; térjen vissza ide, és kapcsolja be az automatikus válaszadót
whatsapp.connectButton	WhatsApp kapcsolása
whatsapp.connectedToast	A WhatsApp-szám kapcsolódott
whatsapp.connectErrorToast	A WhatsApp-szám kapcsolása nem sikerült
whatsapp.disconnect	Kapcsolat bontása
whatsapp.disconnectedToast	A WhatsApp lekapcsolódott
whatsapp.disconnectConfirmTitle	Bontja a WhatsApp kapcsolatát?
whatsapp.disconnectConfirmMessage	A szám a stúdió értesítéseiről és integrációiról is lekapcsolódik.
history.title	Csevegési előzmények
history.empty	Kezdje el az első beszélgetést
history.today	Ma
history.yesterday	Tegnap
history.earlier	Korábban
history.messagesCount_one	{{count}} üzenet
history.messagesCount_other	{{count}} üzenet
history.deleteConfirmTitle	Törli ezt a csevegést?
history.deleteConfirmMessage	A beszélgetés összes üzenete végleg törlődik.
actions.newChat	Új csevegés
actions.deleteChat	Csevegés törlése
actions.confirmTitle	Művelet megerősítése
actions.confirm	Megerősítés
actions.cancel	Mégse
actions.cancelled	A művelet megszakítva.
actions.done	Elkészült: {{date}}
actions.effect	Mi változik
actions.undo	Visszavonás
actions.undoTitle	Visszavonja ezt a műveletet?
actions.undoMessage	Visszaállítom a végrehajtott műveletet: {{action}}. Az ügyfelek által már lefoglalt órák megmaradnak — ezeket csak ember távolíthatja el.
actions.args.lesson_id	Óra
actions.args.client_id	Ügyfél
actions.args.reservation_id	Foglalás
actions.args.alternate_with	Váltás ezzel
actions.args.service_id	Szolgáltatás
actions.args.teacher_id	Edző
actions.args.hall_id	Terem
actions.args.start_time	Kezdés
actions.args.duration_min	Időtartam, perc
actions.args.total_spots	Helyek
actions.args.price	Ár
actions.args.name	Keresztnév
actions.args.last_name	Vezetéknév
actions.args.phone	Telefon
actions.args.email	E-mail
actions.args.city	Város
actions.args.birth_date	Születési dátum
actions.args.source	Forrás
actions.args.frozen	Felfüggesztve
actions.args.date_from	Ettől
actions.args.date_to	Eddig
actions.args.weekdays	A hét napjai
actions.args.time_from	Ettől
actions.args.time_to	Eddig
actions.args.break_at	Szünet ekkor
actions.args.break_min	Szünet, perc
actions.args.extend_hours	Az edző munkaidejének bővítése
actions.args.salary	Fizetés
actions.args.access_role	Hozzáférés
actions.args.department	Pozíció
actions.args.password	Munkatársi jelszó
actions.args.rate	Díjazás
actions.args.rate_type	Fizetési típus
actions.args.service_ids	Szolgáltatások
actions.args.schedule	Időbeosztás
actions.bool.yes	igen
actions.bool.no	nem
settings.title	AI-beállítások
settings.model	Modell
settings.language	Nyelv
models.comingSoon	Hamarosan
models.velora-3.5	Velora AI 3.5
languages.auto	Automatikus
languages.ru	Orosz
languages.en	Angol
languages.uk	Ukrán
languages.cs	Cseh
languages.de	Német
chat.thinking	A Velora AI gondolkodik
chat.thinkingAnswer	A Velora AI átgondolja a választ
chat.readyTitle	A Velora AI készen áll a segítségre
