== fr
tabs.overview	Vue d’ensemble
tabs.sales	Ventes
tabs.clients	Clients
tabs.team	Équipe
tabs.schedule	Planning
toolbar.period.day	Jour
toolbar.period.week	Semaine
toolbar.period.month	Mois
toolbar.period.year	Année
toolbar.period.custom	Personnalisé
toolbar.vsPrevious	par rapport à la période précédente : {{from}}–{{to}}
toolbar.allBranches	Tous les établissements
toolbar.allHalls	Tous les {{spacePlural}}
toolbar.allTrainers	Tous les coachs
toolbar.allServices	Tous les services
toolbar.export	Exporter
insights.title	À surveiller
insights.action	Ouvrir
insights.empty	Tout va bien pour le moment — aucun conseil à afficher
insights.revenue_up_clients_down	Le chiffre d’affaires augmente, mais les clients actifs diminuent — vérifiez l’attrition
insights.clients_at_risk	{{count}} client(s) n’ont pas participé depuis plus de 3 semaines — risque d’attrition
insights.lesson_overfull	« {{name}} » {{weekday, weekday}} à {{hour}}:00 est rempli à {{pct}} % depuis trois semaines — envisagez d’ajouter une séance
insights.trial_low_conversion	Seuls {{pct}} % des {{buyers}} acheteurs d’essai ont ensuite acheté un abonnement — envisagez une campagne
insights.fastest_growing_product	« {{name}} » progresse le plus vite : +{{pct}} % par rapport à la période précédente
insights.renewals_low	Seuls {{pct}} % des clients dont l’abonnement a expiré renouvellent — envisagez un rappel
insights.new_no_second_visit	{{count}} nouveaux clients sont venus une fois sans jamais réserver à nouveau — envisagez un rappel
insights.subs_expiring_week	L’abonnement de {{count}} clients expire cette semaine — envisagez de proposer un renouvellement
insights.vip_inactive	Le client VIP « {{name}} » n’est pas venu depuis {{days}} jours — envisagez un message personnalisé
insights.high_return_free_evenings	« {{name}} » a un taux de retour élevé ({{return_pct}} %), mais les soirées sont libres — ajoutez une séance
insights.trainer_overloaded	« {{name}} » est chargé à {{load_pct}} % — envisagez de rééquilibrer le planning
insights.low_rating	« {{name}} » a une note de {{rating}} — cela mérite un examen plus attentif
insights.slot_chronic_low	« {{name}} » {{weekday, isodowWeekday}} à {{hour}}:00 est rempli à {{pct}} % depuis {{weeks}} semaines — déplacez ou annulez-le
insights.hall_idle_evenings	« {{name}} » reste inutilisé pendant {{pct}} % des heures du soir — envisagez de planifier une séance
insights.slot_overfull	Le créneau de {{weekday, isodowWeekday}} à {{hour}}:00 est rempli à {{pct}} % depuis trois semaines — envisagez d’ajouter une séance
insights.loss_hotspot	{{cancels}} séances ont été annulées à {{label}} durant cette période — les annulations se concentrent autour de cette heure
table.loading	Chargement…
table.noProduct	Aucun produit
empty.noData.title	Rien pour le moment
empty.noData.text	Aucune activité n’a été enregistrée pour la période choisie. Élargissez la période ou commencez par inscrire un client dans le Journal.
empty.noData.widen	Afficher l’année
empty.noRevenue	Aucun paiement sur cette période
empty.noSales	Aucune vente dans cette sélection
empty.noProducts	Aucun forfait ou service vendu pour le moment
empty.noLessons	Aucune séance sur cette période
empty.noTrainerLessons	Ce coach n’a encore animé aucune séance
empty.noRows	Aucune donnée dans cette sélection
empty.noLosses	Aucune annulation ni absence sur cette période
overview.kpi.revenue	Chiffre d’affaires
overview.kpi.profit	Bénéfice
overview.kpi.attendance	Présence
overview.kpi.activeClients	Clients actifs
overview.kpi.fillRate	Taux de remplissage
overview.chart.metric.revenue	Chiffre d’affaires
overview.chart.metric.profit	Bénéfice
overview.chart.metric.attendance	Présence
overview.chart.metric.new_clients	Nouveaux clients
overview.chart.metric.fill_rate	Taux de remplissage
overview.revenueStructure.title	Structure du chiffre d’affaires
overview.category.subscriptions	Abonnements
overview.category.services	Services
overview.category.certificates	Cartes-cadeaux
overview.category.rent	Loyer
overview.category.salary	Salaires
overview.category.refunds	Remboursements
overview.clientDynamics.title	Dynamique des clients
overview.clientDynamics.new	Nouveaux
overview.clientDynamics.returned	Revenus
overview.clientDynamics.lost	Perdus
overview.drilldown.title	Opération
overview.drilldown.category	Catégorie
overview.drilldown.amount	Montant
overview.drilldown.lesson	Séance
overview.drilldown.time	Heure
overview.drilldown.occupancy	Remplissage
overview.drilldown.date	Date
overview.drilldown.method	Méthode
overview.drilldown.trainer	Coach
overview.drilldown.rowsCount	enregistrements
overview.drilldown.search	Rechercher dans le tableau
overview.drilldown.shownOf	Affichage de {{shown}} sur {{total}}
overview.drilldown.noMatches	Aucun résultat pour « {{query}} »
overview.drilldown.reset	Réinitialiser
overview.drilldown.export	Exporter en CSV
overview.drilldown.subtitle.money	Opérations de cette sélection
overview.drilldown.subtitle.lessons	Séances de cette sélection
overview.drilldown.hint.operations	Cliquez sur une ligne pour ouvrir l’opération dans Finances
overview.drilldown.hint.lessons	Cliquez sur une ligne pour ouvrir cette journée dans le Journal
overview.drilldown.stat.net	Net
overview.drilldown.stat.income	Revenus
overview.drilldown.stat.expense	Dépenses
overview.drilldown.stat.operations	Opérations
overview.drilldown.stat.topCategory	Première catégorie
overview.drilldown.stat.lessons	Séances
overview.drilldown.stat.booked	Places réservées
overview.drilldown.stat.avgFill	Remplissage moyen
overview.drilldown.stat.trainers	Coachs
overview.drilldown.stat.cancelled	Annulé
sales.kpi.revenue	Chiffre d’affaires
sales.kpi.salesCount	Ventes
sales.kpi.avgCheck	Panier moyen
sales.kpi.repeatShare	Part de réachats
sales.kpi.renewals	Taux de renouvellement
sales.chart.title	Ventes
sales.incomeOperations	Opérations de revenu
sales.breakdown.byCategory	Ce qu’ils achètent
sales.breakdown.byMethod	Comment ils paient
sales.breakdown.buyerType	Qui achète
sales.breakdown.new	Nouveaux
sales.breakdown.returning	Fidèles
sales.breakdown.noClient	Sans client
sales.method.card	Carte
sales.method.cash	Espèces
sales.method.qr	Code QR
sales.method.transfer	Virement
sales.products.title	Produits
sales.products.name	Produit
sales.products.sold	Vendus
sales.products.revenue	Chiffre d’affaires
sales.products.avgCheck	Panier moyen
sales.products.repeatShare	Part de réachats
sales.products.trend	Tendance
sales.products.trendHint	Comparé à la période précédente de même durée
clients.kpi.new	Nouveaux
clients.kpi.returned	Revenus
clients.kpi.lost	Perdus
clients.kpi.retention	Fidélisation
clients.kpi.avgValue	Valeur client
clients.chart.title	Nouveaux ou fidèles
clients.chart.new	Nouveaux
clients.chart.returned	Fidèles
clients.riskTitle	Segments à risque
clients.loyalTitle	Fidèles
clients.list	Liste
clients.campaign	Lancer une campagne
clients.exportList	Exporter la liste
clients.emptySegment	Le segment « {{name}} » ne contient aucun client pour le moment
clients.segments.new.name	Nouveaux clients
clients.segments.new.desc	Inscrits durant la période sélectionnée
clients.segments.returned.name	Clients fidèles
clients.segments.returned.desc	Ont visité cette période et la précédente
clients.segments.lost.name	Clients perdus
clients.segments.lost.desc	Ont visité la période précédente, mais ne sont pas revenus cette période
clients.segments.active.name	Clients actifs
clients.segments.active.desc	Sont venus à au moins une séance durant la période sélectionnée
