== sv
loading	Laddar…
chModal.eyebrow	Aviseringskanal
chModal.connected	Ansluten
chModal.notConnected	Inte ansluten
chModal.setup	Anslutningsinställning
chModal.details	Anslutningsinformation
chModal.ready	Kanalen är igång
chModal.readyHint	Aviseringar för aktiverade händelser skickas automatiskt.
chModal.bot	Bot
chModal.token	Token
chModal.phone	Nummer
chModal.account	Konto
chModal.sender	Avsändare
channels.title	Leveranskanaler
channels.connect	Anslut
channels.connected	Ansluten
channels.openSettings	Inställningar för {{channel}}
channels.waLockedHint	Kanalen låses upp när Meta har din betalningsmetod, ett verifierat företag och godkända mallar
channels.waBlocker.payment	Ingen betalningsmetod — påminnelser levereras inte. Konfigurera
channels.waBlocker.verification	Företaget är inte verifierat hos Meta — gräns på 250/dag. Så löser du det
channels.waBlocker.templates	Mallar granskas fortfarande av Meta — inget skickas. Mer information
roles.client	Kund
roles.trainer	Tränare
roles.admin	Administratör
roles.owner	Ägare
roles.activeCount_one	{{count}} aktiv
roles.activeCount_other	{{count}} aktiva
matrix.saving	Sparar…
matrix.allSaved	Alla ändringar har sparats
matrix.notSaved	Inte sparat
matrix.activateAll	Aktivera alla
matrix.deactivateAll	Rensa alla kryssrutor
matrix.activeCount_one	Aktiva utlösare: {{count}} av {{total}}
matrix.activeCount_other	Aktiva utlösare: {{count}} av {{total}}
matrix.scenariosFor	Scenarier för: {{role}}
matrix.configureFor_one	Konfigurera kanaler för {{count}} systemutlösare
matrix.configureFor_other	Konfigurera kanaler för {{count}} systemutlösare
matrix.eventColumn	Systemhändelse
matrix.noActiveChannels	Inga aktiva kanaler
matrix.noActiveChannelsHint	Aktivera minst en leveranskanal i panelen till vänster
matrix.adviceLabel	Tips:
matrix.advice	Ställ in separat för varje roll vad som skickas och vart — Velora hanterar det automatiskt.
matrix.tiers.critical	Krävs · kan inte stängas av
matrix.tiers.operational	Operativ
matrix.tiers.optional	Valfri
matrix.lock.critical	Obligatorisk avisering — kan inte stängas av
matrix.lock.lastChannel	Sista leveranskanalen — kan inte stängas av
matrix.channelDisconnected	Kanalen är inte ansluten
events.c1.title	Bokning bekräftad
events.c1.desc	Vid lyckad klassbokning
events.c2.title	Påminnelse om klass
events.c2.desc	24 timmar och 2 timmar före
events.c3.title	Klass inställd
events.c3.desc	När tränaren eller studion ställer in
events.c4.title	Betalning lyckades
events.c4.desc	Kvitto efter lyckad debitering
events.c5.title	Få klasser kvar
events.c5.desc	När 1–2 besök återstår i paketet
events.c6.title	Paketet löper ut
events.c6.desc	3 dagar före utgångsdatumet
events.c7.title	Födelsedag
events.c7.desc	Hälsning med ett specialerbjudande
events.c8.title	Begäran om omdöme
events.c8.desc	Efter deltagande i en klass
events.c9.title	Återbetalning
events.c9.desc	Vid avbokning och hantering av återbetalning
events.c10.title	Klassen är inte betald än
events.c10.desc	Kunden deltog men har inte betalat
events.c11.title	Klassen har flyttats
events.c11.desc	Tid, sal eller tränare ändrades
events.c12.title	Bonus tillagd
events.c12.desc	Poäng eller bonus lades till kunden
events.c13.title	Kaffe efter klassen
events.c13.desc	Vem i gruppen som går på kaffe
events.t1.title	Ny bokning hos tränare
events.t1.desc	En kund bokade en personlig session
events.t2.title	Kunden avbokade bokningen
events.t2.desc	Kunden avbokade mindre än 2 timmar före
events.t3.title	Påminnelse om klass
events.t3.desc	1 timme före start
events.t4.title	Deltagarlista
events.t4.desc	30 min. före en gruppklass
events.t5.title	Schemaändring
events.t5.desc	Administratören ändrade tid eller plats
events.t6.title	Lön intjänad
events.t6.desc	Veckovis beräkning av utbetalning
events.t7.title	Nytt tränaromdöme
events.t7.desc	Kunden lämnade ett betyg efter klassen
events.t8.title	Kundens födelsedag
events.t8.desc	Påminnelse om att gratulera personligen
events.t9.title	Klass inställd
events.t9.desc	Studion eller administratören ställde in din klass
events.a1.title	Ny onlinebokning
events.a1.desc	Kunden bokade via webbplats eller widget
events.a2.title	Sen avbokning
events.a2.desc	Mindre än 1 timme före klassen
events.a3.title	Ny kund i systemet
events.a3.desc	Registrering av ny användare
events.a4.title	Betalning mottagen
events.a4.desc	Varje lyckad debitering
events.a6.title	Paketen håller på att ta slut
events.a6.desc	Grupp kunder med ≤1 klass kvar
events.a7.title	Schemakonflikt
events.a7.desc	Överlappande klasser i journalen
events.a8.title	Daglig rapport
events.a8.desc	Sammanfattning vid dagens slut
events.a9.title	Inloggningsförsök
events.a9.desc	Inloggning från en ny enhet
events.a10.title	Återbetalning
events.a10.desc	Administratören utfärdade en återbetalning
events.o1.title	Daglig sammanfattning
events.o1.desc	Intäkter, bokningar, närvaro för dagen
events.o2.title	Veckorapport
events.o2.desc	Nyckeltal: kundtillväxt, LTV, konvertering
