== no
nav.product	Produkt
nav.modules	Moduler
nav.pricing	Priser
nav.faq	Vanlige spørsmål
nav.login	Logg inn
nav.startShort	Start
nav.startFull	Start gratis
nav.language	Språk
hero.badge	Den nye CRM-standarden for 2026
hero.title	Et CRM du vil\\n*elske* å bruke
hero.lead	Et førsteklasses B2B-CRM for yoga- og pilatesstudioer. Bookinger, kunder, team og økonomi på ett sted. Ingen ekstra klikk, ingen forvirring.
hero.cta	Prøv gratis i 30 dager
hero.perks.0	30 dager gratis
hero.perks.1	Ingen kort nødvendig
hero.perks.2	Avslutt med ett klikk
marquee.0	Timeplan
marquee.1	Kunder
marquee.2	Medlemskap
marquee.3	Nettbooking
marquee.4	Økonomi
marquee.5	Lønn
marquee.6	Varsler
marquee.7	Lojalitet
marquee.8	Rapporter
marquee.9	Velora AI
marquee.10	Kundeapp
marquee.11	Roller og tilgang
stats.items.0.value	30 dager
stats.items.0.label	Gratis, uten kort
stats.items.1.value	16
stats.items.1.label	moduler i hver plan
stats.items.2.value	4
stats.items.2.label	kanaler for nettbooking
stats.items.3.value	fra 15 €
stats.items.3.label	per måned og studio
stats.trust.0	Dataene dine forblir dine
stats.trust.1	Roller håndheves på serveren
stats.trust.2	CSV-eksport når som helst
stats.trust.3	Sletting på forespørsel
compare.label	forskjellen
compare.title	Vi fjernet det\\nsom stod i veien
compare.lead	Velora vokste ut av vår egen erfaring: Vi drev studioer og møtte hver dag den samme veggen — et CRM der det krevdes ni klikk for å booke en kunde. Her er hva som endret seg.
compare.usual	Den vanlige måten
compare.velora	I Velora
compare.pairs.0.bad	For å booke en kunde må du forlate timeplanen, gå til en annen visning og deretter tilbake
compare.pairs.0.good	Bookinger og nye kunder opprettes direkte i timeplanen
compare.pairs.1.bad	Rapporter eksporteres til Excel og avstemmes manuelt
compare.pairs.1.good	Direkterapporter per trener og tjeneste, med eksport for enhver periode
compare.pairs.2.bad	Varsler er en separat tjeneste du betaler separat for
compare.pairs.2.good	Telegram, e-post og WhatsApp er innebygd med en hendelse × kanal-matrise
compare.pairs.3.bad	En trener kan se alles timeplaner og kundebase
compare.pairs.3.good	Roller begrenser tilgang både i grensesnittet og på serveren
compare.pairs.4.bad	En assistent? I beste fall kundesøk
compare.pairs.4.good	Velora AI svarer på spørsmål om virksomheten din — og kundenes spørsmål i Telegram og Instagram
showcase.label	alt på ett sted
showcase.title	Én plattform i stedet\\nfor et dusin tjenester
