== es
legal.terms	Términos del servicio
legal.privacy	Política de privacidad
tabs.plans	Planes y precios
tabs.invoices	Historial de pagos
tabs.method	Método de pago
tabsShort.plans	Planes
tabsShort.invoices	Historial
tabsShort.method	Pago
paymentsHistory.title	Historial de pagos completo
paymentsHistory.subtitle	Todas las facturas de este estudio
paymentsHistory.clearFilter	Limpiar
paymentsHistory.loadMore	Cargar más
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	¿Cuántos miembros tiene el equipo del estudio?
seats.hint	desde {{amount}} al mes
seats.stepNote	Cada plaza adicional cuesta {{amount}} al mes
seats.unlimitedNote	Equipo ilimitado
seats.perSeat	Por miembro del equipo
limits.staff	Equipo
limits.ai	Solicitudes de Velora AI
limits.unlimited	Ilimitado
banner.trialEnds	Tu prueba termina el {{date}} — elige un plan
banner.renews	Tu suscripción {{plan}} se renueva el {{date}}
banner.expires	Tu suscripción {{plan}} vence el {{date}}
banner.choosePlan	Elegir plan
banner.dismiss	Cerrar
banner.unpaid	Tu plan no está pagado. Para continuar, paga en Planes y facturación.
banner.suspended	El acceso está suspendido porque la factura del plan está vencida. Págala en Planes y facturación.
paymentReturn.done	Pago realizado — el plan {{plan}} está activo.
paymentReturn.processing	El pago se está procesando — tu suscripción se activará en unos minutos.
header.eyebrow	Velora · Facturación
header.title	Planes y facturación
header.subtitle	Gestiona tu suscripción, métodos de pago e historial de pagos
header.totalSpent	Total gastado
header.monthsWithUs	Meses con nosotros
header.saved	Ahorrado
header.nextCharge	Próximo cargo
header.currentPlan	PLAN ACTUAL
header.noPlanName	Sin plan
header.noPlan	Sin suscripción activa
header.active	Activo
header.activeUntil	Activo · hasta {{date}}
header.trialPlanName	Plan de prueba
header.trial	Período de prueba
header.trialUntil	Período de prueba · hasta {{date}}
header.expired	Vencido
header.percentRate	{{rate}}% de las ventas
header.modePercent	Plan porcentual
header.modeFixed	Fijo
header.modeCombo	Combinado
header.unpaid	Plan sin pagar
header.awaitingPayment	Pendiente de pago
mode.title	Modelo de pago
mode.subscription	Suscripción fija
mode.percent	% de las ventas
mode.combo	Combinación fijo + %
mode.short.subscription	Fijo
mode.short.percent	Porcentaje
mode.short.combo	Combinado
mode.descriptions.subscription	Paga una cantidad fija cada mes. Predecible y conveniente.
mode.descriptions.percent	Sin cuota fija: {{rate}}% de cada venta, incluido el efectivo.
mode.descriptions.combo	Media suscripción + {{rate}}% de cada venta, incluido el efectivo.
mode.badges.popular	Popular
mode.badges.flexible	Flexible
mode.percentCard.title	Modelo «3% de las ventas»
mode.percentCard.description	Paga solo cuando ganas: 3% de cada venta, sin cuota fija de suscripción. Los pagos online se dividen al instante; el efectivo y las recargas de depósitos se acumulan y llegan en una factura mensual.
mode.percentCard.noFixed	Sin cuota fija
mode.percentCard.payForResult	Paga por resultados
mode.percentCard.oneClick	Activación en un clic
mode.percentCard.cta	Activar modelo del 3%
mode.percentCard.ctaShort	Activar 3%
mode.activateSuccess	El modelo de pago se actualizó
mode.activateError	No se pudo actualizar el modelo de pago
mode.alreadyActive	Este modelo de pago ya está activo — abajo puedes renovar o cambiar el plan
mode.confirmSwitchTitle	¿Cambiar el modelo de pago?
mode.confirmSwitchMessage	Tu suscripción está activa. El cambio entra en vigor inmediatamente y el resto del período pagado SE PIERDE POR COMPLETO: los días sin usar no se reembolsan ni se trasladan.
mode.termsTitle	Confirma las condiciones del plan
mode.termsMessage	En este plan, la plataforma retiene {{rate}}% de cada venta.\n\nEn los pagos online, la tarifa se retiene automáticamente al pagar. Para efectivo, terminal y recargas de depósitos NO se retiene de inmediato: se acumula y recibes una factura separada una vez al mes.\n\nTienes {{days}} días para pagar la factura. Si no se paga a tiempo, el acceso al CRM y a la miniaplicación de clientes se suspende hasta el pago.\n\nEl importe actual se muestra en Facturación; puedes pagarlo en cualquier momento, incluso por adelantado.
mode.termsConfirm	Acepto las condiciones
