== es
nav.sectionLabel	Ajustes del sistema
nav.general	General
nav.appearance	Apariencia
nav.notifications	Notificaciones
nav.billing	Facturación
nav.security	Seguridad
nav.integrations	Integraciones
nav.data	Datos
nav.logout	Cambiar CRM
toast.saved	Guardado
toast.error	Algo salió mal
workspace.title	Tus sistemas CRM
workspace.subtitle	Elige un espacio de trabajo o crea uno nuevo
workspace.current	Actual
workspace.membersCount_one	{{count}} miembro
workspace.membersCount_other	{{count}} miembros
workspace.clientsCount_one	{{count}} cliente
workspace.clientsCount_other	{{count}} clientes
workspace.createNew	Crear un nuevo estudio
workspace.loadError	No se han podido cargar tus estudios
workspace.selectError	No se ha podido cambiar a este estudio
general.company.title	Datos de la empresa
general.company.subtitle	Información pública sobre tu negocio
general.company.name	Nombre de la empresa
general.company.namePh	p. ej. Mi estudio
general.company.desc	Descripción
general.company.descPh	A qué se dedica tu estudio…
general.company.phone	Teléfono
general.company.email	Correo electrónico
general.company.site	Sitio web
general.company.sitePh	https://studio.com
general.company.address	Dirección
general.company.addressPh	Calle Ejemplo 123, ciudad
general.reset	Restablecer
general.resetToast	Ajustes restablecidos
general.locale.title	Idioma y región
general.locale.subtitle	Ajustes de localización de la interfaz
general.locale.timezone	Zona horaria
general.locale.timezoneSearch	Ciudad o diferencia horaria
general.locale.timezoneNotFound	No se ha encontrado ninguna zona horaria
general.locale.currency	Moneda
general.locale.currencySearch	Buscar moneda o código
general.locale.currencyNotFound	No se ha encontrado ninguna moneda
general.locale.language	Idioma de la interfaz
general.locale.languageSearch	Buscar idioma
general.locale.languageNotFound	No se ha encontrado ningún idioma
general.locale.dateFormat	Formato de fecha
general.locale.firstDay	Primer día de la semana
general.locale.firstDayLabels.0	Lunes
general.locale.firstDayLabels.1	Domingo
general.booking.title	Modelo de reserva
general.booking.subtitle	Cómo reservan contigo los clientes
general.booking.mode	Modelo de reserva
general.booking.modeHint	Eventos — los clientes se apuntan a una clase programada. Individual — el cliente elige un especialista y una hora. Mixto — ambos a la vez.
general.booking.profile	Terminología del sector
general.booking.profileHint	Elige las palabras para el personal y los servicios. Solo cambia la redacción, nunca los roles, los precios ni el modelo de reserva.
general.booking.strict	Agenda estricta
general.booking.strictHint	Prohíbe la doble reserva de un especialista o un espacio exclusivo. Es obligatoria antes de activar la reserva individual.
general.booking.spaceAxis	Usar {{spacePlural}} en la agenda
general.booking.spaceAxisHint	Desactivado — el cliente reserva a una persona y el espacio no tiene columna en el diario. Activado — una clase está vinculada a un espacio.
general.booking.spaceAxisDefaultOn	Predeterminado para tu sector: activado
general.booking.spaceAxisDefaultOff	Predeterminado para tu sector: desactivado
general.booking.modes.event	Eventos
general.booking.modes.resource	Individual
general.booking.modes.hybrid	Mixto
general.booking.profiles.studio	Prácticas grupales y estudios
general.booking.profiles.sport	Deporte y gimnasios
general.booking.profiles.beauty	Belleza y cuidado
general.booking.profiles.recovery	Cuerpo y recuperación
general.booking.profiles.relax	Spa y relajación
general.booking.profiles.other	Otro
general.booking.preview.event	Evento
general.booking.preview.resource	Individual
general.booking.errors.AUDIT_BLOCKED	La agenda contiene reservas que no son compatibles con una agenda estricta.
general.booking.errors.STRICT_SCHEDULE_REQUIRED	Activa primero la agenda estricta.
general.booking.errors.RESOURCE_HISTORY_EXISTS	La agenda estricta no se puede desactivar: el estudio tiene reservas individuales.
general.booking.findings.overlap	Reservas solapadas
general.booking.findings.unknown_timezone	Zona horaria desconocida
general.booking.findings.undefined_branch	Sede no definida
general.booking.findings.invalid_duration	Duración no válida
general.booking.findings.invalid_resource_row	Reserva individual incompleta
general.booking.findings.missing_branch_assignment	El especialista no está asignado a la sede
general.booking.findings.missing_working_hours	El especialista no tiene horario laboral
general.booking.findings.inactive_specialist	El especialista está inactivo
general.booking.findings.other	Requiere revisión
appearance.theme.title	Tema
appearance.theme.subtitle	Elige el estilo visual de la interfaz
appearance.theme.light	Claro
appearance.theme.dark	Oscuro
appearance.theme.auto	Sistema
appearance.accent.title	Color de acento
appearance.accent.subtitle	Personaliza el color principal de la interfaz
appearance.accent.note	Tu elección se ha guardado, pero todavía no se aplica a la interfaz; llegará en una futura actualización.
appearance.accent.noteTitle	Próximamente
appearance.accent.colors.peach	Melocotón
appearance.accent.colors.pistachio	Pistacho
appearance.accent.colors.lavender	Lavanda
appearance.accent.colors.pink	Rosa
appearance.accent.colors.gold	Dorado
appearance.accent.colors.mint	Menta
appearance.language.title	Idioma de la interfaz
appearance.language.subtitle	Tu idioma personal no afecta a los ajustes del estudio
appearance.language.search	Buscar idioma
appearance.language.empty	No se ha encontrado ningún idioma
notifications.myPrefs.title	Mis notificaciones
notifications.myPrefs.subtitle	Preferencias personales — no afectan al resto del estudio
notifications.myPrefs.hint	Las notificaciones obligatorias no se pueden desactivar; así no te perderás nunca cambios en la agenda ni pagos.
notifications.myPrefs.empty	No hay notificaciones opcionales para tu rol
notifications.myPrefs.channels.email	Correo electrónico
notifications.myPrefs.channels.telegram	Telegram
notifications.myPrefs.channels.whatsapp	WhatsApp
notifications.telegram.title	Telegram para notificaciones
notifications.telegram.subtitle	Dónde enviarte personalmente eventos — reservas, nóminas e informes
notifications.telegram.chatId	Tu chat_id de Telegram
notifications.telegram.chatIdPh	p. ej. 123456789
notifications.telegram.hintBefore	Puedes encontrar tu chat_id en el bot 
notifications.telegram.hintAfter	 de Telegram — inicia un chat con él y te enviará tu ID.
notifications.telegram.invalidChatId	El chat_id de Telegram debe ser un número sin símbolos
notifications.telegram.saved	Telegram está conectado para recibir notificaciones
notifications.telegram.saveFailed	No se ha podido guardar Telegram
notifications.email.title	Correo para notificaciones
notifications.email.subtitle	Dónde enviar los correos del sistema
notifications.email.primary	Correo principal
notifications.email.backup	Correo de respaldo
notifications.email.backupPh	backup@studio.com
notifications.email.saved	Ajustes de notificaciones guardados
billing.plans.start	Start
billing.plans.pro	Pro
billing.plans.business	Business
billing.plans.free_trial	Prueba gratuita
billing.status.active	Activo
billing.status.trial	Prueba
billing.status.expired	Caducado
billing.plan.title	Plan actual
billing.plan.expiresAt	Activo hasta {{date}}
billing.plan.maxStaff	Hasta {{count}} empleados
billing.plan.staffUnlimited	Empleados ilimitados
billing.plan.noSubscription	No hay suscripción activa
billing.plan.noSubscriptionCta	Elegir un plan
billing.plan.trialCta	Elegir un plan
billing.upgrade	Cambiar a {{plan}}
billing.renew	Renovar
billing.autopay.title	Renovación automática
billing.autopay.subtitle	Se cobrará en tu tarjeta guardada
billing.autopay.autoRenew	Renovación automática
billing.autopay.notifyBefore	Te avisaremos {{count}} días antes del cobro
billing.payment.title	Método de pago
billing.payment.cardSummary	Tarjeta •••• {{last4}}
billing.payment.notLinked	No hay ninguna tarjeta vinculada
billing.payment.change	Cambiar
billing.history.title	Historial de pagos
billing.history.subtitle	Últimos 12 pagos
billing.history.exportCsv	Exportar CSV
billing.history.empty	Aún no hay pagos
billing.history.showAll	Mostrar todo
billing.history.period	{{count}} meses
billing.history.noDate	—
billing.history.status.paid	Pagado
billing.history.status.pending	Pendiente
billing.history.status.failed	Sin pagar
billing.history.status.refunded	Reembolsado
billing.toast.autopaySaved	Ajustes de renovación automática guardados
billing.toast.renewed	Renovación iniciada
billing.toast.csvExportError	No se ha podido exportar el CSV
security.account.title	Seguridad de la cuenta
security.account.subtitle	Protege el acceso a tu espacio de trabajo
security.twoFa.title	Autenticación de dos factores
security.twoFa.sub	Código por correo en cada inicio de sesión
security.twoFa.active	Activa
security.twoFa.disabled	Desactivada
security.twoFa.enableTitle	Activar 2FA
security.twoFa.disableTitle	Desactivar 2FA
security.twoFa.enableWarning	Una vez activada, cada inicio de sesión requerirá un código enviado a {{email}}. Asegúrate de tener acceso a esa dirección; de lo contrario, podrías perder el acceso a tu cuenta.
