== el
tabs.overview	Επισκόπηση
tabs.sales	Πωλήσεις
tabs.clients	Πελάτες
tabs.team	Ομάδα
tabs.schedule	Πρόγραμμα
toolbar.period.day	Ημέρα
toolbar.period.week	Εβδομάδα
toolbar.period.month	Μήνας
toolbar.period.year	Έτος
toolbar.period.custom	Προσαρμοσμένο
toolbar.vsPrevious	σε σύγκριση με την προηγούμενη περίοδο: {{from}}–{{to}}
toolbar.allBranches	Όλα τα υποκαταστήματα
toolbar.allHalls	Όλοι οι {{spacePlural}}
toolbar.allTrainers	Όλοι οι εκπαιδευτές
toolbar.allServices	Όλες οι υπηρεσίες
toolbar.export	Εξαγωγή
insights.title	Χρειάζεται προσοχή
insights.action	Άνοιγμα
insights.empty	Όλα είναι καλά προς το παρόν — δεν υπάρχουν προτάσεις για εμφάνιση
insights.revenue_up_clients_down	Τα έσοδα αυξάνονται, αλλά οι ενεργοί πελάτες μειώνονται — ελέγξτε την αποχώρηση πελατών
insights.clients_at_risk	{{count}} πελάτης(-ες) δεν έχουν συμμετάσχει για πάνω από 3 εβδομάδες — κίνδυνος αποχώρησης
insights.lesson_overfull	Το «{{name}}» {{weekday, weekday}} στις {{hour}}:00 είναι γεμάτο κατά {{pct}}% τρεις εβδομάδες στη σειρά — εξετάστε την προσθήκη ενός ακόμη μαθήματος
insights.trial_low_conversion	Μόνο το {{pct}}% από τους {{buyers}} πελάτες δοκιμής αγόρασε στη συνέχεια συνδρομή — εξετάστε μια καμπάνια
insights.fastest_growing_product	Το «{{name}}» αναπτύσσεται ταχύτερα: +{{pct}}% σε σχέση με την προηγούμενη περίοδο
insights.renewals_low	Μόνο το {{pct}}% των πελατών με ληγμένη συνδρομή ανανεώνει — εξετάστε μια υπενθύμιση
insights.new_no_second_visit	{{count}} νέοι πελάτες ήρθαν μία φορά και δεν έκαναν ξανά κράτηση — εξετάστε μια υπενθύμιση
insights.subs_expiring_week	{{count}} πελάτες έχουν συνδρομή που λήγει αυτή την εβδομάδα — εξετάστε να προσφέρετε ανανέωση
insights.vip_inactive	Ο VIP πελάτης «{{name}}» δεν έχει επισκεφθεί εδώ και {{days}} ημέρες — εξετάστε ένα προσωπικό μήνυμα
insights.high_return_free_evenings	Το «{{name}}» έχει υψηλό ποσοστό επιστροφής ({{return_pct}}%), αλλά τα βράδια είναι ελεύθερα — προσθέστε ένα μάθημα
insights.trainer_overloaded	Ο/Η «{{name}}» έχει φόρτο {{load_pct}}% — εξετάστε την εξισορρόπηση του προγράμματος
insights.low_rating	Το «{{name}}» έχει βαθμολογία {{rating}} — αξίζει πιο προσεκτική εξέταση
insights.slot_chronic_low	Το «{{name}}» {{weekday, isodowWeekday}} στις {{hour}}:00 είναι γεμάτο κατά {{pct}}% επί {{weeks}} εβδομάδες στη σειρά — μετακινήστε ή ακυρώστε το
insights.hall_idle_evenings	Ο χώρος «{{name}}» είναι αδρανής το {{pct}}% των βραδινών ωρών — εξετάστε να προγραμματίσετε μάθημα
insights.slot_overfull	Η ώρα {{weekday, isodowWeekday}} στις {{hour}}:00 είναι γεμάτη κατά {{pct}}% τρεις εβδομάδες στη σειρά — εξετάστε την προσθήκη ενός ακόμη μαθήματος
insights.loss_hotspot	{{cancels}} μαθήματα ακυρώθηκαν στις {{label}} αυτή την περίοδο — οι περισσότερες ακυρώσεις συγκεντρώνονται γύρω από αυτή την ώρα
table.loading	Φόρτωση…
table.noProduct	Χωρίς προϊόν
empty.noData.title	Δεν υπάρχει τίποτα ακόμη
empty.noData.text	Δεν καταγράφηκε δραστηριότητα για την επιλεγμένη περίοδο. Διευρύνετε το εύρος ή ξεκινήστε κλείνοντας έναν πελάτη στο Ημερολόγιο.
empty.noData.widen	Εμφάνιση έτους
empty.noRevenue	Δεν υπάρχουν πληρωμές αυτή την περίοδο
empty.noSales	Δεν υπάρχουν πωλήσεις σε αυτή την ενότητα
empty.noProducts	Δεν έχουν πουληθεί ακόμη πακέτα ή υπηρεσίες
empty.noLessons	Δεν υπάρχουν μαθήματα αυτή την περίοδο
empty.noTrainerLessons	Αυτός ο εκπαιδευτής δεν έχει πραγματοποιήσει ακόμη μαθήματα
empty.noRows	Δεν υπάρχουν εγγραφές σε αυτή την ενότητα
empty.noLosses	Δεν υπάρχουν ακυρώσεις ή απουσίες αυτή την περίοδο
overview.kpi.revenue	Έσοδα
overview.kpi.profit	Κέρδος
overview.kpi.attendance	Συμμετοχή
overview.kpi.activeClients	Ενεργοί πελάτες
overview.kpi.fillRate	Ποσοστό πληρότητας
overview.chart.metric.revenue	Έσοδα
overview.chart.metric.profit	Κέρδος
overview.chart.metric.attendance	Συμμετοχή
overview.chart.metric.new_clients	Νέοι πελάτες
overview.chart.metric.fill_rate	Ποσοστό πληρότητας
overview.revenueStructure.title	Δομή εσόδων
overview.category.subscriptions	Συνδρομές
overview.category.services	Υπηρεσίες
