== tr
nav.product	Ürün
nav.modules	Modüller
nav.pricing	Fiyatlandırma
nav.faq	Sık sorulan sorular
nav.login	Giriş yap
nav.startShort	Başla
nav.startFull	Ücretsiz başla
nav.language	Dil
hero.badge	2026'nın yeni CRM standardı
hero.title	Kullanmaktan\\n*keyif* alacağınız CRM
hero.lead	Yoga ve pilates stüdyoları için premium B2B CRM. Rezervasyonlar, müşteriler, ekip ve finans tek yerde. Ekstra tıklama yok, karmaşa yok.
hero.cta	30 gün ücretsiz deneyin
hero.perks.0	30 gün ücretsiz
hero.perks.1	Kart gerekmez
hero.perks.2	Tek tıklamayla iptal
marquee.0	Takvim
marquee.1	Müşteriler
marquee.2	Üyelikler
marquee.3	Online rezervasyon
marquee.4	Finans
marquee.5	Maaşlar
marquee.6	Bildirimler
marquee.7	Sadakat
marquee.8	Raporlar
marquee.9	Velora AI
marquee.10	Müşteri uygulaması
marquee.11	Roller ve erişim
stats.items.0.value	30 gün
stats.items.0.label	Ücretsiz, kart gerekmez
stats.items.1.value	16
stats.items.1.label	Her planda modül
stats.items.2.value	4
stats.items.2.label	Online rezervasyon kanalı
stats.items.3.value	15 €'dan başlayan
stats.items.3.label	Aylık, stüdyo başına
stats.trust.0	Verileriniz size ait kalır
stats.trust.1	Roller sunucuda da uygulanır
stats.trust.2	İstediğiniz zaman CSV dışa aktarımı
stats.trust.3	Talep üzerine silme
compare.label	fark
compare.title	Yolunuza çıkan\\nşeyleri kaldırdık
compare.lead	Velora kendi deneyimimizden doğdu: stüdyolar yönettik ve her gün aynı duvara çarptık — bir müşteriyi kaydetmek için dokuz tıklama isteyen bir CRM. İşte değişenler.
compare.usual	Alışılagelen yol
compare.velora	Velora'da
compare.pairs.0.bad	Müşteriyi kaydetmek için takvimden başka bir ekrana geçip sonra geri dönmeniz gerekir
compare.pairs.0.good	Rezervasyonlar ve yeni müşteriler doğrudan takvimde oluşturulur
compare.pairs.1.bad	Raporlar Excel'e aktarılır ve elle karşılaştırılır
compare.pairs.1.good	Eğitmen ve hizmet bazında canlı raporlar, istediğiniz dönem için dışa aktarma ile
compare.pairs.2.bad	Bildirimler ayrıca ödeme yaptığınız ayrı bir hizmettir
compare.pairs.2.good	Telegram, e-posta ve WhatsApp olay × kanal matrisiyle yerleşik gelir
compare.pairs.3.bad	Bir eğitmen herkesin takvimini ve müşteri listesini görebilir
compare.pairs.3.good	Roller erişimi hem arayüzde hem sunucuda sınırlar
compare.pairs.4.bad	Bir asistan mı? En iyi ihtimalle müşteri araması
compare.pairs.4.good	Velora AI işletmeniz hakkında soruları yanıtlar — Telegram ve Instagram'da müşterilerinizin sorularını da
showcase.label	hepsi bir arada
showcase.title	Bir düzine hizmet yerine\\ntek platform
showcase.lead	Rezervasyonlar, müşteriler, para, iletişim ve AI tek arayüzde. Tek bir gereksiz modül yok: her ekran sahibin gerçek bir sorununu çözer.
showcase.blocks.journal.title	Takviminiz
showcase.blocks.journal.lead	Eğitmenlerin sütun, saatlerin satır olduğu günlük ızgara. Yöneticinin yaptığı her şey burada gerçekleşir.
showcase.blocks.journal.points.0	Dersi başka bir saate veya başka bir eğitmene sürükleyin
showcase.blocks.journal.points.1	Takvimden çıkmadan yeni dersler ve müşteriler oluşturun
showcase.blocks.journal.points.2	Günün özeti yan tarafta: salon doluluğu ve gelir
showcase.blocks.booking.title	Online rezervasyonunuz
showcase.blocks.booking.lead	Müşterilerin yöneticisiz, günün her saati kendi rezervasyonunu yaptığı dört kanal.
showcase.blocks.booking.points.0	Web bileşeni, Telegram, WhatsApp ve Instagram — her biri ayrı yapılandırılır
showcase.blocks.booking.points.1	Kurallar: başlangıçtan kaç saat önce rezervasyon kapanır ve müşteri ne zamana kadar iptal edebilir
showcase.blocks.booking.points.2	Canlı önizlemeli müşteri uygulaması markalaması — markanıza uygun renk ve dil
showcase.blocks.finance.title	Finansınız
showcase.blocks.finance.lead	Hesaplar, işlemler, maaşlar ve belgeler tek yerde; elektronik tabloya aktarma gerekmez.
showcase.blocks.finance.points.0	Bakiyeler ve günlük hareketlerle kasa, banka hesabı ve kart tahsilatı
showcase.blocks.finance.points.1	Müşteriye ve hesaba bağlı üyelikler, hediye kartları ve iadeler
showcase.blocks.finance.points.2	Kendi kurallarınıza göre hesaplanan eğitmen maaşları
showcase.blocks.notify.title	Bildirimleriniz
showcase.blocks.notify.lead	Üç teslim kanalı ve neyin nereye gönderileceğini belirlediğiniz bir matris.
