== es
nav.product	Producto
nav.modules	Módulos
nav.pricing	Precios
nav.faq	Preguntas frecuentes
nav.login	Iniciar sesión
nav.startShort	Empezar
nav.startFull	Probar gratis
nav.language	Idioma
hero.badge	El nuevo estándar de CRM en 2026
hero.title	Un CRM que te\n*encantará* usar
hero.lead	Un CRM B2B premium para estudios de yoga y pilates. Reservas, clientes, equipo y finanzas en un solo lugar. Sin clics de más ni complicaciones.
hero.cta	Prueba 30 días gratis
hero.perks.0	30 días gratis
hero.perks.1	Sin tarjeta bancaria
hero.perks.2	Cancela con un clic
marquee.0	Horario
marquee.1	Clientes
marquee.2	Bonos
marquee.3	Reservas online
marquee.4	Finanzas
marquee.5	Nóminas
marquee.6	Notificaciones
marquee.7	Fidelización
marquee.8	Informes
marquee.9	Velora AI
marquee.10	App para clientes
marquee.11	Roles y acceso
stats.items.0.value	30 días
stats.items.0.label	Gratis, sin tarjeta necesaria
stats.items.1.value	16
stats.items.1.label	Módulos en todos los planes
stats.items.2.value	4
stats.items.2.label	Canales de reserva online
stats.items.3.value	desde 15 €
stats.items.3.label	Al mes y por estudio
stats.trust.0	Tus datos siguen siendo tuyos
stats.trust.1	Roles aplicados en el servidor
stats.trust.2	Exportación CSV en cualquier momento
stats.trust.3	Eliminación a petición
compare.label	la diferencia
compare.title	Quitamos lo que\nte estorbaba
compare.lead	Velora nació de nuestra propia experiencia: gestionamos estudios y nos topábamos cada día con el mismo muro, un CRM donde reservar para un cliente costaba nueve clics. Esto es lo que ha cambiado.
compare.usual	Lo habitual
compare.velora	En Velora
compare.pairs.0.bad	Para reservar a un cliente sales del horario a otra pantalla y vuelves de nuevo
compare.pairs.0.good	Las reservas y los nuevos clientes se crean dentro del horario
compare.pairs.1.bad	Los informes se exportan a Excel y se concilian a mano
compare.pairs.1.good	Informes en vivo por entrenador y servicio, con exportación para cualquier periodo
compare.pairs.2.bad	Las notificaciones son un servicio aparte que se paga por separado
compare.pairs.2.good	Telegram, correo y WhatsApp integrados, con una matriz evento × canal
compare.pairs.3.bad	Un entrenador puede ver el horario y los clientes de los demás
compare.pairs.3.good	Los roles limitan el acceso tanto en la interfaz como en el servidor
compare.pairs.4.bad	¿Un asistente? Como mucho, una búsqueda de clientes
compare.pairs.4.good	Velora AI responde preguntas sobre tu negocio y responde a tus clientes en Telegram e Instagram
showcase.label	todo en uno
showcase.title	Una plataforma en lugar\nde una docena de servicios
showcase.lead	Reservas, clientes, dinero, comunicación e IA en una sola interfaz. No hay módulos de relleno: cada pantalla resuelve un problema real del propietario.
showcase.blocks.journal.title	Tu horario
showcase.blocks.journal.lead	Una cuadrícula diaria donde los entrenadores son columnas y las horas son filas. Aquí ocurre todo lo que hace un administrador.
showcase.blocks.journal.points.0	Arrastra una clase a otra hora o a otro entrenador
showcase.blocks.journal.points.1	Crea nuevas clases y clientes sin salir del horario
showcase.blocks.journal.points.2	El resumen del día está al lado: ocupación de salas e ingresos
showcase.blocks.booking.title	Tu reserva online
showcase.blocks.booking.lead	Cuatro canales mediante los que los clientes reservan por sí mismos, a cualquier hora y sin intervención del administrador.
showcase.blocks.booking.points.0	Widget web, Telegram, WhatsApp e Instagram: cada uno se configura por separado
showcase.blocks.booking.points.1	Reglas: cuántas horas antes empieza el cierre de reservas y hasta cuándo puede cancelar el cliente
