== no
categories.all	Alle
categories.vip	VIP
categories.active	Aktive
categories.new	Nye
categories.has_subscription	Med abonnement
categories.inactive	Inaktive
categories.frozen	Frosne
categories.birthday	Bursdag
categoriesInfo.all.text	Hele kundelisten for studioet, uten statusfilter.
categoriesInfo.vip.text	Vellykkede betalinger på totalt 50 000+ eller 30+ besøk. VIP kan også festes manuelt på kundekortet; en manuell festing gjelder uavhengig av beløpene.
categoriesInfo.active.text	Minst ett besøk de siste 60 dagene. Basert på oppmøte markert i journalen — statusen oppdateres av seg selv og trenger ikke settes manuelt.
categoriesInfo.new.text	De første 15 dagene fra registreringsdatoen, enten kunden ble lagt til manuelt eller kom via nettbestilling. På dag 16 flyttes kunden automatisk til Aktiv eller Inaktiv.
categoriesInfo.has_subscription.text	Har et gyldig abonnement: ikke utløpt, ikke frosset og med timer igjen. Oppdateres straks ved kjøp, etter hver brukte time og når det utløper.
categoriesInfo.inactive.text	Ingen besøk de siste 60 dagene — eller aldri besøkt og mer enn 15 dager siden registrering.
categoriesInfo.frozen.text	Frosset med knappen på kundekortet — den eneste statusen som settes manuelt. Etter opptining går kunden tilbake til automatisk status.
categoriesInfo.birthday.text	De som har bursdag i dag — dag og måned stemmer, året ignoreres. Listen oppdateres automatisk hver dag.
status.active	Aktiv
status.vip	VIP
status.new	Ny
status.inactive	Inaktiv
status.frozen	Frosset
filtersGuide.trigger	Om filtre
filtersGuide.title	Kundefiltre
filtersGuide.subtitle	Slik beregnes hver kategori. Klikk på et kort for å bruke filteret, eller endre en terskel — statusene beregnes på nytt med én gang.
filtersGuide.close	Lukk
filtersGuide.rule.new_client_days	Ny i
filtersGuide.rule.active_within_days	Besøk innen
filtersGuide.rule.vip_min_spent	Brukt fra
filtersGuide.rule.vip_min_visits	eller besøk
filtersGuide.unit.days	dager
filtersGuide.unit.money	
filtersGuide.unit.visits	besøk
toolbar.searchPlaceholder	Søk etter kunde…
toolbar.addClient	Legg til kunde
table.visits	besøk
table.frozenBadge	❄ frosset
table.totalSpent	Totalt brukt
table.subscription	Abonnement
table.of	av
table.noSubscription	Ingen abonnement
loadMore	Last inn flere
loading	Laster…
panel.tabs.info	Profil
panel.tabs.events	Hendelser
panel.tabs.notes	Notater
panel.tabs.wallet	Kjøp
panel.actions.book	Bestill
panel.actions.bonus	Bonus
panel.editDateHint	Klikk for å redigere
panel.since	siden {{date}}
panel.contacts.title	Kontaktinformasjon
panel.contacts.phone	Telefon
panel.contacts.email	E-post
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Fødselsdato
