== tr
loading	Yükleniyor…
chModal.eyebrow	Bildirim kanalı
chModal.connected	Bağlı
chModal.notConnected	Bağlı değil
chModal.setup	Bağlantı kurulumu
chModal.details	Bağlantı ayrıntıları
chModal.ready	Kanal çalışıyor
chModal.readyHint	Etkinleştirilen etkinliklerin bildirimleri otomatik gönderilir.
chModal.bot	Bot
chModal.token	Token
chModal.phone	Numara
chModal.account	Hesap
chModal.sender	Gönderen
channels.title	Teslimat kanalları
channels.connect	Bağlan
channels.connected	Bağlı
channels.openSettings	{{channel}} ayarları
channels.waLockedHint	Meta ödeme yönteminize, doğrulanmış işletmeye ve onaylı şablonlara sahip olduğunda kanal açılır
channels.waBlocker.payment	Ödeme yöntemi yok — hatırlatıcılar teslim edilmiyor. Ayarla
channels.waBlocker.verification	İşletme Meta'da doğrulanmadı — günlük 250 sınırı. Nasıl düzeltilir
channels.waBlocker.templates	Şablonlar hâlâ Meta incelemesinde — hiçbir şey gönderilmeyecek. Ayrıntılar
roles.client	Müşteri
roles.trainer	Eğitmen
roles.admin	Yönetici
roles.owner	Sahip
roles.activeCount_one	{{count}} etkin
roles.activeCount_other	{{count}} etkin
matrix.saving	Kaydediliyor…
matrix.allSaved	Tüm değişiklikler kaydedildi
matrix.notSaved	Kaydedilmedi
matrix.activateAll	Tümünü etkinleştir
matrix.deactivateAll	Tüm onay kutularını temizle
matrix.activeCount_one	Etkin tetikleyiciler: {{count}} / {{total}}
matrix.activeCount_other	Etkin tetikleyiciler: {{count}} / {{total}}
matrix.scenariosFor	Şunun için senaryolar: {{role}}
matrix.configureFor_one	{{count}} sistem tetikleyicisi için kanalları yapılandır
matrix.configureFor_other	{{count}} sistem tetikleyicisi için kanalları yapılandır
matrix.eventColumn	Sistem olayı
matrix.noActiveChannels	Etkin kanal yok
matrix.noActiveChannelsHint	Soldaki panelden en az bir teslimat kanalı etkinleştirin
matrix.adviceLabel	İpucu:
matrix.advice	Her rol için neyin nereye gönderileceğini ayrı ayrı yapılandırın — Velora bunu otomatik yönetir.
matrix.tiers.critical	Zorunlu · kapatılamaz
matrix.tiers.operational	Operasyonel
matrix.tiers.optional	İsteğe bağlı
matrix.lock.critical	Zorunlu bildirim — kapatılamaz
matrix.lock.lastChannel	Son teslimat kanalı — kapatılamaz
matrix.channelDisconnected	Kanal bağlı değil
events.c1.title	Rezervasyon onaylandı
events.c1.desc	Başarılı ders rezervasyonunda
events.c2.title	Ders hatırlatıcısı
events.c2.desc	24 saat ve 2 saat önce
events.c3.title	Ders iptal edildi
events.c3.desc	Eğitmen veya stüdyo iptal ettiğinde
events.c4.title	Ödeme başarılı
events.c4.desc	Başarılı çekimden sonra makbuz
events.c5.title	Dersler azalıyor
events.c5.desc	Paket içinde 1–2 ziyaret kaldığında
events.c6.title	Paketin süresi doluyor
events.c6.desc	Sona erme tarihinden 3 gün önce
events.c7.title	Doğum günü
events.c7.desc	Özel teklifli kutlama
events.c8.title	Değerlendirme isteği
events.c8.desc	Dersten sonra
events.c9.title	İade
events.c9.desc	İptal ve iade işleme alınırken
events.c10.title	Ders henüz ödenmedi
events.c10.desc	Müşteri katıldı ama ödeme yapmadı
events.c11.title	Ders yeniden planlandı
events.c11.desc	Saat, salon veya eğitmen değişti
events.c12.title	Bonus eklendi
events.c12.desc	Müşteriye puan veya bonus eklendi
events.c13.title	Dersten sonra kahve
events.c13.desc	Gruptan kimin kahveye gittiği
events.t1.title	Eğitmende yeni rezervasyon
events.t1.desc	Müşteri kişisel seans rezervasyonu yaptı
events.t2.title	Müşteri rezervasyonu iptal etti
events.t2.desc	Müşteri 2 saatten az kala iptal etti
events.t3.title	Ders hatırlatıcısı
events.t3.desc	Başlangıçtan 1 saat önce
events.t4.title	Grup listesi
events.t4.desc	Grup dersinden 30 dk. önce
events.t5.title	Takvim değişikliği
events.t5.desc	Yönetici saat veya konumu değiştirdi
events.t6.title	Maaş tahakkuk etti
events.t6.desc	Haftalık ödeme hesaplaması
events.t7.title	Yeni eğitmen değerlendirmesi
events.t7.desc	Müşteri dersten sonra puan verdi
events.t8.title	Müşterinin doğum günü
events.t8.desc	Kişisel olarak kutlamak için hatırlatıcı
events.t9.title	Ders iptal edildi
events.t9.desc	Stüdyo veya yönetici dersinizi iptal etti
events.a1.title	Yeni çevrimiçi rezervasyon
events.a1.desc	Müşteri site veya widget üzerinden rezervasyon yaptı
events.a2.title	Son dakika iptali
events.a2.desc	Dersten 1 saatten az önce
events.a3.title	Sistemde yeni müşteri
events.a3.desc	Yeni kullanıcı kaydı
events.a4.title	Ödeme alındı
events.a4.desc	Her başarılı çekim
events.a6.title	Paketler azalıyor
events.a6.desc	≤1 dersi kalmış müşteri grubu
events.a7.title	Takvim çakışması
events.a7.desc	Günlükte çakışan dersler
events.a8.title	Günlük rapor
events.a8.desc	Gün sonu özeti
events.a9.title	Giriş denemesi
events.a9.desc	Yeni bir cihazdan giriş
events.a10.title	İade
events.a10.desc	Yönetici iade işlemi yaptı
events.o1.title	Günlük özet
events.o1.desc	Günün geliri, rezervasyonları, katılımı
events.o2.title	Haftalık rapor
events.o2.desc	Göstergeler: müşteri büyümesi, LTV, dönüşüm
events.o3.title	Büyük ödeme
events.o3.desc	Belirlenen eşiğin üzerindeki çekim
events.o4.title	Veri anormalliği
events.o4.desc	Rezervasyon veya gelirde keskin düşüş
events.o5.title	Yeni ekip üyesi
events.o5.desc	Yönetici yeni hesap oluşturdu
events.o6.title	Plan yenilemesi
events.o6.desc	Velora aboneliğini ödeme hatırlatıcısı
events.o7.title	Erişim hakları değişti
events.o7.desc	Ekip üyesinin izinleri değiştirildi
events.o8.title	KPI'a ulaşıldı
events.o8.desc	Aylık hedefe ulaşıldı
events.o9.title	Veri dışa aktarma
events.o9.desc	Birisi müşteri veritabanını dışa aktardı
tg.title	Telegram
tg.subtitleConnected	Kanal bağlı
tg.subtitleDisconnected	Bildirim botunu bağlayın
tg.connected	Bağlı
tg.pasteToken	@BotFather'dan aldığınız bot tokenini yapıştırın.
tg.invalidToken	Geçersiz token biçimi
tg.howToGet	Token nasıl alınır:
tg.steps.1	Telegram'da @BotFather'ı açın
tg.steps.2	/newbot komutunu gönderin ve yönergeleri izleyin
tg.steps.3	Verilen tokeni kopyalayın
tg.steps.4	Yukarıdaki alana yapıştırın
tg.connect	Bağlan
tg.disconnect	Bağlantıyı kes
tg.disconnectTitle	Telegram bağlantısı kesilsin mi?
tg.disconnectMessage	Müşteriler ve personel bu kanal üzerinden bildirim almayı bırakacak.
tg.close	Kapat
tg.cancel	İptal
emailCh.title	E-posta
emailCh.subtitle	Müşteri e-postaları için gönderen adresi
emailCh.verifiedLabel	Doğrulandı
emailCh.emailLabel	Gönderen e-postası
emailCh.emailPlaceholder	admin@studio.com
emailCh.invalidEmail	Geçerli bir e-posta girin
emailCh.sendCode	Kod gönder
emailCh.codeSentTo	Kod şuraya gönderildi:
emailCh.codeHint	E-postadaki 6 haneli kodu girin.
emailCh.codeLabel	Doğrulama kodu
emailCh.resend	Kodu yeniden gönder
emailCh.viaVelora	E-postalar sizin adınıza Velora sunucusu üzerinden gönderilir.
emailCh.wrongCode	Geçersiz veya süresi dolmuş kod
emailCh.verify	Doğrula
emailCh.back	Geri
emailCh.cancel	İptal
wa.title	WhatsApp
wa.subtitleConnected	Kanal bağlı
wa.subtitleDisconnected	Meta işletme hesabınızla oturum açın
wa.connected	Bağlı
