== pt
tabs.overview	Visão geral
tabs.sales	Vendas
tabs.clients	Clientes
tabs.team	Equipa
tabs.schedule	Agenda
toolbar.period.day	Dia
toolbar.period.week	Semana
toolbar.period.month	Mês
toolbar.period.year	Ano
toolbar.period.custom	Personalizado
toolbar.vsPrevious	vs. período anterior: {{from}}–{{to}}
toolbar.allBranches	Todas as unidades
toolbar.allHalls	Todos os {{spacePlural}}
toolbar.allTrainers	Todos os instrutores
toolbar.allServices	Todos os serviços
toolbar.export	Exportar
insights.title	Requer atenção
insights.action	Abrir
insights.empty	Por enquanto está tudo bem — não há recomendações para mostrar
insights.revenue_up_clients_down	A receita aumentou, mas os clientes ativos diminuíram — verifique a perda de clientes
insights.clients_at_risk	{{count}} cliente(s) não participam há mais de 3 semanas — risco de perda
insights.lesson_overfull	«{{name}}» em {{weekday, weekday}} às {{hour}}:00 está {{pct}}% cheio há três semanas seguidas — considere adicionar mais uma sessão
insights.trial_low_conversion	Apenas {{pct}}% de {{buyers}} compradores de teste compraram uma subscrição depois — considere uma campanha
insights.fastest_growing_product	«{{name}}» cresce mais rápido: +{{pct}}% vs. o período anterior
insights.renewals_low	Apenas {{pct}}% dos clientes com subscrição expirada renovam — considere um lembrete
insights.new_no_second_visit	{{count}} novos clientes vieram uma vez e nunca mais reservaram — considere um lembrete
insights.subs_expiring_week	{{count}} clientes têm uma subscrição a expirar esta semana — considere oferecer renovação
insights.vip_inactive	O cliente VIP «{{name}}» não visita há {{days}} dias — considere uma mensagem pessoal
insights.high_return_free_evenings	«{{name}}» tem uma alta taxa de retorno ({{return_pct}}%), mas as noites estão livres — adicione uma sessão
insights.trainer_overloaded	«{{name}}» está com {{load_pct}}% de carga — considere reequilibrar a agenda
insights.low_rating	«{{name}}» tem avaliação de {{rating}} — vale a pena analisar melhor
insights.slot_chronic_low	«{{name}}» em {{weekday, isodowWeekday}} às {{hour}}:00 está {{pct}}% cheio há {{weeks}} semanas seguidas — mova ou cancele
insights.hall_idle_evenings	«{{name}}» fica inativo {{pct}}% das horas da noite — considere agendar uma sessão
insights.slot_overfull	O horário de {{weekday, isodowWeekday}} às {{hour}}:00 está {{pct}}% cheio há três semanas seguidas — considere adicionar mais uma sessão
insights.loss_hotspot	{{cancels}} sessões foram canceladas às {{label}} neste período — a maioria dos cancelamentos concentra-se nesta hora
table.loading	A carregar…
table.noProduct	Sem produto
empty.noData.title	Ainda não há nada aqui
empty.noData.text	Não foi registada atividade no período selecionado. Alargue o intervalo ou comece por marcar um cliente no Diário.
empty.noData.widen	Mostrar o ano
empty.noRevenue	Sem pagamentos neste período
empty.noSales	Sem vendas nesta seleção
empty.noProducts	Ainda não foram vendidos pacotes ou serviços
empty.noLessons	Sem sessões neste período
empty.noTrainerLessons	Este instrutor ainda não realizou sessões
empty.noRows	Sem registos nesta seleção
empty.noLosses	Sem cancelamentos ou faltas neste período
overview.kpi.revenue	Receita
overview.kpi.profit	Lucro
overview.kpi.attendance	Presença
overview.kpi.activeClients	Clientes ativos
overview.kpi.fillRate	Taxa de ocupação
overview.chart.metric.revenue	Receita
overview.chart.metric.profit	Lucro
overview.chart.metric.attendance	Presença
overview.chart.metric.new_clients	Novos clientes
overview.chart.metric.fill_rate	Taxa de ocupação
overview.revenueStructure.title	Estrutura da receita
overview.category.subscriptions	Subscrições
overview.category.services	Serviços
overview.category.certificates	Cartões-presente
overview.category.rent	Renda
overview.category.salary	Salários
overview.category.refunds	Reembolsos
overview.clientDynamics.title	Dinâmica dos clientes
overview.clientDynamics.new	Novos
overview.clientDynamics.returned	Regressaram
overview.clientDynamics.lost	Perdidos
overview.drilldown.title	Operação
overview.drilldown.category	Categoria
overview.drilldown.amount	Montante
overview.drilldown.lesson	Sessão
overview.drilldown.time	Hora
overview.drilldown.occupancy	Ocupação
overview.drilldown.date	Data
overview.drilldown.method	Método
overview.drilldown.trainer	Instrutor
overview.drilldown.rowsCount	registos
overview.drilldown.search	Pesquisar na tabela
overview.drilldown.shownOf	A mostrar {{shown}} de {{total}}
overview.drilldown.noMatches	Nada encontrado para «{{query}}»
overview.drilldown.reset	Repor
overview.drilldown.export	Exportar CSV
overview.drilldown.subtitle.money	Operações nesta seleção
overview.drilldown.subtitle.lessons	Sessões nesta seleção
overview.drilldown.hint.operations	Clique numa linha para abrir a operação em Finanças
overview.drilldown.hint.lessons	Clique numa linha para abrir esse dia no Diário
overview.drilldown.stat.net	Líquido
overview.drilldown.stat.income	Receita
overview.drilldown.stat.expense	Despesa
overview.drilldown.stat.operations	Operações
overview.drilldown.stat.topCategory	Categoria principal
overview.drilldown.stat.lessons	Sessões
overview.drilldown.stat.booked	Lugares reservados
overview.drilldown.stat.avgFill	Ocupação média
overview.drilldown.stat.trainers	Instrutores
overview.drilldown.stat.cancelled	Cancelado
sales.kpi.revenue	Receita
sales.kpi.salesCount	Vendas
sales.kpi.avgCheck	Ticket médio
sales.kpi.repeatShare	Percentagem de recompras
sales.kpi.renewals	Taxa de renovação
sales.chart.title	Vendas
sales.incomeOperations	Operações de receita
sales.breakdown.byCategory	O que compram
sales.breakdown.byMethod	Como pagam
sales.breakdown.buyerType	Quem compra
sales.breakdown.new	Novos
sales.breakdown.returning	Recorrentes
sales.breakdown.noClient	Sem cliente
sales.method.card	Cartão
sales.method.cash	Dinheiro
sales.method.qr	Código QR
sales.method.transfer	Transferência
sales.products.title	Produtos
sales.products.name	Produto
sales.products.sold	Vendidos
sales.products.revenue	Receita
sales.products.avgCheck	Ticket médio
sales.products.repeatShare	Percentagem de recompras
sales.products.trend	Tendência
sales.products.trendHint	Comparado com o período anterior da mesma duração
clients.kpi.new	Novos
clients.kpi.returned	Regressaram
clients.kpi.lost	Perdidos
clients.kpi.retention	Retenção
clients.kpi.avgValue	Valor do cliente
clients.chart.title	Novos vs. recorrentes
clients.chart.new	Novos
clients.chart.returned	Recorrentes
clients.riskTitle	Segmentos de risco
clients.loyalTitle	Fiéis
clients.list	Lista
clients.campaign	Iniciar campanha
clients.exportList	Exportar lista
clients.emptySegment	O segmento «{{name}}» não tem clientes neste momento
clients.segments.new.name	Novos clientes
clients.segments.new.desc	Registados no período selecionado
clients.segments.returned.name	Clientes recorrentes
clients.segments.returned.desc	Visitaram este período e o anterior
clients.segments.lost.name	Clientes perdidos
clients.segments.lost.desc	Visitaram no período anterior, mas não voltaram neste
clients.segments.active.name	Clientes ativos
clients.segments.active.desc	Vieram a pelo menos uma sessão no período selecionado
clients.segments.at_risk.name	Em risco
clients.segments.at_risk.desc	Ativos, mas sem visita há 21+ dias
clients.segments.vip_idle.name	VIP inativos
clients.segments.vip_idle.desc	Clientes VIP sem visita há 14+ dias
clients.segments.expiring_subscription.name	Subscrição a terminar
clients.segments.expiring_subscription.desc	Restam ≤2 sessões ou ≤7 dias
clients.segments.lost_newcomers.name	Nunca voltaram
