== no
tabs.overview	Oversikt
tabs.sales	Salg
tabs.clients	Kunder
tabs.team	Team
tabs.schedule	Timeplan
toolbar.period.day	Dag
toolbar.period.week	Uke
toolbar.period.month	Måned
toolbar.period.year	År
toolbar.period.custom	Egendefinert
toolbar.vsPrevious	sammenlignet med forrige periode: {{from}}–{{to}}
toolbar.allBranches	Alle avdelinger
toolbar.allHalls	Alle {{spacePlural}}
toolbar.allTrainers	Alle trenere
toolbar.allServices	Alle tjenester
toolbar.export	Eksporter
insights.title	Krever oppmerksomhet
insights.action	Åpne
insights.empty	Alt er bra akkurat nå — ingen råd å vise
insights.revenue_up_clients_down	Inntekten øker, men aktive kunder blir færre — sjekk kundefrafall
insights.clients_at_risk	{{count}} kunde(r) har ikke deltatt på over 3 uker — risiko for frafall
insights.lesson_overfull	«{{name}}» {{weekday, weekday}} kl. {{hour}}:00 har vært {{pct}} % fullt tre uker på rad — vurder å legge til en økt
insights.trial_low_conversion	Bare {{pct}} % av {{buyers}} prøvekjøpere kjøpte senere et abonnement — vurder en kampanje
insights.fastest_growing_product	«{{name}}» vokser raskest: +{{pct}} % sammenlignet med forrige periode
insights.renewals_low	Bare {{pct}} % av kunder med utløpt abonnement fornyer — vurder en påminnelse
insights.new_no_second_visit	{{count}} nye kunder kom én gang og bestilte aldri igjen — vurder en påminnelse
insights.subs_expiring_week	{{count}} kunder har et abonnement som utløper denne uken — vurder å tilby fornyelse
insights.vip_inactive	VIP-kunden «{{name}}» har ikke besøkt dere på {{days}} dager — vurder en personlig melding
insights.high_return_free_evenings	«{{name}}» har høy returrate ({{return_pct}} %), men ledige kvelder — legg til en økt
insights.trainer_overloaded	«{{name}}» er belastet {{load_pct}} % — vurder å balansere timeplanen
insights.low_rating	«{{name}}» har en vurdering på {{rating}} — verdt å se nærmere på
insights.slot_chronic_low	«{{name}}» {{weekday, isodowWeekday}} kl. {{hour}}:00 har vært {{pct}} % fullt i {{weeks}} uker på rad — flytt eller avlys det
insights.hall_idle_evenings	«{{name}}» er ubrukt {{pct}} % av kveldstimene — vurder å sette opp en økt
insights.slot_overfull	Tidspunktet {{weekday, isodowWeekday}} kl. {{hour}}:00 har vært {{pct}} % fullt tre uker på rad — vurder å legge til en økt
insights.loss_hotspot	{{cancels}} økter ble avlyst på {{label}} i denne perioden — flest avlysninger samler seg rundt denne timen
table.loading	Laster…
table.noProduct	Ingen produkt
empty.noData.title	Det er ingenting her ennå
empty.noData.text	Ingen aktivitet ble registrert i valgt periode. Utvid perioden, eller start med å booke en kunde i Journalen.
empty.noData.widen	Vis året
empty.noRevenue	Ingen betalinger i denne perioden
empty.noSales	Ingen salg i dette utsnittet
empty.noProducts	Ingen pakker eller tjenester solgt ennå
empty.noLessons	Ingen økter i denne perioden
empty.noTrainerLessons	Denne treneren har ikke holdt noen økter ennå
empty.noRows	Ingen oppføringer i dette utsnittet
empty.noLosses	Ingen avlysninger eller uteblivelser i denne perioden
overview.kpi.revenue	Inntekt
overview.kpi.profit	Fortjeneste
overview.kpi.attendance	Oppmøte
overview.kpi.activeClients	Aktive kunder
overview.kpi.fillRate	Fyllingsgrad
overview.chart.metric.revenue	Inntekt
overview.chart.metric.profit	Fortjeneste
overview.chart.metric.attendance	Oppmøte
overview.chart.metric.new_clients	Nye kunder
