== ro
tabs.overview	Prezentare generală
tabs.sales	Vânzări
tabs.clients	Clienți
tabs.team	Echipă
tabs.schedule	Program
toolbar.period.day	Zi
toolbar.period.week	Săptămână
toolbar.period.month	Lună
toolbar.period.year	An
toolbar.period.custom	Personalizat
toolbar.vsPrevious	față de perioada anterioară: {{from}}–{{to}}
toolbar.allBranches	Toate filialele
toolbar.allHalls	Toate {{spacePlural}}
toolbar.allTrainers	Toți antrenorii
toolbar.allServices	Toate serviciile
toolbar.export	Exportă
insights.title	Necesită atenție
insights.action	Deschide
insights.empty	Totul este bine deocamdată — nu există recomandări de afișat
insights.revenue_up_clients_down	Veniturile cresc, dar numărul clienților activi scade — verifică pierderea clienților
insights.clients_at_risk	{{count}} client(ți) nu au participat de peste 3 săptămâni — risc de pierdere
insights.lesson_overfull	„{{name}}” {{weekday, weekday}} la {{hour}}:00 este plin(ă) în proporție de {{pct}}% de trei săptămâni la rând — ia în calcul o sesiune suplimentară
insights.trial_low_conversion	Doar {{pct}}% dintre cei {{buyers}} cumpărători de probă au cumpărat ulterior un abonament — ia în calcul o campanie
insights.fastest_growing_product	„{{name}}” crește cel mai rapid: +{{pct}}% față de perioada anterioară
insights.renewals_low	Doar {{pct}}% dintre clienții cu abonament expirat reînnoiesc — ia în calcul un memento
insights.new_no_second_visit	{{count}} clienți noi au venit o dată și nu au mai rezervat — ia în calcul un memento
insights.subs_expiring_week	{{count}} clienți au un abonament care expiră săptămâna aceasta — ia în calcul o ofertă de reînnoire
insights.vip_inactive	Clientul VIP „{{name}}” nu a mai vizitat de {{days}} zile — ia în calcul un mesaj personal
insights.high_return_free_evenings	„{{name}}” are o rată mare de revenire ({{return_pct}}%), dar serile sunt libere — adaugă o sesiune
insights.trainer_overloaded	„{{name}}” este încărcat(ă) la {{load_pct}}% — ia în calcul echilibrarea programului
insights.low_rating	„{{name}}” are un scor de {{rating}} — merită analizat mai atent
insights.slot_chronic_low	„{{name}}” {{weekday, isodowWeekday}} la {{hour}}:00 este plin(ă) în proporție de {{pct}}% de {{weeks}} săptămâni la rând — mută sau anulează
insights.hall_idle_evenings	„{{name}}” este nefolosit(ă) în {{pct}}% din orele de seară — ia în calcul programarea unei sesiuni
insights.slot_overfull	Intervalul de {{weekday, isodowWeekday}} la {{hour}}:00 este plin în proporție de {{pct}}% de trei săptămâni la rând — ia în calcul o sesiune suplimentară
insights.loss_hotspot	{{cancels}} sesiuni au fost anulate la {{label}} în această perioadă — cele mai multe anulări se concentrează în jurul acestei ore
table.loading	Se încarcă…
table.noProduct	Fără produs
empty.noData.title	Încă nu este nimic aici
empty.noData.text	Nu a fost înregistrată activitate pentru perioada selectată. Extinde intervalul sau începe prin a programa un client în Jurnal.
empty.noData.widen	Afișează anul
empty.noRevenue	Fără plăți în această perioadă
empty.noSales	Fără vânzări în această secțiune
empty.noProducts	Nu s-au vândut încă pachete sau servicii
