== tr
header.allConfigured	Tüm programlar yapılandırıldı
header.allConfiguredSub	Sadakat sisteminiz tam kapasite çalışıyor
header.setup	Sadakat programlarını yapılandırın
header.setupSub	{{total}} programdan {{count}} tanesi yapılandırıldı · Her program müşteri bağlılığını artırır
header.start	Başlayın
programs.loyalty.title	Sadakat kartları
programs.loyalty.desc	Seviyeli puan biriktirme sistemi
programs.loyalty.statLabel	müşteri
programs.discounts.title	İndirimler ve cashback
programs.discounts.desc	Müşteriler için kişisel teklifler
programs.discounts.statLabel	aktif
programs.certificates.title	Hediye sertifikaları
programs.certificates.desc	Hediye ve isimli sertifikalar
programs.certificates.statLabel	satıldı
programs.referral.title	Tavsiyeler
programs.referral.desc	„Bir arkadaşını getir” programı
programs.referral.statLabel	tavsiye
programs.promocodes.title	Promosyon kodları
programs.promocodes.desc	Kullanım sınırı olan indirim kodları
programs.promocodes.statLabel	aktif
programs.deposit.title	Depozito
programs.deposit.desc	Müşterinin stüdyodaki para bakiyesi
programs.deposit.statLabel	bakiyeli
card.active	Aktif
card.disable	Devre dışı bırak
card.notConfigured	Yapılandırılmadı
card.configure	Yapılandır
drawer.subtitle	Program ayarları
drawer.saving	Kaydediliyor…
drawer.save	Kaydet ve etkinleştir
drawer.cancel	İptal
drawer.close	Kapat
config.mainParams	Ana parametreler
config.programName	Program adı
config.pointsRate	Puan oranı (1 puan için {{currency}})
config.levels	Seviyeler
config.pointValue	1 puan =
config.pointValueHint	Puanlar her seviyede aynı oranda kazanılır, ancak değerleri aynı değildir. Gold'a 1, Diamond'a 2 verin; müşterinin kazandığı bir puan kasada fiyatı iki kat daha fazla düşürür. Seviyenin faydası budur: Bir kişi stüdyoda ne kadar çok harcarsa puanları o kadar değerli olur.
config.expiry	Geçerlilik süresi
config.expiryTooltip	Müşterinin biriktirdiği puanları ne kadar süre kullanabileceği
config.expiryOptions.3m	3 ay
config.expiryOptions.6m	6 ay
config.expiryOptions.1y	1 yıl
config.expiryOptions.never	Süresiz
config.newLevelName	Yeni seviye
config.addLevel	+ Seviye
config.levelFrom	başlangıç
config.levelTo	bitiş
config.deleteLevelTitle	Bu seviye silinsin mi?
config.deleteLevelMessage	„{{name}}” seviyesindeki müşteriler toplam harcamalarına göre komşu seviyeye taşınır.
config.discountType	İndirim türü
config.discountTypes.percentage	Yüzde (%)
config.discountTypes.fixed	Sabit ({{currency}})
config.discountTypes.cashback	Cashback
config.cashbackPercent	Cashback yüzdesi
config.discountSize	İndirim tutarı
config.minPurchase	Minimum alışveriş tutarı
config.noLimit	Sınır yok
config.conditions	Uygulama koşulları
config.appliesToAll	Tüm hizmetlere uygula
config.stackable	Diğer indirimlerle birleştir
config.visibleInCabinet	Müşterinin hesabında göster
config.certType	Sertifika türü
config.certTypes.named	İsimli
config.certTypes.gift	Hediye
