== fr
nav.product	Produit
nav.modules	Modules
nav.pricing	Tarifs
nav.faq	FAQ
nav.login	Se connecter
nav.startShort	Commencer
nav.startFull	Essayer gratuitement
nav.language	Langue
hero.badge	La nouvelle référence CRM en 2026
hero.title	Un CRM que vous\n*aimerez* utiliser
hero.lead	Un CRM B2B haut de gamme pour les studios de yoga et de Pilates. Réservations, clients, équipe et finances au même endroit. Sans clics inutiles ni complications.
hero.cta	Essayer 30 jours gratuitement
hero.perks.0	30 jours gratuits
hero.perks.1	Sans carte bancaire
hero.perks.2	Annulation en un clic
marquee.0	Planning
marquee.1	Clients
marquee.2	Abonnements
marquee.3	Réservation en ligne
marquee.4	Finances
marquee.5	Paie
marquee.6	Notifications
marquee.7	Fidélité
marquee.8	Rapports
marquee.9	Velora AI
marquee.10	Application client
marquee.11	Rôles et accès
stats.items.0.value	30 jours
stats.items.0.label	Gratuits, sans carte requise
stats.items.1.value	16
stats.items.1.label	Modules dans chaque offre
stats.items.2.value	4
stats.items.2.label	Canaux de réservation en ligne
stats.items.3.value	à partir de 15 €
stats.items.3.label	Par mois et par studio
stats.trust.0	Vos données restent les vôtres
stats.trust.1	Rôles appliqués côté serveur
stats.trust.2	Export CSV à tout moment
stats.trust.3	Suppression sur demande
compare.label	la différence
compare.title	Nous avons supprimé ce\nqui vous ralentissait
compare.lead	Velora est née de notre propre expérience : nous avons géré des studios et rencontré chaque jour le même obstacle — un CRM où inscrire un client demandait neuf clics. Voici ce qui change.
compare.usual	La méthode habituelle
compare.velora	Dans Velora
compare.pairs.0.bad	Pour inscrire un client, vous quittez le planning, ouvrez un autre écran puis revenez
compare.pairs.0.good	Les réservations et nouveaux clients se créent directement dans le planning
compare.pairs.1.bad	Les rapports sont exportés vers Excel et rapprochés à la main
compare.pairs.1.good	Rapports en direct par coach et service, exportables pour toute période
compare.pairs.2.bad	Les notifications sont un service séparé à payer séparément
compare.pairs.2.good	Telegram, e-mail et WhatsApp intégrés, avec une matrice événement × canal
compare.pairs.3.bad	Un coach peut voir le planning et les clients de tous les autres
compare.pairs.3.good	Les rôles limitent l’accès dans l’interface comme sur le serveur
compare.pairs.4.bad	Un assistant ? Au mieux, une recherche de clients
compare.pairs.4.good	Velora AI répond aux questions sur votre activité — et à vos clients sur Telegram et Instagram
showcase.label	tout-en-un
showcase.title	Une plateforme plutôt\nqu’une douzaine de services
showcase.lead	Réservations, clients, finances, communication et IA dans une seule interface. Aucun module superflu : chaque écran résout un vrai problème de dirigeant.
showcase.blocks.journal.title	Votre planning
showcase.blocks.journal.lead	Une grille journalière avec les coachs en colonnes et les heures en lignes. Tout ce qu’un administrateur fait se passe ici.
showcase.blocks.journal.points.0	Glissez un cours vers un autre horaire — ou vers un autre coach
showcase.blocks.journal.points.1	Créez des cours et des clients sans quitter le planning
showcase.blocks.journal.points.2	Le récapitulatif de la journée est à côté : occupation des salles et chiffre d’affaires
showcase.blocks.booking.title	Votre réservation en ligne
showcase.blocks.booking.lead	Quatre canaux permettant aux clients de réserver eux-mêmes, à toute heure et sans administrateur.
showcase.blocks.booking.points.0	Widget web, Telegram, WhatsApp et Instagram — chacun se configure séparément
showcase.blocks.booking.points.1	Règles : délai de fermeture des réservations et limite d’annulation pour le client
showcase.blocks.booking.points.2	Identité de l’application client avec aperçu en direct — couleur et langue adaptées à votre marque
showcase.blocks.finance.title	Vos finances
showcase.blocks.finance.lead	Comptes, opérations, paie et documents au même endroit, sans export vers des tableurs.
showcase.blocks.finance.points.0	Caisse, compte bancaire et encaissement avec soldes et mouvements quotidiens
showcase.blocks.finance.points.1	Abonnements, certificats et remboursements liés à un client et à un compte
showcase.blocks.finance.points.2	Paie des coachs calculée selon vos propres règles
showcase.blocks.notify.title	Vos notifications
showcase.blocks.notify.lead	Trois canaux d’envoi et une matrice où vous décidez quoi envoyer et où.
showcase.blocks.notify.points.0	Telegram, e-mail et WhatsApp — chacun connecté avec la clé de votre studio
showcase.blocks.notify.points.1	Un ensemble d’événements distinct pour le client, le coach, l’administrateur et le propriétaire
showcase.blocks.notify.points.2	Rappels 24 h et 2 h avant, « il reste 1–2 cours », anniversaires, demandes d’avis
showcase.blocks.ai.title	Votre couche IA
showcase.blocks.ai.lead	L’assistant connaît le contexte de votre activité et est disponible sur chaque page — les agents répondent eux-mêmes aux clients.
showcase.blocks.ai.points.0	Questions sur le studio depuis la barre supérieure, sans ouvrir une autre section
showcase.blocks.ai.points.1	Agents IA sur Telegram et Instagram : ton de voix et mode « uniquement hors horaires »
showcase.blocks.ai.points.2	Statistiques : nombre de conversations traitées et leurs évaluations
ctaStrip.title	Essayez sans migration de données ni paiement d’avance
ctaStrip.button	Essayer gratuitement
ctaStrip.note	30 jours gratuits • Sans carte • Aide au démarrage
modules.label	modules
modules.title	16 modules,\ndéjà inclus
modules.lead	Pas une liste de promesses « bientôt disponible » : tout ce qui est indiqué fonctionne et fait partie de l’offre. Les rôles déterminent qui voit chaque section.
modules.items.dashboard.title	Tableau de bord
modules.items.dashboard.desc	Chiffre d’affaires, clients actifs, réservations et fidélisation — avec tendances
modules.items.journal.title	Planning
modules.items.journal.desc	Grille de journée par coach et salle, glissez pour replanifier
modules.items.clients.title	Clients
modules.items.clients.desc	Profil, abonnement, points, historique, notes, étiquettes
modules.items.staff.title	Équipe
modules.items.staff.desc	Profils, indicateurs, horaires de travail, affectations de salles
modules.items.catalog.title	Catalogue
modules.items.catalog.desc	Établissements, salles avec couleur et capacité, services du studio
modules.items.booking.title	Réservation en ligne
modules.items.booking.desc	Widget, Telegram, WhatsApp, Instagram et règles de réservation
modules.items.finance.title	Finances
modules.items.finance.desc	Comptes, opérations, tiers, documents, objectifs, paie
modules.items.notify.title	Notifications
modules.items.notify.desc	Telegram, e-mail, WhatsApp et une matrice événement × canal
modules.items.loyalty.title	Fidélité
modules.items.loyalty.desc	Cartes, réductions, certificats, abonnements, parrainages
modules.items.ai.title	Velora AI
modules.items.ai.desc	Un assistant métier et des agents pour vos clients
modules.items.reports.title	Rapports
modules.items.reports.desc	Par ventes, coachs et services — avec export
modules.items.miniapp.title	Application client
modules.items.miniapp.desc	L’espace client : réservations, abonnement, points
modules.items.multistudio.title	Multi-studios
modules.items.multistudio.desc	Plusieurs studios dans un même compte, basculez à tout moment
modules.items.roles.title	Rôles et accès
modules.items.roles.desc	Propriétaire, administrateur, coach — dans l’interface et sur le serveur
modules.items.settings.title	Paramètres
modules.items.settings.desc	Horaires, thème, équipe, sécurité, sessions
modules.items.data.title	Données
modules.items.data.desc	Export CSV, suppression sur demande
modules.integrations	Intégrations
modules.integrationsNote	connectées dans les paramètres du studio
pricing.label	tarifs
pricing.title	Votre offre dépend\nde la taille de votre équipe
pricing.lead	15 € pour deux personnes, puis +5 € par place supplémentaire, illimité — 120 €. Les 16 modules et Velora AI sont inclus à chaque niveau : vous payez la taille de votre équipe, pas pour débloquer des boutons. Trois modèles de paiement au choix et jusqu’à 40 % de réduction en payant à l’avance.
pricing.team	équipe
pricing.seats_one	personne
pricing.seats_other	personnes
pricing.unlimited	sans limite
pricing.scaleMin	2 places
pricing.scaleMax	∞ illimité
pricing.sliderAria	Combien de personnes travaillent dans votre studio
pricing.hint	**15 €** pour deux personnes, puis **+5 €** par place. Illimité — **120 €** par mois.
pricing.period	période de facturation
pricing.months	{{count}} mois
pricing.noDiscount	—
pricing.yourPrice	votre prix
pricing.perMonth	/ mois
pricing.amount	{{value}} €
pricing.amountPerMonth	{{value}} € / mois
pricing.rows.seats	Équipe
pricing.rows.perSeat	Par personne
pricing.rows.ai	Requêtes Velora AI
pricing.rows.aiPerMonth	{{value}} / mois
pricing.rows.modules	Modules
pricing.rows.modulesAll	les 16
pricing.rows.total	À payer pour {{count}} mois
pricing.rows.saved	Vous économisez
pricing.cta	Essayer 30 jours
pricing.note	Sans carte · annulation en un clic
pricing.models.0.title	Abonnement
pricing.models.0.price	à partir de 15 € / mois
pricing.models.0.desc	Un montant fixe. Vous connaissez le coût à l’avance, sans surprise à la fin du mois.
pricing.models.1.title	3 % du chiffre d’affaires
pricing.models.1.price	minimum 15 € / mois
pricing.models.1.desc	Payez selon le chiffre d’affaires. Lors d’un mois calme, vous ne complétez que jusqu’au minimum.
pricing.models.2.title	Combo
pricing.models.2.price	½ fixe + 1,5 %
pricing.models.2.desc	La moitié de l’abonnement plus un petit pourcentage — un juste milieu entre les deux modèles.
pricing.footnote	L’essai ne requiert pas de carte. Le modèle de paiement et le nombre de places peuvent être modifiés à tout moment dans l’application. Les prix s’entendent hors TVA : la taxe est calculée au paiement selon votre pays.
faq.label	questions
faq.title	Les questions les plus fréquentes
faq.items.0.q	Que comprend l’essai ?
faq.items.0.a	Accès complet à chaque module pendant 30 jours. Aucune carte bancaire nécessaire — si cela ne vous convient pas, ne renouvelez simplement pas.
faq.items.1.q	Mes clients verront-ils des publicités pour d’autres studios ?
faq.items.1.a	Non. Les clients réservent via le widget de votre site, votre Telegram, WhatsApp ou Instagram — et via une application client à vos couleurs et avec votre logo. Il n’existe aucun catalogue partagé avec d’autres studios.
faq.items.2.q	Qui voit quoi dans mon équipe ?
faq.items.2.a	Trois rôles. Le propriétaire voit tout. L’administrateur voit le planning, les clients et le tableau de bord. Le coach ne voit que ses cours et ses propres clients. La limite fonctionne dans l’interface comme sur le serveur : aucun moyen d’accéder aux données d’autrui.
faq.items.3.q	Puis-je gérer plusieurs studios ou établissements ?
faq.items.3.a	Oui, sans dépendre de l’offre. Un compte peut appartenir à plusieurs studios et basculer entre eux ; dans chaque studio, vous configurez les établissements et les salles.
faq.items.4.q	Existe-t-il un thème sombre et d’autres langues ?
faq.items.4.a	Oui, l’interface passe du clair au sombre et parle anglais, russe, ukrainien, tchèque et allemand. Le fuseau horaire, la devise et la langue se règlent pendant l’onboarding.
faq.items.5.q	Que deviennent mes données si je décide de partir ?
faq.items.5.a	Les données vous appartiennent. Les paramètres proposent un export CSV — clients, planning, finances, abonnements — et la suppression est faite à votre demande.
faq.notFoundTitle	Vous n’avez pas trouvé votre réponse ?
faq.notFoundLead	Écrivez-nous — nous répondons nous-mêmes, sans bots ni file d’attente.
faq.copied	Copié
about.label	à propos de nous
