== es
categories.all	Todos
categories.vip	VIP
categories.active	Activos
categories.new	Nuevos
categories.has_subscription	Con suscripción
categories.inactive	Inactivos
categories.frozen	Congelados
categories.birthday	Cumpleaños
categoriesInfo.all.text	La lista completa de clientes del estudio, sin ningún filtro de estado aplicado.
categoriesInfo.vip.text	Pagos realizados por un total de 50.000+ o 30+ visitas. También se puede fijar VIP manualmente en la ficha del cliente; la fijación manual se mantiene independientemente de los importes.
categoriesInfo.active.text	Al menos una visita en los últimos 60 días. Se basa en la asistencia registrada en el diario: el estado se actualiza solo, no hace falta configurarlo a mano.
categoriesInfo.new.text	Los primeros 15 días desde la fecha de registro, tanto si el cliente se añadió manualmente como si llegó mediante reserva en línea. El día 16 pasa automáticamente a Activo o Inactivo.
categoriesInfo.has_subscription.text	Tiene una suscripción vigente: no vencida, no congelada y con clases restantes. Se actualiza al instante al comprar, con cada clase utilizada y al vencer.
categoriesInfo.inactive.text	Sin visitas en los últimos 60 días, o sin haber visitado nunca y con más de 15 días desde el registro.
categoriesInfo.frozen.text	Congelado con el botón de la ficha del cliente: es el único estado que se establece a mano. Al descongelarlo, el cliente vuelve a su estado automático.
categoriesInfo.birthday.text	Quienes cumplen años hoy: coinciden el día y el mes, el año se ignora. La lista se actualiza automáticamente cada día.
status.active	Activo
status.vip	VIP
status.new	Nuevo
status.inactive	Inactivo
status.frozen	Congelado
filtersGuide.trigger	Acerca de los filtros
filtersGuide.title	Filtros de clientes
filtersGuide.subtitle	Cómo se calcula cada categoría. Haz clic en una tarjeta para aplicar el filtro o cambia un umbral: los estados se recalculan al momento.
filtersGuide.close	Cerrar
filtersGuide.rule.new_client_days	Nuevo durante
filtersGuide.rule.active_within_days	Visita en los últimos
filtersGuide.rule.vip_min_spent	Gastado desde
filtersGuide.rule.vip_min_visits	o visitas
filtersGuide.unit.days	días
filtersGuide.unit.money	
filtersGuide.unit.visits	visitas
toolbar.searchPlaceholder	Buscar cliente…
toolbar.addClient	Añadir cliente
table.visits	visitas
table.frozenBadge	❄ congelado
table.totalSpent	Total gastado
table.subscription	Suscripción
table.of	de
table.noSubscription	Sin suscripción
loadMore	Cargar más
loading	Cargando…
panel.tabs.info	Perfil
panel.tabs.events	Eventos
panel.tabs.notes	Notas
panel.tabs.wallet	Compras
panel.actions.book	Reservar
panel.actions.bonus	Bonus
panel.editDateHint	Haz clic para editar
panel.since	desde {{date}}
panel.contacts.title	Contacto
panel.contacts.phone	Teléfono
panel.contacts.email	Correo electrónico
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Fecha de nacimiento
panel.contacts.city	Ciudad
panel.contacts.copyHint	 · haz clic para copiar
panel.debt	{{amount}} pendientes de clases — acepta el pago en el Diario
panel.stats.visits	Visitas
panel.stats.spent	Gastado
panel.stats.subscription	Suscripción
panel.loyalty.points	puntos
panel.loyalty.level	nivel {{tier}}
panel.loyalty.toNext	Para el siguiente nivel: {{points}} puntos
panel.loyalty.multiplier	multiplicador de puntos ×{{value}}
panel.loyalty.worth	Vale {{amount}} al pagar
panel.loyalty.toNextLevel	Faltan {{amount}} para llegar a {{level}}
panel.loyalty.pointValue	1 punto = {{amount}}
panel.loyalty.nextPointValue	en {{level}} — {{amount}}
panel.loyalty.noBonus	Este nivel no cambia el valor de los puntos
panel.referral.title	Invitar a un amigo
