== bg
categories.all	Всички
categories.vip	VIP
categories.active	Активни
categories.new	Нови
categories.has_subscription	С абонамент
categories.inactive	Неактивни
categories.frozen	Замразени
categories.birthday	Рожден ден
categoriesInfo.all.text	Пълният списък с клиенти на студиото, без приложен филтър по статус.
categoriesInfo.vip.text	Успешни плащания на обща стойност 50 000+ или 30+ посещения. VIP може да се фиксира и ръчно в картата на клиента; ръчното фиксиране остава независимо от сумите.
categoriesInfo.active.text	Поне едно посещение през последните 60 дни. Изчислява се по присъствието, отбелязано в дневника — статусът се обновява сам, без ръчно задаване.
categoriesInfo.new.text	Първите 15 дни от датата на регистрация, независимо дали клиентът е добавен ръчно или е дошъл чрез онлайн резервация. На 16-ия ден автоматично преминава в Активен или Неактивен.
categoriesInfo.has_subscription.text	Има валиден абонамент: не е изтекъл, не е замразен и има оставащи занятия. Обновява се веднага при покупка, след всяко използвано занятие и при изтичане.
categoriesInfo.inactive.text	Няма посещения през последните 60 дни — или никога не е посещавал и са минали повече от 15 дни от регистрацията.
categoriesInfo.frozen.text	Замразен чрез бутона в картата на клиента — единственият статус, задаван ръчно. След размразяване клиентът се връща към автоматичния си статус.
categoriesInfo.birthday.text	Тези, които имат рожден ден днес — денят и месецът съвпадат, годината се игнорира. Списъкът се обновява автоматично всеки ден.
status.active	Активен
status.vip	VIP
status.new	Нов
status.inactive	Неактивен
status.frozen	Замразен
filtersGuide.trigger	За филтрите
filtersGuide.title	Филтри за клиенти
filtersGuide.subtitle	Как се изчислява всяка категория. Щракнете върху карта, за да приложите филтъра, или променете праг — статусите се преизчисляват веднага.
filtersGuide.close	Затвори
filtersGuide.rule.new_client_days	Нов за
filtersGuide.rule.active_within_days	Посещение в рамките на
filtersGuide.rule.vip_min_spent	Похарчено от
filtersGuide.rule.vip_min_visits	или посещения
filtersGuide.unit.days	дни
filtersGuide.unit.money	
filtersGuide.unit.visits	посещения
toolbar.searchPlaceholder	Търсене на клиент…
toolbar.addClient	Добави клиент
table.visits	посещения
table.frozenBadge	❄ замразен
table.totalSpent	Общо похарчено
