== tr
tabs.studios	Stüdyolar
tabs.services	Hizmetler
tabs.subscriptions	Üyelikler
modals.addStudio.steps.about.title	Stüdyo hakkında
modals.addStudio.steps.about.sub	Ad ve iletişim bilgileri
modals.addStudio.steps.about.trust	Verileriniz şifrelenir ve asla üçüncü taraflarla paylaşılmaz
modals.addStudio.steps.location.title	Konum
modals.addStudio.steps.location.sub	Bu şube nerede bulunuyor?
modals.addStudio.steps.location.trust	Adres, takvimde ve haritalarda kullanılır
modals.addStudio.steps.photo.title	Fotoğraf
modals.addStudio.steps.photo.sub	Stüdyo kapağı — isteğe bağlı
modals.addStudio.steps.photo.trust	Daha sonra şube ayarlarından ekleyebilirsiniz
modals.addStudio.stepCounter	{{total}} adımın {{current}}. adımı
modals.addStudio.step1.heading	Temel bilgiler
modals.addStudio.step1.subheading	Stüdyonun adı nedir ve nasıl ulaşılır?
modals.addStudio.step1.name	Stüdyo adı *
modals.addStudio.step1.namePlaceholder	Örn. Velora Studio
modals.addStudio.step1.phone	Telefon *
modals.addStudio.step1.email	E-posta *
modals.addStudio.step1.contactHint	Telefon veya e-posta girin — en az biri
modals.addStudio.step1.noContacts	İletişim bilgisi verilmedi
modals.addStudio.step1.new	YENİ
modals.addStudio.step2.heading	Konum
modals.addStudio.step2.subheading	Bu şubenin nerede olduğunu belirtin
modals.addStudio.step2.country	Ülke
modals.addStudio.step2.countryPlaceholder	Amerika Birleşik Devletleri
modals.addStudio.step2.city	Şehir *
modals.addStudio.step2.cityPlaceholder	New York
modals.addStudio.step2.address	Adres *
modals.addStudio.step2.addressPlaceholder	5th Avenue 12, daire 301
modals.addStudio.step2.noAddress	Adres verilmedi
modals.addStudio.step2.groupHint	“Ülke” ve “Şehir” alanları, şubeleri listede gruplamak için kullanılır.
modals.addStudio.step3.heading	Stüdyo fotoğrafı
modals.addStudio.step3.subheading	Bir kapak yükleyin — isteğe bağlıdır, atlayabilirsiniz
modals.addStudio.step3.uploadCta	Yüklemek için tıklayın
modals.addStudio.step3.uploadHint	JPG, PNG, en fazla 10 MB
modals.addStudio.step3.replace	Değiştir
modals.addStudio.step3.remove	Kaldır
modals.addStudio.step3.previewAlt	Önizleme
modals.addStudio.step3.summary	Özet
modals.addStudio.step3.uploadError	Fotoğraf yüklenemedi. Başka bir dosya deneyin veya kaldırın.
modals.addStudio.summaryRows.name	Ad
modals.addStudio.summaryRows.city	Şehir
modals.addStudio.summaryRows.address	Adres
modals.addStudio.nextPhoto	Sonraki — fotoğraf
modals.addStudio.submit	Stüdyo oluştur
modals.addStudio.skipPhoto	Fotoğrafı atla ve oluştur
modals.addStudio.illus.contacts	İletişim bilgileri
modals.addStudio.illus.newBranch	Yeni şube
modals.addStudio.illus.city	Şehir
modals.addStudio.illus.newBranchStudio	Yeni stüdyo şubesi
modals.editBranch.title	Şubeyi düzenle
modals.editBranch.name	Şube adı
modals.editBranch.namePlaceholder	Velora Studio
modals.editBranch.phone	Telefon
modals.editBranch.email	E-posta
modals.editBranch.emailPlaceholder	studio@velora.com
modals.editBranch.country	Ülke
modals.editBranch.countryPlaceholder	Amerika Birleşik Devletleri
modals.editBranch.city	Şehir
modals.editBranch.cityPlaceholder	New York
modals.editBranch.address	Adres
modals.editBranch.addressPlaceholder	5th Avenue 12
modals.editBranch.photo	Şube fotoğrafı
modals.editBranch.contactHint	Telefon veya e-posta girin
modals.editBranch.workingHours	Çalışma saatleri
modals.hall.titleNew	{{spaceAcc}} ekle
modals.hall.titleEdit	{{spaceAcc}} düzenle
modals.hall.name	Ad
modals.hall.namePlaceholder	{{space, capitalize}} A
modals.hall.capacity	Kapasite
modals.hall.area	Alan, m²
modals.hall.hourlyRate	Saatlik fiyat, {{currency}}
modals.hall.hourlyRatePlaceholder	3000
modals.hall.equipment	Ekipman
modals.hall.equipmentPlaceholder	Ekipman ekle
modals.hall.color	Renk
modals.hall.isOnline	Çevrimiçi
modals.hall.photo	Fotoğraf
modals.hall.subtitle	Şubedeki {{space, capitalize}}: koltuklar, ekipman, takvim rengi
modals.hall.previewTitle	Önizleme
modals.hall.sectionBasic	Temel bilgiler
modals.hall.sectionSpace	Alan
modals.hall.sectionLook	Görünüm
modals.hall.areaShort	Alan
modals.hall.hourlyRateShort	Saatlik fiyat
modals.hall.statArea	Alan
modals.hall.statRate	Fiyat / saat
modals.hall.isOnlineHint	Dersler çevrimiçi yapılır — fiziksel bir mekan yoktur.
modals.hall.colorHint	Buradaki dersler takvimde bu renkle vurgulanır.
modals.service.titleNew	Yeni hizmet
modals.service.titleEdit	Hizmeti düzenle
modals.service.name	Hizmet adı
modals.service.namePlaceholder	Hatha yoga
modals.service.category	Kategori
modals.service.type	Tür
modals.service.typeGroup	Grup
modals.service.typeIndividual	Bireysel
modals.service.price	Fiyat, {{currency}}
modals.service.pricePlaceholder	1200
modals.service.duration	Süre, dk
modals.service.durationPlaceholder	60
modals.service.maxClients	Maks. müşteri sayısı
modals.service.maxClientsPlaceholder	15
modals.service.description	Açıklama
modals.service.descriptionPlaceholder	Kısa hizmet açıklaması
modals.service.color	Renk
modals.service.subtitle	Takvimde ve online rezervasyonda görünür
modals.service.previewTitle	Takvim önizlemesi
modals.service.sectionBasic	Temel bilgiler
modals.service.sectionPricing	Fiyat ve süre
modals.service.sectionLook	Görünüm
modals.service.priceShort	Fiyat
modals.service.durationShort	Süre
modals.service.statSeats	Koltuklar
modals.service.colorHint	Dersler takvim ızgarasında bu renkle vurgulanır.
modals.service.bookingMode	Rezervasyon şekli
modals.service.bookingModeEvent	Kayıt
modals.service.bookingModeResource	Saat seç
modals.service.bookingModeEventHint	Müşteriler, önceden planladığınız bir derse kaydolur.
modals.service.bookingModeResourceHint	Müşteri bir uzman ve boş zaman seçer; {{offering}} aralığı onayda oluşturulur.
modals.service.bookable	Rezervasyona açık
modals.service.bookableOn	Evet
modals.service.bookableOff	Hayır
modals.service.bufferBefore	Önceki tampon
modals.service.bufferAfter	Sonraki tampon
modals.package.titleNew	Yeni paket
modals.package.titleEdit	Paketi düzenle
modals.package.name	Paket adı
modals.package.namePlaceholder	8 ders
modals.package.classCount	Ders sayısı
modals.package.classCountPlaceholder	8
