== it
nav.product	Prodotto
nav.modules	Moduli
nav.pricing	Prezzi
nav.faq	FAQ
nav.login	Accedi
nav.startShort	Inizia
nav.startFull	Inizia gratis
nav.language	Lingua
hero.badge	Il nuovo standard CRM nel 2026
hero.title	Un CRM che\n*amerai* usare
hero.lead	Un CRM B2B premium per studi di yoga e pilates. Prenotazioni, clienti, team e finanze in un unico posto. Nessun clic superfluo, nessuna complicazione.
hero.cta	Prova gratis per 30 giorni
hero.perks.0	30 giorni gratuiti
hero.perks.1	Nessuna carta richiesta
hero.perks.2	Annulla con un clic
marquee.0	Calendario
marquee.1	Clienti
marquee.2	Abbonamenti
marquee.3	Prenotazione online
marquee.4	Finanze
marquee.5	Paghe
marquee.6	Notifiche
marquee.7	Fidelizzazione
marquee.8	Report
marquee.9	Velora AI
marquee.10	App clienti
marquee.11	Ruoli e accessi
stats.items.0.value	30 giorni
stats.items.0.label	Gratis, senza carta richiesta
stats.items.1.value	16
stats.items.1.label	Moduli in ogni piano
stats.items.2.value	4
stats.items.2.label	Canali di prenotazione online
stats.items.3.value	da 15 €
stats.items.3.label	Al mese, per studio
stats.trust.0	I tuoi dati restano tuoi
stats.trust.1	Ruoli applicati sul server
stats.trust.2	Esportazione CSV in qualsiasi momento
stats.trust.3	Eliminazione su richiesta
compare.label	la differenza
compare.title	Abbiamo eliminato ciò\nche ostacolava il lavoro
compare.lead	Velora nasce dalla nostra esperienza: gestivamo studi e ogni giorno incontravamo lo stesso ostacolo, un CRM in cui prenotare un cliente richiedeva nove clic. Ecco cosa cambia.
compare.usual	Il modo abituale
compare.velora	In Velora
compare.pairs.0.bad	Per prenotare un cliente esci dal calendario, apri un’altra schermata e poi torni indietro
compare.pairs.0.good	Prenotazioni e nuovi clienti vengono creati direttamente nel calendario
compare.pairs.1.bad	I report vengono esportati in Excel e riconciliati a mano
compare.pairs.1.good	Report in tempo reale per istruttore e servizio, esportabili per qualsiasi periodo
compare.pairs.2.bad	Le notifiche sono un servizio separato da pagare a parte
compare.pairs.2.good	Telegram, email e WhatsApp integrati, con una matrice evento × canale
compare.pairs.3.bad	Un istruttore può vedere il calendario e i clienti di tutti gli altri
compare.pairs.3.good	I ruoli limitano l’accesso nell’interfaccia e sul server
compare.pairs.4.bad	Un assistente? Al massimo una ricerca clienti
compare.pairs.4.good	Velora AI risponde alle domande sulla tua attività e ai tuoi clienti su Telegram e Instagram
showcase.label	tutto in uno
showcase.title	Una piattaforma invece\ndi una dozzina di servizi
showcase.lead	Prenotazioni, clienti, denaro, comunicazione e IA in un’unica interfaccia. Nessun modulo superfluo: ogni schermata risolve un problema reale del titolare.
showcase.blocks.journal.title	Il tuo calendario
showcase.blocks.journal.lead	Una griglia giornaliera con gli istruttori in colonna e le ore in riga. Tutto ciò che fa un amministratore avviene qui.
showcase.blocks.journal.points.0	Trascina una lezione a un altro orario o a un altro istruttore
showcase.blocks.journal.points.1	Crea lezioni e nuovi clienti senza uscire dal calendario
showcase.blocks.journal.points.2	Il riepilogo della giornata è accanto: occupazione delle sale e ricavi
showcase.blocks.booking.title	La tua prenotazione online
showcase.blocks.booking.lead	Quattro canali con cui i clienti prenotano da soli, in ogni momento e senza coinvolgere l’amministratore.
showcase.blocks.booking.points.0	Widget web, Telegram, WhatsApp e Instagram: ciascuno configurato separatamente
showcase.blocks.booking.points.1	Regole: quante ore prima dell’inizio chiudere le prenotazioni e fino a quando un cliente può annullare
