== tr
tabs.overview	Genel bakış
tabs.sales	Satışlar
tabs.clients	Müşteriler
tabs.team	Ekip
tabs.schedule	Takvim
toolbar.period.day	Gün
toolbar.period.week	Hafta
toolbar.period.month	Ay
toolbar.period.year	Yıl
toolbar.period.custom	Özel
toolbar.vsPrevious	önceki döneme göre: {{from}}–{{to}}
toolbar.allBranches	Tüm şubeler
toolbar.allHalls	Tüm {{spacePlural}}
toolbar.allTrainers	Tüm eğitmenler
toolbar.allServices	Tüm hizmetler
toolbar.export	Dışa aktar
insights.title	Dikkat gerektiriyor
insights.action	Aç
insights.empty	Şimdilik her şey yolunda — gösterilecek öneri yok
insights.revenue_up_clients_down	Gelir artıyor ancak aktif müşteri sayısı düşüyor — müşteri kaybını kontrol edin
insights.clients_at_risk	{{count}} müşteri 3 haftadan uzun süredir katılmadı — kayıp riski
insights.lesson_overfull	„{{name}}” {{weekday, weekday}} günü {{hour}}:00’da üç haftadır art arda %{{pct}} dolu — başka bir seans eklemeyi düşünün
insights.trial_low_conversion	{{buyers}} deneme alıcısının yalnızca %{{pct}}’si sonrasında abonelik aldı — kampanya düzenlemeyi düşünün
insights.fastest_growing_product	„{{name}}” en hızlı büyüyor: önceki döneme göre +%{{pct}}
insights.renewals_low	Süresi dolmuş aboneliği olan müşterilerin yalnızca %{{pct}}’si yeniliyor — hatırlatıcı göndermeyi düşünün
insights.new_no_second_visit	{{count}} yeni müşteri bir kez geldi ve tekrar rezervasyon yapmadı — hatırlatıcı göndermeyi düşünün
insights.subs_expiring_week	{{count}} müşterinin aboneliği bu hafta sona eriyor — yenileme teklif etmeyi düşünün
insights.vip_inactive	VIP müşteri „{{name}}” {{days}} gündür ziyaret etmedi — kişisel bir mesaj göndermeyi düşünün
insights.high_return_free_evenings	„{{name}}” yüksek geri dönüş oranına sahip (%{{return_pct}}), ancak akşamlar boş — bir seans ekleyin
insights.trainer_overloaded	„{{name}}” %{{load_pct}} oranında yüklü — takvimi dengelemeyi düşünün
insights.low_rating	„{{name}}”in puanı {{rating}} — daha yakından incelemeye değer
insights.slot_chronic_low	„{{name}}” {{weekday, isodowWeekday}} günü {{hour}}:00’da {{weeks}} haftadır %{{pct}} dolu — taşıyın veya iptal edin
insights.hall_idle_evenings	„{{name}}” akşam saatlerinin %{{pct}}’sinde boş — bir seans planlamayı düşünün
insights.slot_overfull	{{weekday, isodowWeekday}} günü {{hour}}:00 saati üç haftadır %{{pct}} dolu — başka bir seans eklemeyi düşünün
insights.loss_hotspot	Bu dönemde {{label}} saatinde {{cancels}} seans iptal edildi — iptaller en çok bu saat çevresinde toplanıyor
table.loading	Yükleniyor…
table.noProduct	Ürün yok
empty.noData.title	Burada henüz bir şey yok
empty.noData.text	Seçilen dönemde etkinlik kaydedilmedi. Aralığı genişletin veya Günlük’te bir müşteri ayarlayarak başlayın.
empty.noData.widen	Yılı göster
empty.noRevenue	Bu dönemde ödeme yok
empty.noSales	Bu bölümde satış yok
empty.noProducts	Henüz paket veya hizmet satılmadı
empty.noLessons	Bu dönemde seans yok
empty.noTrainerLessons	Bu eğitmen henüz seans düzenlemedi
empty.noRows	Bu bölümde kayıt yok
empty.noLosses	Bu dönemde iptal veya gelmeme yok
overview.kpi.revenue	Gelir
overview.kpi.profit	Kâr
overview.kpi.attendance	Katılım
overview.kpi.activeClients	Aktif müşteriler
overview.kpi.fillRate	Doluluk oranı
overview.chart.metric.revenue	Gelir
overview.chart.metric.profit	Kâr
overview.chart.metric.attendance	Katılım
overview.chart.metric.new_clients	Yeni müşteriler
overview.chart.metric.fill_rate	Doluluk oranı
overview.revenueStructure.title	Gelir yapısı
overview.category.subscriptions	Abonelikler
overview.category.services	Hizmetler
overview.category.certificates	Hediye kartları
overview.category.rent	Kira
overview.category.salary	Maaşlar
overview.category.refunds	İadeler
overview.clientDynamics.title	Müşteri dinamikleri
overview.clientDynamics.new	Yeni
overview.clientDynamics.returned	Geri dönen
overview.clientDynamics.lost	Kaybedilen
