== da
categories.all	Alle
categories.vip	VIP
categories.active	Aktive
categories.new	Nye
categories.has_subscription	Med abonnement
categories.inactive	Inaktive
categories.frozen	Satte på pause
categories.birthday	Fødselsdag
categoriesInfo.all.text	Den fulde kundeliste for studiet uden noget statusfilter.
categoriesInfo.vip.text	Gennemførte betalinger på i alt 50.000+ eller 30+ besøg. VIP kan også fastgøres manuelt på kundekortet; en manuel fastgørelse gælder uanset beløbene.
categoriesInfo.active.text	Mindst ét besøg inden for de seneste 60 dage. Baseret på fremmøde markeret i journalen — status opdateres automatisk og behøver ikke sættes manuelt.
categoriesInfo.new.text	De første 15 dage fra registreringsdatoen, uanset om kunden er tilføjet manuelt eller kom via onlinebooking. På dag 16 flyttes kunden automatisk til Aktiv eller Inaktiv.
categoriesInfo.has_subscription.text	Har et gyldigt abonnement: ikke udløbet, ikke sat på pause og med lektioner tilbage. Opdateres straks ved køb, ved hver brugt lektion og ved udløb.
categoriesInfo.inactive.text	Ingen besøg de seneste 60 dage — eller aldrig besøgt og mere end 15 dage siden registrering.
categoriesInfo.frozen.text	Sat på pause med knappen på kundekortet — den eneste status, der sættes manuelt. Efter genaktivering vender kunden tilbage til sin automatiske status.
categoriesInfo.birthday.text	Dem, der har fødselsdag i dag — dag og måned matcher, året ignoreres. Listen opdateres automatisk hver dag.
status.active	Aktiv
status.vip	VIP
status.new	Ny
status.inactive	Inaktiv
status.frozen	Sat på pause
filtersGuide.trigger	Om filtre
filtersGuide.title	Kundefiltre
filtersGuide.subtitle	Sådan beregnes hver kategori. Klik på et kort for at anvende filteret, eller ændr en grænseværdi — statusserne genberegnes med det samme.
filtersGuide.close	Luk
filtersGuide.rule.new_client_days	Ny i
filtersGuide.rule.active_within_days	Besøg inden for
filtersGuide.rule.vip_min_spent	Brugt fra
filtersGuide.rule.vip_min_visits	eller besøg
filtersGuide.unit.days	dage
filtersGuide.unit.money	
filtersGuide.unit.visits	besøg
toolbar.searchPlaceholder	Søg efter kunde…
toolbar.addClient	Tilføj kunde
table.visits	besøg
table.frozenBadge	❄ på pause
table.totalSpent	Samlet brugt
table.subscription	Abonnement
table.of	af
table.noSubscription	Intet abonnement
loadMore	Indlæs flere
loading	Indlæser…
panel.tabs.info	Profil
panel.tabs.events	Hændelser
panel.tabs.notes	Noter
panel.tabs.wallet	Køb
panel.actions.book	Book
panel.actions.bonus	Bonus
panel.editDateHint	Klik for at redigere
panel.since	siden {{date}}
panel.contacts.title	Kontaktoplysninger
panel.contacts.phone	Telefon
panel.contacts.email	E-mail
