== hu
header.allConfigured	Minden program be van állítva
header.allConfiguredSub	Hűségprogram-rendszere teljes erővel működik
header.setup	Hűségprogramok beállítása
header.setupSub	{{count}} / {{total}} program beállítva · Minden program erősíti az ügyfélmegtartást
header.start	Kezdés
programs.loyalty.title	Hűségkártyák
programs.loyalty.desc	Többszintű pontgyűjtő rendszer
programs.loyalty.statLabel	ügyfél
programs.discounts.title	Kedvezmények és cashback
programs.discounts.desc	Személyes ajánlatok ügyfeleknek
programs.discounts.statLabel	aktív
programs.certificates.title	Ajándékutalványok
programs.certificates.desc	Ajándék- és névre szóló utalványok
programs.certificates.statLabel	eladott
programs.referral.title	Ajánlások
programs.referral.desc	„Hozz egy barátot” program
programs.referral.statLabel	ajánlás
programs.promocodes.title	Promóciós kódok
programs.promocodes.desc	Használati korláttal rendelkező kedvezménykódok
programs.promocodes.statLabel	aktív
programs.deposit.title	Letét
programs.deposit.desc	Az ügyfél pénzegyenlege a stúdióban
programs.deposit.statLabel	egyenleggel
card.active	Aktív
card.disable	Letiltás
card.notConfigured	Nincs beállítva
card.configure	Beállítás
drawer.subtitle	Programbeállítások
drawer.saving	Mentés…
drawer.save	Mentés és aktiválás
drawer.cancel	Mégse
drawer.close	Bezárás
config.mainParams	Fő paraméterek
config.programName	Program neve
config.pointsRate	Pontarány ({{currency}} 1 pontért)
config.levels	Szintek
config.pointValue	1 pont =
config.pointValueHint	A pontok minden szinten azonos arányban gyűlnek, de nem azonos az értékük. Adjon a Goldnak 1-et, a Diamondonak 2-t, így az ügyfél által szerzett pont kétszer annyival csökkenti az árat a pénztárnál. Ezt adja egy szint: minél többet költött valaki a stúdióban, annál értékesebbek a pontjai.
config.expiry	Lejárati idő
config.expiryTooltip	Mennyi ideig használhatja fel az ügyfél az összegyűjtött pontokat
config.expiryOptions.3m	3 hó
config.expiryOptions.6m	6 hó
config.expiryOptions.1y	1 év
config.expiryOptions.never	Nincs lejárat
config.newLevelName	Új szint
config.addLevel	+ Szint
config.levelFrom	ettől
config.levelTo	eddig
config.deleteLevelTitle	Törli ezt a szintet?
config.deleteLevelMessage	A „{{name}}” szint ügyfelei összes költésük alapján a szomszédos szintre kerülnek.
config.discountType	Kedvezmény típusa
config.discountTypes.percentage	Százalék (%)
config.discountTypes.fixed	Fix ({{currency}})
config.discountTypes.cashback	Cashback
config.cashbackPercent	Cashback százalék
config.discountSize	Kedvezmény összege
config.minPurchase	Minimális vásárlási összeg
config.noLimit	Nincs korlát
config.conditions	Alkalmazási feltételek
config.appliesToAll	Alkalmazás minden szolgáltatásra
config.stackable	Halmozható más kedvezményekkel
config.visibleInCabinet	Megjelenítés az ügyfél fiókjában
config.certType	Utalvány típusa
config.certTypes.named	Névre szóló
config.certTypes.gift	Ajándék
config.certTypes.service	Szolgáltatásra
config.denominations	Címletek
config.addDenom	+ Hozzáadás
config.service	Szolgáltatás
config.noServices	Még nincsenek szolgáltatások a katalógusban — adja hozzá őket a „Katalógusban”
config.params	Paraméterek
config.expiryDays	Lejárati idő (nap)
config.certIssue	Utalvány kiállítása
config.certCustomAmount	Egyéni összeg
config.certRecipientName	Címzett neve
config.certRecipientPlaceholder	Opcionális
config.certLinkClient	Kapcsolás ügyfélhez
config.certClientSearchPlaceholder	Kezdjen el nevet írni…
config.certAccount	Letéti számla
config.certAccountNone	Ne rögzítse a főkönyvben
config.certIssueButton	Kiállítás
