== sr
tabs.overview	Преглед
tabs.sales	Продаја
tabs.clients	Клијенти
tabs.team	Тим
tabs.schedule	Распоред
toolbar.period.day	Дан
toolbar.period.week	Недеља
toolbar.period.month	Месец
toolbar.period.year	Година
toolbar.period.custom	Прилагођено
toolbar.vsPrevious	у односу на претходни период: {{from}}–{{to}}
toolbar.allBranches	Све филијале
toolbar.allHalls	Сви {{spacePlural}}
toolbar.allTrainers	Сви тренери
toolbar.allServices	Све услуге
toolbar.export	Извези
insights.title	Захтева пажњу
insights.action	Отвори
insights.empty	За сада је све у реду — нема савета за приказ
insights.revenue_up_clients_down	Приход расте, али број активних клијената опада — проверите одлив клијената
insights.clients_at_risk	{{count}} клијент(а) није присуствовао више од 3 недеље — ризик од одлива
insights.lesson_overfull	„{{name}}” {{weekday, weekday}} у {{hour}}:00 је попуњен {{pct}}% већ три недеље заредом — размислите о додавању још једног термина
insights.trial_low_conversion	Само {{pct}}% од {{buyers}} купаца пробног пакета касније је купило претплату — размислите о кампањи
insights.fastest_growing_product	„{{name}}” расте најбрже: +{{pct}}% у односу на претходни период
insights.renewals_low	Само {{pct}}% клијената са истеклом претплатом обнавља је — размислите о подсетнику
insights.new_no_second_visit	{{count}} нових клијената дошло је једном и више није резервисало — размислите о подсетнику
insights.subs_expiring_week	{{count}} клијената има претплату која истиче ове недеље — размислите о понуди за обнову
insights.vip_inactive	VIP клијент „{{name}}” није посетио студио {{days}} дана — размислите о личној поруци
insights.high_return_free_evenings	„{{name}}” има високу стопу повратка ({{return_pct}}%), али су вечери слободне — додајте термин
insights.trainer_overloaded	„{{name}}” је оптерећен {{load_pct}}% — размислите о уравнотежењу распореда
insights.low_rating	„{{name}}” има оцену {{rating}} — вреди детаљније погледати
insights.slot_chronic_low	„{{name}}” {{weekday, isodowWeekday}} у {{hour}}:00 је попуњен {{pct}}% већ {{weeks}} недеља заредом — преместите или откажите
insights.hall_idle_evenings	„{{name}}” је неактиван {{pct}}% вечерњих сати — размислите о заказивању термина
insights.slot_overfull	Термин {{weekday, isodowWeekday}} у {{hour}}:00 је попуњен {{pct}}% већ три недеље заредом — размислите о додавању још једног термина
insights.loss_hotspot	{{cancels}} термина је отказано у {{label}} овог периода — највише отказивања је око тог сата
table.loading	Учитавање…
table.noProduct	Нема производа
empty.noData.title	Овде још нема ничега
empty.noData.text	Није забележена активност за изабрани период. Проширите опсег или почните тако што ћете заказати клијента у Дневнику.
empty.noData.widen	Прикажи годину
empty.noRevenue	Нема уплата у овом периоду
empty.noSales	Нема продаје у овом сегменту
empty.noProducts	Још нису продати пакети ни услуге
empty.noLessons	Нема термина у овом периоду
empty.noTrainerLessons	Овај тренер још није одржао термин
empty.noRows	Нема записа у овом сегменту
empty.noLosses	Нема отказивања ни недолазака у овом периоду
overview.kpi.revenue	Приход
overview.kpi.profit	Добит
overview.kpi.attendance	Присуство
overview.kpi.activeClients	Активни клијенти
overview.kpi.fillRate	Стопа попуњености
overview.chart.metric.revenue	Приход
overview.chart.metric.profit	Добит
overview.chart.metric.attendance	Присуство
overview.chart.metric.new_clients	Нови клијенти
overview.chart.metric.fill_rate	Стопа попуњености
overview.revenueStructure.title	Структура прихода
overview.category.subscriptions	Претплате
overview.category.services	Услуге
overview.category.certificates	Поклон-картице
overview.category.rent	Закуп
overview.category.salary	Плате
overview.category.refunds	Повраћаји
overview.clientDynamics.title	Динамика клијената
overview.clientDynamics.new	Нови
overview.clientDynamics.returned	Вратили се
overview.clientDynamics.lost	Изгубљени
overview.drilldown.title	Операција
overview.drilldown.category	Категорија
overview.drilldown.amount	Износ
overview.drilldown.lesson	Термин
overview.drilldown.time	Време
overview.drilldown.occupancy	Попуњеност
overview.drilldown.date	Датум
overview.drilldown.method	Начин
overview.drilldown.trainer	Тренер
overview.drilldown.rowsCount	записа
overview.drilldown.search	Претражи табелу
overview.drilldown.shownOf	Приказано {{shown}} од {{total}}
overview.drilldown.noMatches	Ништа није пронађено за „{{query}}”
overview.drilldown.reset	Ресетуј
overview.drilldown.export	Извези CSV
overview.drilldown.subtitle.money	Операције у овом сегменту
overview.drilldown.subtitle.lessons	Термини у овом сегменту
overview.drilldown.hint.operations	Кликните ред да отворите операцију у Финансијама
overview.drilldown.hint.lessons	Кликните ред да отворите тај дан у Дневнику
overview.drilldown.stat.net	Нето
overview.drilldown.stat.income	Приход
overview.drilldown.stat.expense	Расход
overview.drilldown.stat.operations	Операције
overview.drilldown.stat.topCategory	Главна категорија
overview.drilldown.stat.lessons	Термини
overview.drilldown.stat.booked	Резервисана места
overview.drilldown.stat.avgFill	Просечна попуњеност
overview.drilldown.stat.trainers	Тренери
