== el
categories.all	Όλοι
categories.vip	VIP
categories.active	Ενεργοί
categories.new	Νέοι
categories.has_subscription	Με συνδρομή
categories.inactive	Ανενεργοί
categories.frozen	Σε αναστολή
categories.birthday	Γενέθλια
categoriesInfo.all.text	Η πλήρης λίστα πελατών του στούντιο, χωρίς φίλτρο κατάστασης.
categoriesInfo.vip.text	Επιτυχημένες πληρωμές συνολικού ύψους 50.000+ ή 30+ επισκέψεις. Το VIP μπορεί επίσης να καρφιτσωθεί χειροκίνητα στην κάρτα πελάτη· το χειροκίνητο καρφίτσωμα διατηρείται ανεξάρτητα από τα ποσά.
categoriesInfo.active.text	Τουλάχιστον μία επίσκεψη τις τελευταίες 60 ημέρες. Βασίζεται στην παρουσία που σημειώνεται στο ημερολόγιο — η κατάσταση ενημερώνεται μόνη της, χωρίς χειροκίνητο ορισμό.
categoriesInfo.new.text	Οι πρώτες 15 ημέρες από την ημερομηνία εγγραφής, είτε ο πελάτης προστέθηκε χειροκίνητα είτε ήρθε μέσω ηλεκτρονικής κράτησης. Τη 16η ημέρα μεταφέρεται αυτόματα στους Ενεργούς ή Ανενεργούς.
categoriesInfo.has_subscription.text	Έχει ενεργή συνδρομή: δεν έχει λήξει, δεν είναι σε αναστολή και απομένουν μαθήματα. Ενημερώνεται αμέσως στην αγορά, μετά από κάθε χρησιμοποιημένο μάθημα και στη λήξη.
categoriesInfo.inactive.text	Καμία επίσκεψη τις τελευταίες 60 ημέρες — ή δεν έχει επισκεφθεί ποτέ και έχουν περάσει πάνω από 15 ημέρες από την εγγραφή.
categoriesInfo.frozen.text	Σε αναστολή από το κουμπί στην κάρτα πελάτη — η μόνη κατάσταση που ορίζεται χειροκίνητα. Μετά την άρση της αναστολής, ο πελάτης επιστρέφει στην αυτόματη κατάστασή του.
categoriesInfo.birthday.text	Όσοι έχουν σήμερα γενέθλια — η ημέρα και ο μήνας ταιριάζουν, το έτος αγνοείται. Η λίστα ανανεώνεται αυτόματα κάθε ημέρα.
status.active	Ενεργός
status.vip	VIP
status.new	Νέος
status.inactive	Ανενεργός
status.frozen	Σε αναστολή
filtersGuide.trigger	Σχετικά με τα φίλτρα
filtersGuide.title	Φίλτρα πελατών
filtersGuide.subtitle	Πώς υπολογίζεται κάθε κατηγορία. Κάντε κλικ σε μια κάρτα για να εφαρμόσετε το φίλτρο ή αλλάξτε ένα όριο — οι καταστάσεις υπολογίζονται ξανά αμέσως.
filtersGuide.close	Κλείσιμο
filtersGuide.rule.new_client_days	Νέος για
filtersGuide.rule.active_within_days	Επίσκεψη εντός
filtersGuide.rule.vip_min_spent	Δαπάνη από
filtersGuide.rule.vip_min_visits	ή επισκέψεις
filtersGuide.unit.days	ημέρες
filtersGuide.unit.money	
filtersGuide.unit.visits	επισκέψεις
toolbar.searchPlaceholder	Αναζήτηση πελάτη…
toolbar.addClient	Προσθήκη πελάτη
table.visits	επισκέψεις
table.frozenBadge	❄ σε αναστολή
table.totalSpent	Συνολική δαπάνη
table.subscription	Συνδρομή
table.of	από
table.noSubscription	Χωρίς συνδρομή
loadMore	Φόρτωση περισσότερων
loading	Φόρτωση…
panel.tabs.info	Προφίλ
panel.tabs.events	Συμβάντα
panel.tabs.notes	Σημειώσεις
panel.tabs.wallet	Αγορές
panel.actions.book	Κράτηση
panel.actions.bonus	Μπόνους
panel.editDateHint	Κάντε κλικ για επεξεργασία
panel.since	από {{date}}
panel.contacts.title	Επικοινωνία
panel.contacts.phone	Τηλέφωνο
panel.contacts.email	Email
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Ημερομηνία γέννησης
panel.contacts.city	Πόλη
panel.contacts.copyHint	 · κάντε κλικ για αντιγραφή
panel.debt	{{amount}} απλήρωτα για μαθήματα — δεχθείτε την πληρωμή στο Ημερολόγιο
panel.stats.visits	Επισκέψεις
panel.stats.spent	Δαπάνη
panel.stats.subscription	Συνδρομή
panel.loyalty.points	πόντοι
panel.loyalty.level	επίπεδο {{tier}}
panel.loyalty.toNext	Για το επόμενο επίπεδο: {{points}} πόντοι
panel.loyalty.multiplier	πολλαπλασιαστής πόντων ×{{value}}
panel.loyalty.worth	Αξία {{amount}} στο ταμείο
panel.loyalty.toNextLevel	{{amount}} ακόμη για το {{level}}
panel.loyalty.pointValue	1 πόντος = {{amount}}
panel.loyalty.nextPointValue	στο {{level}} — {{amount}}
panel.loyalty.noBonus	Αυτό το επίπεδο δεν αλλάζει την αξία των πόντων
panel.referral.title	Προσκαλέστε φίλο
panel.referral.copy	Αντιγραφή
panel.abonement.title	Συνδρομή
panel.abonement.lessons	{{remaining}}/{{total}} μαθήματα
panel.abonement.noSubscription	Δεν υπάρχει ενεργή συνδρομή
panel.abonement.noSubscriptionWarning	Ο πελάτης δεν έχει συνδρομή — προσφέρετε μία
panel.abonement.lowWarning	Απομένουν λίγα μαθήματα — προσφέρετε ανανέωση
panel.abonement.finishedWarning	Δεν απομένουν μαθήματα — προσφέρετε ανανέωση
panel.abonement.remind	Υπενθύμιση στον πελάτη
panel.abonement.reminderSent	Η υπενθύμιση στάλθηκε στον πελάτη
panel.products.single	μεμονωμένο
panel.products.pending	σε αναμονή
panel.products.frozen	σε αναστολή
panel.products.until	Ισχύει έως {{date}}
panel.products.startsOnFirstVisit	Η περίοδος ξεκινά με το πρώτο μάθημα
panel.wallet.buy	Αγορά
panel.wallet.active	Ενεργά
panel.wallet.archived	Αρχειοθετημένα
panel.wallet.singles	Μεμονωμένες επισκέψεις
panel.wallet.subscriptions	Συνδρομές
panel.wallet.noSingles	Δεν υπάρχουν ακόμη μεμονωμένες επισκέψεις
panel.wallet.emptyActive	Δεν υπάρχουν ενεργά προϊόντα
panel.wallet.emptyArchived	Δεν υπάρχουν αρχειοθετημένα προϊόντα
panel.wallet.emptyCatalog	Αυτό το στούντιο δεν έχει ακόμη πακέτα συνδρομών
panel.wallet.lessons	{{remaining}}/{{total}} μαθήματα
panel.wallet.lessonsCount_one	{{count}} μάθημα
panel.wallet.lessonsCount_other	{{count}} μαθήματα
panel.wallet.perVisit	Ανά μεμονωμένη επίσκεψη
panel.wallet.until	έως {{date}}
panel.wallet.frozenBadge	Σε αναστολή
panel.wallet.loadFailed	Αποτυχία φόρτωσης πορτοφολιού
panel.wallet.back	← Πίσω
panel.wallet.catalogTitle	Κατάλογος
panel.wallet.showAll	Όλα
panel.wallet.posTitle	Ταμείο
panel.wallet.promoLabel	Κωδικός προσφοράς
panel.wallet.promoPlaceholder	Εισαγάγετε κωδικό προσφοράς
panel.wallet.promoInvalid	Ο κωδικός προσφοράς δεν είναι έγκυρος
panel.wallet.useBonuses_one	Χρήση μπόνους ({{count}})
panel.wallet.useBonuses_other	Χρήση μπόνους ({{count}})
panel.wallet.useDeposit	Πληρωμή από κατάθεση ({{amount}})
panel.wallet.certLabel	Κωδικός πιστοποιητικού
panel.wallet.certPlaceholder	Εισαγάγετε κωδικό πιστοποιητικού
panel.wallet.certApplied	Πιστοποιητικό
panel.wallet.depositApplied	Κατάθεση
panel.wallet.base	Βασική τιμή
panel.wallet.discount	Έκπτωση
panel.wallet.bonuses	Μπόνους
panel.wallet.bonusesSpent_one	Μπόνους ({{count}} π.)
panel.wallet.bonusesSpent_other	Μπόνους ({{count}} π.)
panel.wallet.total	Σύνολο
panel.wallet.cash	Μετρητά
panel.wallet.card	Κάρτα
panel.wallet.cardStripe	Οι πληρωμές με κάρτα γίνονται μέσω σελίδας Stripe και καταλήγουν απευθείας στον λογαριασμό του στούντιο. Ρυθμίστε τις στις Οικονομικές συναλλαγές → Ηλεκτρονικές πληρωμές.
panel.wallet.offlineLocked	Οι πληρωμές με μετρητά είναι διαθέσιμες στα προγράμματα Combo και άνω
panel.wallet.payByCard	Πληρωμή με κάρτα
panel.wallet.confirmPay	Επιβεβαίωση πληρωμής
panel.wallet.confirmPayCovered	Επιβεβαίωση (ήδη πληρωμένο)
panel.wallet.confirmTitle	Επιβεβαίωση ληφθείσας πληρωμής;
panel.wallet.confirmMessage	Θα καταγραφεί έσοδο {{amount}} και το προϊόν θα δοθεί στον πελάτη.
panel.wallet.confirmMessageCard	Θα ανοίξει φόρμα πληρωμής Stripe για {{amount}}. Το προϊόν δίνεται και το έσοδο καταγράφεται όταν η πληρωμή ολοκληρωθεί επιτυχώς.
panel.wallet.payToStudio	Η πληρωμή καταλήγει στον λογαριασμό του στούντιο
panel.wallet.payConfirming	Επαλήθευση πληρωμής…
panel.wallet.close	Κλείσιμο
panel.wallet.confirmMessageCovered	Η πληρωμή καλύπτεται πλήρως από κατάθεση ή πιστοποιητικό. Το προϊόν θα δοθεί στον πελάτη.
panel.wallet.paySuccess	Η πληρωμή καταγράφηκε
