== hu
tabs.overview	Áttekintés
tabs.sales	Értékesítés
tabs.clients	Ügyfelek
tabs.team	Csapat
tabs.schedule	Időbeosztás
toolbar.period.day	Nap
toolbar.period.week	Hét
toolbar.period.month	Hónap
toolbar.period.year	Év
toolbar.period.custom	Egyéni
toolbar.vsPrevious	az előző időszakhoz képest: {{from}}–{{to}}
toolbar.allBranches	Minden telephely
toolbar.allHalls	Minden {{spacePlural}}
toolbar.allTrainers	Minden edző
toolbar.allServices	Minden szolgáltatás
toolbar.export	Exportálás
insights.title	Figyelmet igényel
insights.action	Megnyitás
insights.empty	Egyelőre minden rendben — nincs megjelenítendő javaslat
insights.revenue_up_clients_down	A bevétel nő, de az aktív ügyfelek száma csökken — ellenőrizze az elpártolást
insights.clients_at_risk	{{count}} ügyfél több mint 3 hete nem vett részt foglalkozáson — elpártolási kockázat
insights.lesson_overfull	A(z) „{{name}}” {{weekday, weekday}} {{hour}}:00-kor {{pct}}%-ban telt három hete egymás után — fontolja meg egy további alkalom hozzáadását
insights.trial_low_conversion	A(z) {{buyers}} próbakövető közül csak {{pct}}% vásárolt később előfizetést — fontolja meg egy kampány indítását
insights.fastest_growing_product	A(z) „{{name}}” nő a leggyorsabban: +{{pct}}% az előző időszakhoz képest
insights.renewals_low	A lejárt előfizetéssel rendelkező ügyfeleknek csak {{pct}}%-a újít — fontolja meg emlékeztető küldését
insights.new_no_second_visit	{{count}} új ügyfél egyszer jött el, és utána nem foglalt újra — fontolja meg emlékeztető küldését
insights.subs_expiring_week	{{count}} ügyfél előfizetése jár le ezen a héten — fontolja meg a megújítás felajánlását
insights.vip_inactive	A VIP ügyfél, „{{name}}”, {{days}} napja nem járt itt — fontolja meg személyes üzenet küldését
insights.high_return_free_evenings	A(z) „{{name}}” visszatérési aránya magas ({{return_pct}}%), de az esték szabadok — adjon hozzá alkalmat
insights.trainer_overloaded	A(z) „{{name}}” terheltsége {{load_pct}}% — fontolja meg az időbeosztás kiegyensúlyozását
insights.low_rating	A(z) „{{name}}” értékelése {{rating}} — érdemes közelebbről megvizsgálni
insights.slot_chronic_low	A(z) „{{name}}” {{weekday, isodowWeekday}} {{hour}}:00-kor {{pct}}%-ban telt {{weeks}} hete egymás után — helyezze át vagy törölje
insights.hall_idle_evenings	A(z) „{{name}}” az esti órák {{pct}}%-ában kihasználatlan — fontolja meg egy foglalkozás beütemezését
insights.slot_overfull	A(z) {{weekday, isodowWeekday}} {{hour}}:00-s idősáv {{pct}}%-ban telt három hete egymás után — fontolja meg egy további alkalom hozzáadását
insights.loss_hotspot	{{cancels}} foglalkozást mondtak le {{label}} időpontban ebben az időszakban — a legtöbb lemondás e köré az órára esik
table.loading	Betöltés…
table.noProduct	Nincs termék
empty.noData.title	Még nincs itt semmi
empty.noData.text	A kiválasztott időszakban nem rögzítettek tevékenységet. Bővítse az időtartományt, vagy kezdje azzal, hogy ügyfelet foglal a Naplóban.
empty.noData.widen	Év megjelenítése
empty.noRevenue	Nincsenek fizetések ebben az időszakban
empty.noSales	Nincs értékesítés ebben a nézetben
empty.noProducts	Még nem adtak el csomagot vagy szolgáltatást
empty.noLessons	Nincsenek foglalkozások ebben az időszakban
empty.noTrainerLessons	Ez az edző még nem tartott foglalkozást
empty.noRows	Nincsenek bejegyzések ebben a nézetben
empty.noLosses	Nincsenek lemondások vagy meg nem jelenések ebben az időszakban
overview.kpi.revenue	Bevétel
overview.kpi.profit	Nyereség
overview.kpi.attendance	Részvétel
overview.kpi.activeClients	Aktív ügyfelek
overview.kpi.fillRate	Telítettségi arány
overview.chart.metric.revenue	Bevétel
overview.chart.metric.profit	Nyereség
overview.chart.metric.attendance	Részvétel
overview.chart.metric.new_clients	Új ügyfelek
overview.chart.metric.fill_rate	Telítettségi arány
overview.revenueStructure.title	Bevételi szerkezet
overview.category.subscriptions	Előfizetések
overview.category.services	Szolgáltatások
overview.category.certificates	Ajándékkártyák
overview.category.rent	Bérlet
overview.category.salary	Bérek
overview.category.refunds	Visszatérítések
overview.clientDynamics.title	Ügyféldinamika
overview.clientDynamics.new	Új
overview.clientDynamics.returned	Visszatért
overview.clientDynamics.lost	Elveszett
overview.drilldown.title	Művelet
overview.drilldown.category	Kategória
overview.drilldown.amount	Összeg
overview.drilldown.lesson	Foglalkozás
overview.drilldown.time	Idő
overview.drilldown.occupancy	Telítettség
overview.drilldown.date	Dátum
overview.drilldown.method	Mód
overview.drilldown.trainer	Edző
overview.drilldown.rowsCount	bejegyzés
overview.drilldown.search	Keresés a táblázatban
overview.drilldown.shownOf	{{shown}} / {{total}} megjelenítve
overview.drilldown.noMatches	Nincs találat erre: „{{query}}”
overview.drilldown.reset	Visszaállítás
overview.drilldown.export	CSV exportálása
overview.drilldown.subtitle.money	Műveletek ebben a nézetben
overview.drilldown.subtitle.lessons	Foglalkozások ebben a nézetben
overview.drilldown.hint.operations	Kattintson egy sorra a művelet megnyitásához a Pénzügyekben
overview.drilldown.hint.lessons	Kattintson egy sorra az adott nap megnyitásához a Naplóban
overview.drilldown.stat.net	Nettó
overview.drilldown.stat.income	Bevétel
overview.drilldown.stat.expense	Kiadás
overview.drilldown.stat.operations	Műveletek
overview.drilldown.stat.topCategory	Legnagyobb kategória
overview.drilldown.stat.lessons	Foglalkozások
overview.drilldown.stat.booked	Lefoglalt helyek
overview.drilldown.stat.avgFill	Átlagos telítettség
overview.drilldown.stat.trainers	Edzők
overview.drilldown.stat.cancelled	Lemondva
sales.kpi.revenue	Bevétel
sales.kpi.salesCount	Értékesítések
sales.kpi.avgCheck	Átlagos kosárérték
sales.kpi.repeatShare	Ismételt vásárlások aránya
sales.kpi.renewals	Megújítási arány
sales.chart.title	Értékesítés
sales.incomeOperations	Bevételi műveletek
sales.breakdown.byCategory	Mit vásárolnak
sales.breakdown.byMethod	Hogyan fizetnek
sales.breakdown.buyerType	Ki vásárol
sales.breakdown.new	Újak
sales.breakdown.returning	Visszatérők
sales.breakdown.noClient	Nincs ügyfél
sales.method.card	Kártya
sales.method.cash	Készpénz
sales.method.qr	QR-kód
sales.method.transfer	Átutalás
sales.products.title	Termékek
sales.products.name	Termék
sales.products.sold	Eladva
sales.products.revenue	Bevétel
sales.products.avgCheck	Átlagos kosárérték
sales.products.repeatShare	Ismételt vásárlások aránya
sales.products.trend	Trend
sales.products.trendHint	Azonos hosszúságú előző időszakhoz viszonyítva
clients.kpi.new	Újak
