== el
legal.terms	Όροι χρήσης
legal.privacy	Πολιτική απορρήτου
tabs.plans	Προγράμματα και τιμές
tabs.invoices	Ιστορικό πληρωμών
tabs.method	Τρόπος πληρωμής
tabsShort.plans	Προγράμματα
tabsShort.invoices	Ιστορικό
tabsShort.method	Πληρωμή
paymentsHistory.title	Πλήρες ιστορικό πληρωμών
paymentsHistory.subtitle	Όλα τα τιμολόγια για αυτό το στούντιο
paymentsHistory.clearFilter	Εκκαθάριση
paymentsHistory.loadMore	Φόρτωση περισσότερων
planNames.start	Start
planNames.pro	Pro
planNames.business	Business
seats.title	Πόσα μέλη προσωπικού έχει το στούντιο
seats.hint	από {{amount}} τον μήνα
seats.stepNote	Κάθε επιπλέον θέση προσθέτει {{amount}} τον μήνα
seats.unlimitedNote	Χωρίς όριο προσωπικού
seats.perSeat	Ανά μέλος προσωπικού
limits.staff	Προσωπικό
limits.ai	Αιτήματα Velora AI
limits.unlimited	Απεριόριστα
banner.trialEnds	Η δοκιμή σας λήγει στις {{date}} — επιλέξτε πρόγραμμα
banner.renews	Η συνδρομή {{plan}} ανανεώνεται στις {{date}}
banner.expires	Η συνδρομή {{plan}} λήγει στις {{date}}
banner.choosePlan	Επιλέξτε πρόγραμμα
banner.dismiss	Κλείσιμο
banner.unpaid	Το πρόγραμμά σας δεν έχει πληρωθεί. Για να συνεχίσετε, πληρώστε στις ενότητες Προγράμματα και χρέωση.
banner.suspended	Η πρόσβαση έχει ανασταλεί επειδή το τιμολόγιο του προγράμματος είναι ληξιπρόθεσμο. Πληρώστε το στις ενότητες Προγράμματα και χρέωση.
paymentReturn.done	Η πληρωμή ολοκληρώθηκε — το πρόγραμμα {{plan}} είναι ενεργό.
paymentReturn.processing	Η πληρωμή επεξεργάζεται — η συνδρομή σας θα ενεργοποιηθεί σε λίγα λεπτά.
header.eyebrow	Velora · Χρέωση
header.title	Προγράμματα και χρέωση
header.subtitle	Διαχειριστείτε τη συνδρομή, τους τρόπους πληρωμής και το ιστορικό πληρωμών
header.totalSpent	Συνολική δαπάνη
header.monthsWithUs	Μήνες μαζί μας
header.saved	Εξοικονομήθηκαν
header.nextCharge	Επόμενη χρέωση
header.currentPlan	ΤΡΕΧΟΝ ΠΡΟΓΡΑΜΜΑ
header.noPlanName	Χωρίς πρόγραμμα
header.noPlan	Δεν υπάρχει ενεργή συνδρομή
header.active	Ενεργό
header.activeUntil	Ενεργό · έως {{date}}
header.trialPlanName	Δοκιμαστικό πρόγραμμα
header.trial	Δοκιμαστική περίοδος
header.trialUntil	Δοκιμαστική περίοδος · έως {{date}}
header.expired	Έληξε
header.percentRate	{{rate}}% των πωλήσεων
header.modePercent	Ποσοστιαίο πρόγραμμα
header.modeFixed	Σταθερό
header.modeCombo	Συνδυαστικό
header.unpaid	Το πρόγραμμα δεν έχει πληρωθεί
header.awaitingPayment	Αναμονή πληρωμής
mode.title	Μοντέλο πληρωμής
mode.subscription	Σταθερή συνδρομή
mode.percent	% των πωλήσεων
mode.combo	Συνδυασμός σταθερού + %
mode.short.subscription	Σταθερό
mode.short.percent	Ποσοστό
mode.short.combo	Συνδυαστικό
mode.descriptions.subscription	Πληρώστε ένα ποσό τον μήνα. Προβλέψιμο και οικονομικό.
mode.descriptions.percent	Χωρίς σταθερή χρέωση: {{rate}}% από κάθε πώληση, συμπεριλαμβανομένων των μετρητών.
mode.descriptions.combo	Μισή συνδρομή + {{rate}}% από κάθε πώληση, συμπεριλαμβανομένων των μετρητών.
mode.badges.popular	Δημοφιλές
mode.badges.flexible	Ευέλικτο
mode.percentCard.title	Το μοντέλο «3% των πωλήσεων»
mode.percentCard.description	Πληρώνετε μόνο όταν κερδίζετε: 3% από κάθε πώληση, χωρίς σταθερή χρέωση συνδρομής. Οι ηλεκτρονικές πληρωμές διαχωρίζονται αμέσως· τα μετρητά και οι καταθέσεις συγκεντρώνονται και έρχονται σε ένα τιμολόγιο κάθε μήνα.
mode.percentCard.noFixed	Χωρίς σταθερή χρέωση
mode.percentCard.payForResult	Πληρωμή για αποτέλεσμα
mode.percentCard.oneClick	Ενεργοποίηση με ένα κλικ
mode.percentCard.cta	Ενεργοποίηση μοντέλου 3%
mode.percentCard.ctaShort	Ενεργοποίηση 3%
mode.activateSuccess	Το μοντέλο πληρωμής ενημερώθηκε
mode.activateError	Δεν ήταν δυνατή η ενημέρωση του μοντέλου πληρωμής
mode.alreadyActive	Αυτό το μοντέλο πληρωμής είναι ήδη ενεργό — παρακάτω μπορείτε να ανανεώσετε ή να αλλάξετε πρόγραμμα
mode.confirmSwitchTitle	Αλλαγή μοντέλου πληρωμής;
mode.confirmSwitchMessage	Η συνδρομή σας είναι ενεργή. Η αλλαγή ισχύει αμέσως και το υπόλοιπο της πληρωμένης περιόδου ΧΑΝΕΤΑΙ ΟΛΟΚΛΗΡΩΤΙΚΑ: οι αχρησιμοποίητες ημέρες δεν επιστρέφονται ούτε μεταφέρονται.
mode.termsTitle	Επιβεβαιώστε τους όρους προγράμματος
