== pt
categories.all	Todos
categories.vip	VIP
categories.active	Ativos
categories.new	Novos
categories.has_subscription	Com subscrição
categories.inactive	Inativos
categories.frozen	Congelados
categories.birthday	Aniversário
categoriesInfo.all.text	A lista completa de clientes do estúdio, sem qualquer filtro de estado aplicado.
categoriesInfo.vip.text	Pagamentos bem-sucedidos num total de 50.000+ ou 30+ visitas. O VIP também pode ser fixado manualmente na ficha do cliente; a fixação manual mantém-se independentemente dos valores.
categoriesInfo.active.text	Pelo menos uma visita nos últimos 60 dias. Baseia-se nas presenças registadas no diário: o estado atualiza-se sozinho, sem ser necessário defini-lo manualmente.
categoriesInfo.new.text	Os primeiros 15 dias desde a data de registo, quer o cliente tenha sido adicionado manualmente ou chegado através da reserva online. No 16.º dia passa automaticamente a Ativo ou Inativo.
categoriesInfo.has_subscription.text	Tem uma subscrição ativa: não expirou, não está congelada e tem aulas restantes. Atualiza-se imediatamente na compra, a cada aula utilizada e quando expira.
categoriesInfo.inactive.text	Sem visitas nos últimos 60 dias, ou sem nunca ter visitado e com mais de 15 dias desde o registo.
categoriesInfo.frozen.text	Congelado através do botão na ficha do cliente: é o único estado definido manualmente. Depois de descongelar, o cliente regressa ao estado automático.
categoriesInfo.birthday.text	Quem faz anos hoje: o dia e o mês coincidem, o ano é ignorado. A lista é atualizada automaticamente todos os dias.
status.active	Ativo
status.vip	VIP
status.new	Novo
status.inactive	Inativo
status.frozen	Congelado
filtersGuide.trigger	Sobre os filtros
filtersGuide.title	Filtros de clientes
filtersGuide.subtitle	Como é calculada cada categoria. Clique num cartão para aplicar o filtro ou altere um limite: os estados são recalculados de imediato.
filtersGuide.close	Fechar
filtersGuide.rule.new_client_days	Novo durante
filtersGuide.rule.active_within_days	Visita nos últimos
filtersGuide.rule.vip_min_spent	Gasto a partir de
filtersGuide.rule.vip_min_visits	ou visitas
filtersGuide.unit.days	dias
filtersGuide.unit.money	
filtersGuide.unit.visits	visitas
toolbar.searchPlaceholder	Pesquisar cliente…
toolbar.addClient	Adicionar cliente
table.visits	visitas
table.frozenBadge	❄ congelado
table.totalSpent	Total gasto
table.subscription	Subscrição
table.of	de
table.noSubscription	Sem subscrição
loadMore	Carregar mais
loading	A carregar…
panel.tabs.info	Perfil
panel.tabs.events	Eventos
panel.tabs.notes	Notas
panel.tabs.wallet	Compras
panel.actions.book	Reservar
panel.actions.bonus	Bónus
panel.editDateHint	Clique para editar
panel.since	desde {{date}}
panel.contacts.title	Contactos
panel.contacts.phone	Telefone
panel.contacts.email	E-mail
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Data de nascimento
panel.contacts.city	Cidade
panel.contacts.copyHint	 · clique para copiar
panel.debt	{{amount}} em aulas por pagar — aceite o pagamento no Diário
panel.stats.visits	Visitas
panel.stats.spent	Gasto
panel.stats.subscription	Subscrição
panel.loyalty.points	pontos
panel.loyalty.level	nível {{tier}}
panel.loyalty.toNext	Até ao próximo nível: {{points}} pontos
panel.loyalty.multiplier	multiplicador de pontos ×{{value}}
panel.loyalty.worth	Vale {{amount}} no pagamento
panel.loyalty.toNextLevel	Faltam {{amount}} para chegar a {{level}}
panel.loyalty.pointValue	1 ponto = {{amount}}
panel.loyalty.nextPointValue	no nível {{level}} — {{amount}}
panel.loyalty.noBonus	Este nível não altera o valor dos pontos
