== tr
categories.all	Tümü
categories.vip	VIP
categories.active	Aktif
categories.new	Yeni
categories.has_subscription	Abonelikli
categories.inactive	Pasif
categories.frozen	Dondurulmuş
categories.birthday	Doğum günü
categoriesInfo.all.text	Durum filtresi uygulanmamış stüdyonun tüm müşteri listesi.
categoriesInfo.vip.text	Toplam 50.000+ tutarında başarılı ödeme veya 30+ ziyaret. VIP, müşteri kartına elle de sabitlenebilir; elle sabitleme tutarlardan bağımsız olarak korunur.
categoriesInfo.active.text	Son 60 günde en az bir ziyaret. Günlükte işaretlenen katılıma göre belirlenir — durum kendiliğinden güncellenir, elle ayarlamaya gerek yoktur.
categoriesInfo.new.text	Kayıt tarihinden itibaren ilk 15 gün; müşterinin elle eklenmiş veya çevrimiçi rezervasyonla gelmiş olması fark etmez. 16. günde otomatik olarak Aktif ya da Pasif durumuna geçer.
categoriesInfo.has_subscription.text	Geçerli aboneliği var: süresi dolmamış, dondurulmamış ve kalan dersleri bulunuyor. Satın alma anında, her kullanılan dersten sonra ve süresi dolduğunda güncellenir.
categoriesInfo.inactive.text	Son 60 günde hiç ziyaret yoksa veya müşteri hiç gelmemiş ve kayıttan itibaren 15 günden fazla geçmişse.
categoriesInfo.frozen.text	Müşteri kartındaki düğmeyle dondurulmuş — elle ayarlanan tek durum budur. Dondurma kaldırıldığında müşteri otomatik durumuna döner.
categoriesInfo.birthday.text	Bugün doğum günü olanlar — gün ve ay eşleşir, yıl dikkate alınmaz. Liste her gün otomatik yenilenir.
status.active	Aktif
status.vip	VIP
status.new	Yeni
status.inactive	Pasif
status.frozen	Dondurulmuş
filtersGuide.trigger	Filtreler hakkında
filtersGuide.title	Müşteri filtreleri
filtersGuide.subtitle	Her kategorinin nasıl hesaplandığı. Filtreyi uygulamak için bir karta tıklayın veya eşiği değiştirin — durumlar hemen yeniden hesaplanır.
filtersGuide.close	Kapat
filtersGuide.rule.new_client_days	Yeni olduğu süre
filtersGuide.rule.active_within_days	Şu süre içinde ziyaret
filtersGuide.rule.vip_min_spent	Şu tutardan itibaren harcama
filtersGuide.rule.vip_min_visits	veya ziyaret
filtersGuide.unit.days	gün
filtersGuide.unit.money	
filtersGuide.unit.visits	ziyaret
toolbar.searchPlaceholder	Müşteri ara…
toolbar.addClient	Müşteri ekle
table.visits	ziyaret
table.frozenBadge	❄ dondurulmuş
table.totalSpent	Toplam harcama
table.subscription	Abonelik
table.of	/
table.noSubscription	Abonelik yok
loadMore	Daha fazla yükle
loading	Yükleniyor…
panel.tabs.info	Profil
panel.tabs.events	Etkinlikler
panel.tabs.notes	Notlar
panel.tabs.wallet	Satın alımlar
panel.actions.book	Rezervasyon yap
panel.actions.bonus	Bonus
panel.editDateHint	Düzenlemek için tıklayın
panel.since	{{date}} tarihinden beri
panel.contacts.title	İletişim bilgileri
panel.contacts.phone	Telefon
panel.contacts.email	E-posta
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Doğum tarihi
panel.contacts.city	Şehir
panel.contacts.copyHint	 · kopyalamak için tıklayın
panel.debt	Dersler için {{amount}} ödenmemiş — ödemeyi Günlükte alın
panel.stats.visits	Ziyaretler
panel.stats.spent	Harcanan
panel.stats.subscription	Abonelik
panel.loyalty.points	puan
panel.loyalty.level	{{tier}} seviyesi
panel.loyalty.toNext	Sonraki seviyeye: {{points}} puan
panel.loyalty.multiplier	×{{value}} puan çarpanı
panel.loyalty.worth	Ödemede değeri: {{amount}}
panel.loyalty.toNextLevel	{{level}} seviyesine ulaşmak için {{amount}} daha
panel.loyalty.pointValue	1 puan = {{amount}}
panel.loyalty.nextPointValue	{{level}} seviyesinde — {{amount}}
panel.loyalty.noBonus	Bu seviye puan değerini değiştirmez
panel.referral.title	Arkadaşını davet et
panel.referral.copy	Kopyala
panel.abonement.title	Abonelik
panel.abonement.lessons	{{remaining}}/{{total}} ders
panel.abonement.noSubscription	Aktif abonelik yok
panel.abonement.noSubscriptionWarning	Müşterinin aboneliği yok — bir tane teklif edin
panel.abonement.lowWarning	Az ders kaldı — yenileme teklif edin
panel.abonement.finishedWarning	Ders kalmadı — yenileme teklif edin
panel.abonement.remind	Müşteriye hatırlat
panel.abonement.reminderSent	Hatırlatma müşteriye gönderildi
panel.products.single	tekli
panel.products.pending	kuyrukta
panel.products.frozen	dondurulmuş
panel.products.until	{{date}} tarihine kadar geçerli
panel.products.startsOnFirstVisit	Süre ilk dersle başlar
panel.wallet.buy	Satın al
panel.wallet.active	Aktif
panel.wallet.archived	Arşivlenmiş
panel.wallet.singles	Tek ziyaretler
panel.wallet.subscriptions	Abonelikler
panel.wallet.noSingles	Henüz tek ziyaret yok
panel.wallet.emptyActive	Aktif ürün yok
panel.wallet.emptyArchived	Arşivlenmiş ürün yok
panel.wallet.emptyCatalog	Bu stüdyoda henüz abonelik paketi yok
panel.wallet.lessons	{{remaining}}/{{total}} ders
panel.wallet.lessonsCount_one	{{count}} ders
panel.wallet.lessonsCount_other	{{count}} ders
panel.wallet.perVisit	Tek ziyaret başına
panel.wallet.until	{{date}} tarihine kadar
panel.wallet.frozenBadge	Dondurulmuş
panel.wallet.loadFailed	Cüzdan yüklenemedi
panel.wallet.back	← Geri
panel.wallet.catalogTitle	Katalog
panel.wallet.showAll	Tümü
panel.wallet.posTitle	Kasa
panel.wallet.promoLabel	Promosyon kodu
panel.wallet.promoPlaceholder	Promosyon kodunu girin
panel.wallet.promoInvalid	Promosyon kodu geçersiz
panel.wallet.useBonuses_one	Bonusları kullan ({{count}})
panel.wallet.useBonuses_other	Bonusları kullan ({{count}})
panel.wallet.useDeposit	Depozitodan öde ({{amount}})
panel.wallet.certLabel	Sertifika kodu
panel.wallet.certPlaceholder	Sertifika kodunu girin
panel.wallet.certApplied	Sertifika
panel.wallet.depositApplied	Depozito
panel.wallet.base	Temel fiyat
panel.wallet.discount	İndirim
panel.wallet.bonuses	Bonuslar
panel.wallet.bonusesSpent_one	Bonuslar ({{count}} p.)
panel.wallet.bonusesSpent_other	Bonuslar ({{count}} p.)
panel.wallet.total	Toplam
panel.wallet.cash	Nakit
panel.wallet.card	Kart
panel.wallet.cardStripe	Kart ödemeleri bir Stripe sayfasından geçer ve doğrudan stüdyonun hesabına ulaşır. Finans → Çevrimiçi ödemeler bölümünden ayarlayın.
panel.wallet.offlineLocked	Nakit ödemeler Combo ve üzeri planlarda kullanılabilir
