== sq
telegram.tokenLabel	Tokeni i botit
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Formati i tokenit është i pavlefshëm
telegram.verifyButton	Verifiko dhe lidhu
telegram.verifiedToast	Boti @{{username}} u lidh
telegram.verifyFailedToast	Telegrami e refuzoi këtë token
telegram.disconnect	Shkëpute
telegram.disconnectedToast	Boti u shkëput
telegram.disconnectConfirmTitle	Ta shkëputim botin?
telegram.disconnectConfirmMessage	Përgjigjësi automatik i Telegramit do të ndalojë së punuari derisa të rilidhni një bot.
telegram.gateTooltip	Lidhni fillimisht një bot
telegram.statsPending	Do të shfaqet sapo përgjigjësi automatik të fillojë të punojë
telegram.instructionTitle	Si të merrni një token
telegram.instructionStep1	Hapni @BotFather në Telegram
telegram.instructionStep2	Dërgoni komandën /newbot, zgjidhni një emër dhe emër përdoruesi për botin
telegram.instructionStep3	Kopjoni tokenin që ju jep
telegram.instructionStep4	Ngjiteni këtu dhe klikoni "Verifiko dhe lidhu"
instagram.connectButton	Lidh Instagramin
instagram.connectedToast	Instagrami u lidh
instagram.connectErrorToast	Nuk u lidh dot Instagrami — provoni përsëri
instagram.expiresUntil	Qasja vlen deri më {{date}}
instagram.disconnect	Shkëpute
instagram.disconnectedToast	Instagrami u shkëput
instagram.disconnectConfirmTitle	Ta shkëputim Instagramin?
instagram.disconnectConfirmMessage	Përgjigjësi automatik i Instagramit do të ndalojë së përgjigjuri klientëve derisa të rilidhni llogarinë.
instagram.gateTooltip	Lidhni fillimisht një llogari
instagram.statsPending	Do të shfaqet sapo përgjigjësi automatik të fillojë të punojë
instagram.instructionTitle	Si të lidheni
instagram.instructionStep1	Llogaria e studios duhet të jetë profesionale — Business ose Creator (Cilësimet e Instagramit → Lloji i llogarisë)
instagram.instructionStep2	Klikoni "Lidh Instagramin" dhe hyni me llogarinë e studios
instagram.instructionStep3	Lejoni qasjen te mesazhet
instagram.instructionStep4	Do të ktheheni këtu automatikisht
whatsapp.numberLabel	Numri i WhatsApp Business
whatsapp.connectLink	ose futni tokenin me dorë
whatsapp.gateTooltip	Lidhni fillimisht një numër WhatsApp
whatsapp.statsPending	Do të shfaqet sapo përgjigjësi automatik të fillojë të punojë
whatsapp.instructionTitle	Si të lidheni
whatsapp.instructionStep1	Klikoni “Lidh WhatsApp” — hapet një dritare e Meta-s
whatsapp.instructionStep2	Hyni në Facebook, zgjidhni një llogari biznesi dhe një numër (ose shtoni të ri) dhe konfirmojeni me kodin
whatsapp.instructionStep3	Numri lidhet një herë — i njëjti përdoret për njoftimet e klientëve; kthehuni këtu dhe aktivizoni përgjigjësin automatik
whatsapp.connectButton	Lidh WhatsApp
whatsapp.connectedToast	Numri i WhatsApp u lidh
whatsapp.connectErrorToast	Nuk u lidh dot numri i WhatsApp
whatsapp.disconnect	Shkëpute
whatsapp.disconnectedToast	WhatsApp u shkëput
whatsapp.disconnectConfirmTitle	Ta shkëputim WhatsApp-in?
whatsapp.disconnectConfirmMessage	Numri do të shkëputet gjithashtu nga njoftimet dhe integrimet e studios.
history.title	Historia e bisedave
history.empty	Nisni bisedën tuaj të parë
history.today	Sot
history.yesterday	Dje
history.earlier	Më herët
history.messagesCount_one	{{count}} mesazh
history.messagesCount_other	{{count}} mesazhe
history.deleteConfirmTitle	Ta fshijmë këtë bisedë?
history.deleteConfirmMessage	Të gjitha mesazhet në këtë bisedë do të fshihen përgjithmonë.
actions.newChat	Bisedë e re
actions.deleteChat	Fshi bisedën
actions.confirmTitle	Konfirmoni veprimin
actions.confirm	Konfirmo
actions.cancel	Anulo
actions.cancelled	Veprimi u anulua.
actions.done	U krye më {{date}}
actions.effect	Çfarë ndryshon
actions.undo	Zhbëje
actions.undoTitle	Ta zhbëjmë këtë veprim?
actions.undoMessage	Do të kthej mbrapsht atë që u bë: {{action}}. Orët që klientët i kanë rezervuar tashmë do të mbeten — vetëm një person mund t'i heqë ato.
actions.args.lesson_id	Ora
actions.args.client_id	Klienti
actions.args.reservation_id	Rezervimi
actions.args.alternate_with	Alterno me
actions.args.service_id	Shërbimi
actions.args.teacher_id	Trajneri
actions.args.hall_id	Salla
actions.args.start_time	Fillon
actions.args.duration_min	Kohëzgjatja, min
actions.args.total_spots	Vende
actions.args.price	Çmimi
actions.args.name	Emri
actions.args.last_name	Mbiemri
actions.args.phone	Telefoni
actions.args.email	Emaili
actions.args.city	Qyteti
actions.args.birth_date	Data e lindjes
actions.args.source	Burimi
actions.args.frozen	Pezulluar
actions.args.date_from	Nga
actions.args.date_to	Deri më
actions.args.weekdays	Ditët e javës
actions.args.time_from	Nga
