"Галочка","№","Фаза","Задача","Кто","Сложность","Время","Статус","Простыми словами","Зачем","Файлы","Что сделать","Готово когда"
FALSE,"1","1. Лояльность","Схемы лояльности и правки контрактов","Бэкенд","Средняя","1-2ч","Не начато","Описать форматы конфигов программ; карт; баллов; сертификатов; пакетов и починить два расхождения фронт-типов с моделями.","Контракт данных для всей фазы; расхождения сейчас гарантируют баги интеграции.","back/schemas/loyalty/loyalty.py; certificates.py; loyalty/__init__.py; front/src/api/loyalty/loyalty.types.ts","Заполнить LoyaltyConfigRead/Update; LoyaltyLevelRead; LoyaltyCardRead; PointTransactionRead; GiftCertificateRead/Create; SubscriptionPackageRead/Create/Update; конфиги скидок/сертификатов/абонементов/рефералки (Read/Update с is_enabled); наследовать BaseSchema из back/schemas/_base.py; expiry_period оставить строкой как в модели и поправить фронт-тип number|null на string.","Схемы импортируются; поля 1:1 с front/src/api/loyalty/loyalty.types.ts; фронт-тип expiry_period исправлен."
FALSE,"2","1. Лояльность","Роутер /loyalty: конфиги 5 программ","Бэкенд","Средняя","1-2ч","Не начато","Владелец включает и настраивает каждую из 5 программ; при первом обращении создаются настройки по умолчанию.","Страница Лояльность сейчас теряет все настройки после F5.","новые back/routers/loyalty/router.py и configs.py; регистрация префикса /loyalty в back/main.py","GET/PATCH /loyalty/config (StudioLoyaltyConfig); GET/PATCH /loyalty/discounts; /loyalty/certificates-config; /loyalty/subscriptions-config; /loyalty/referral — по одному паттерну: get-or-create строки студии; require_role(owner); скоуп через get_studio_context.","Через Swagger PATCH включает программу; повторный GET возвращает сохранённое; чужая студия недоступна."
FALSE,"3","1. Лояльность","Уровни; карты и сводка","Бэкенд","Средняя","1-2ч","Не начато","Отдать уровни (с дефолтными Серебро/Золото/Платина); карты клиентов с балансами и цифры для сводки страницы.","Питает грид уровней; список карт и StatsBoard вместо моков.","back/routers/loyalty/cards.py (новый); подключить в loyalty/router.py","GET /loyalty/levels (при пустоте создать 3 дефолтных уровня из формы LoyaltyConfig.tsx); GET /loyalty/cards; GET /loyalty/stats — участники; баллы в обороте; выручка от держателей карт (SUM операций клиентов с картой за период); пересчёт level_id по total_spent против порогов.","Уровни создаются при первом GET; карты отдают балансы; stats считается из реальных таблиц."
FALSE,"4","1. Лояльность","Баллы: ручной бонус и автоначисление","Бэкенд","Сложная","1-2ч","Не начато","Кнопка Бонус начисляет баллы вручную; оплата клиента автоматически начисляет баллы по курсу программы.","Замыкает лояльность на реальные деньги (Эпик 3) и оживляет кнопку Бонус.","back/routers/clients/loyalty.py (заглушка); back/routers/loyalty/points.py (новый); хелпер back/services/loyalty_engine.py; вызов из back/routers/finances/operations.py","POST /clients/{id}/bonus (amount; description) → LoyaltyPointTransaction + points_balance на карте (get-or-create карты); amount может быть отрицательным (списание баллов — ТЗ требует и начисление и списание); уход баланса ниже нуля — 400; хелпер accrue_points(db; studio_id; client_id; amount): если программа включена — баллы = amount/points_exchange_rate; вызвать после создания доходной операции с client_id; GET /clients/{id}/loyalty-history.","Бонус виден в балансе; списание уменьшает баланс и не пускает в минус; доходная операция на 1000 при курсе 100 добавляет 10 баллов; при выключенной программе не начисляет."
FALSE,"5","1. Лояльность","Сертификаты и пакеты абонементов","Бэкенд","Средняя","1-2ч","Не начато","Выпуск и погашение подарочных сертификатов; CRUD пакетов занятий для продажи.","Программы 3 и 4 из ТЗ; фронтовый loyaltyApi уже ждёт эти эндпоинты.","back/routers/loyalty/certificates.py и packages.py (новые); подключить в loyalty/router.py","GET/POST /loyalty/certificates (генерация уникального code; expires_at из expiry_days конфига); POST /loyalty/certificates/{id}/redeem → status=used + used_at; GET/POST/PATCH/DELETE /loyalty/subscriptions (SubscriptionPackage; is_active вместо удаления при наличии продаж).","Сертификат выпускается с уникальным кодом; погашение меняет статус; повторное погашение — 409; пакеты сохраняются."
FALSE,"6","2. Уведомления","Настройки каналов и матрица событий","Бэкенд","Средняя","1-2ч","Не начато","Сохранять какие каналы включены и матрицу событие × канал по каждой роли.","Страница Уведомления сейчас забывает всё после F5; notificationsApi уже ждёт эндпоинты.","новый back/routers/settings/notifications.py; подключить в back/routers/settings/router.py; новый back/schemas/settings/notifications.py","GET/PATCH /settings/notifications (StudioNotificationSettings; get-or-create; маппинг коротких ключей telegram/email/sms/push на колонки *_notifications через alias); GET /settings/notifications/events; PATCH — upsert NotificationEventToggle по (role; event_id; channel_key); event_id — строки из фронтовых NOTIF_EVENTS (c1; t1; ...).","PATCH тумблера сохраняется; GET матрицы возвращает сохранённые галочки после перезапуска сервера."
FALSE,"7","2. Уведомления","Почтовый отправщик (единственный реальный канал)","Бэкенд","Средняя","1-2ч","Не начато","Модуль отправки email через SMTP; заодно код подтверждения регистрации начинает приходить по-настоящему.","Сквозной поток уведомлений требует хотя бы один живой канал; print() в регистрации — давний долг.","новый back/services/mailer.py; back/routers/auth/register.py; back/requirements.txt (aiosmtplib); .env.example","async send_email(to; subject; html) на aiosmtplib; SMTP_HOST/PORT/USER/PASS/FROM из .env; при отсутствии кредов — фолбэк в print (dev-режим); заменить print() кода подтверждения на send_email; try/except — ошибка отправки логируется и не валит запрос.","С заполненным .env письмо с кодом регистрации реально приходит на ящик; без кредов — код в консоли как раньше."
FALSE,"8","2. Уведомления","Диспетчер: событие → матрица → письмо","Бэкенд","Сложная","1-2ч","Не начато","Одна функция notify(): смотрит матрицу и если у события включён email — шлёт письмо; остальные каналы молча пропускает.","Сердце фазы: события продукта начинают реально доходить до людей.","новый back/services/notifier.py; вызовы из back/routers/schedule/lessons.py (отмена занятия); reservations.py (запись клиента) и back/routers/finances/operations.py (успешная оплата)","notify(db; studio_id; role; event_id; context): прочитать NotificationEventToggle + StudioNotificationSettings; для email-канала собрать текст по event_id и отправить через mailer на email клиента (Client.email) или владельца; каналы telegram/whatsapp/sms/push — return без отправки; вызовы: подтверждение записи (c1); отмена занятия (c3) и успешная оплата (создание доходной операции с client_id — событие Финансов по ROADMAP).","Запись клиента с включённой галочкой c1×email шлёт письмо; с выключенной — нет; отмена занятия уведомляет записанных; доходная операция с client_id шлёт письмо об оплате при включённой галочке."
FALSE,"9","3. Онлайн-запись","Настройки записи и каналы (защищённый роутер)","Бэкенд","Средняя","1-2ч","Не начато","Владелец сохраняет правила записи; брендинг виджета и подключает каналы (Telegram-токен и другие).","Страница Онлайн-запись сейчас декорация; bookingApi уже ждёт эндпоинты.","новые back/routers/booking/router.py и settings.py; back/schemas/settings/booking.py; регистрация префикса /booking в back/main.py","GET/PATCH /booking/settings (StudioBookingSettings; get-or-create дефолтов); GET /booking/channels; PATCH /booking/channels/{type} (BookingChannelConfig upsert по channel_type из telegram/instagram/whatsapp/web; токен бота в config JSON; connected_at при активации); require_role(owner).","Настройки переживают F5 и перезапуск; PATCH канала telegram с токеном возвращает is_active=true и connected_at."
FALSE,"10","3. Онлайн-запись","Публичный каталог: услуги и свободные слоты","Бэкенд","Сложная","1-2ч","Не начато","Клиент студии без всякого логина видит услуги и ближайшие занятия со свободными местами.","Первая половина клиентского потока услуга → время; без авторизации.","новый back/routers/booking/public.py; подключить в booking/router.py","GET /public/booking/{studio_id}/services (активные услуги студии); GET /public/booking/{studio_id}/slots?service_id&date — занятия от (now + min_booking_advance_min) на booking_window_days вперёд со свободными местами (total_spots минус активные Reservation); только Depends(get_db) — паттерн auth/register.py; отдавать только публичные поля.","Запросы без токена работают; слот исчезает когда мест нет; правила смещают границы выдачи."
FALSE,"11","3. Онлайн-запись","Публичное бронирование","Бэкенд","Сложная","1-2ч","Не начато","Клиент оставляет имя и телефон и записывается на занятие; студия получает клиента и уведомление.","Замыкает клиентский поток подтверждением; источник роста из ROADMAP.","back/routers/booking/public.py","POST /public/booking/{studio_id}/reserve (lesson_id; name; phone): find-or-create Client по телефону в студии (source=online); переиспользовать проверки book_lesson из роутера клиентов (лимит мест; запрет дублей); booking_channel=web; уважать booking_active и cancellation_deadline_min; вызвать notify(c1) из задачи 8; записать событие в ленту студии (log_activity из Эпика 3 задачи 11); реферальный триггер first_visit — пометить ReferralRecord completed если есть pending.","Бронь без токена создаёт клиента и запись; занятие в Журнале показывает +1 место; событие видно в ленте; дубль — 400; при полном зале — 400."
FALSE,"12","4. Фронтенд","Лояльность: программы и дровер на API","Фронтенд","Сложная","1-2ч","Не начато","Тумблеры 5 программ и формы настроек реально сохраняются на сервер.","Главный экран Лояльности перестаёт быть декорацией.","front/src/pages/dashboard/Loyalty/hooks/useLoyalty.ts; components/drawer/configs/*.tsx (5 файлов); front/src/api/loyalty/loyalty.api.ts","Дополнить loyaltyApi методами конфигов 4 остальных программ и redeem/packages CRUD; useLoyalty грузит все конфиги при монтировании (is_enabled с сервера); формы дровера сделать контролируемыми и Сохранить и активировать → PATCH нужного конфига.","Включил программу; настроил; F5 — всё на месте; выключение сохраняется."
FALSE,"13","4. Фронтенд","Лояльность: сводка; карты; сертификаты; пакеты","Фронтенд","Средняя","1-2ч","Не начато","Цифры сводки; уровни и списки сертификатов/пакетов приходят с сервера вместо моков.","Честная статистика эффекта программ (ТЗ 10.2).","front/src/pages/dashboard/Loyalty/components/sections/StatsBoard.tsx; drawer/configs/CertificatesConfig.tsx; SubscriptionsConfig.tsx; Loyalty/constants.ts","KPI и распределение уровней из /loyalty/stats и /loyalty/levels; списки сертификатов и пакетов из loyaltyApi; выпуск сертификата и создание пакета из форм дровера; убрать мок-константы KPI/LEVELS/chartData.","Сводка совпадает с данными в базе; выпущенный сертификат появляется в списке после F5."
