== sv
nav.product	Produkt
nav.modules	Moduler
nav.pricing	Priser
nav.faq	Vanliga frågor
nav.login	Logga in
nav.startShort	Starta
nav.startFull	Starta gratis
nav.language	Språk
hero.badge	Den nya CRM-standarden 2026
hero.title	Ett CRM som du\n*älskar* att använda
hero.lead	Ett premium B2B-CRM för yoga- och pilatesstudior. Bokningar, kunder, team och ekonomi på ett ställe. Inga extra klick, inget krångel.
hero.cta	Prova gratis i 30 dagar
hero.perks.0	30 dagar gratis
hero.perks.1	Inget bankkort
hero.perks.2	Avsluta med ett klick
marquee.0	Schema
marquee.1	Kunder
marquee.2	Medlemskap
marquee.3	Onlinebokning
marquee.4	Ekonomi
marquee.5	Löner
marquee.6	Notifieringar
marquee.7	Lojalitet
marquee.8	Rapporter
marquee.9	Velora AI
marquee.10	Kundapp
marquee.11	Roller och åtkomst
stats.items.0.value	30 dagar
stats.items.0.label	Gratis, inget kort krävs
stats.items.1.value	16
stats.items.1.label	Moduler i varje plan
stats.items.2.value	4
stats.items.2.label	Kanaler för onlinebokning
stats.items.3.value	från 15 €
stats.items.3.label	Per månad och studio
stats.trust.0	Din data förblir din
stats.trust.1	Roller tillämpas på servern
stats.trust.2	CSV-export när som helst
stats.trust.3	Radering på begäran
compare.label	skillnaden
compare.title	Vi tog bort det\nsom stod i vägen
compare.lead	Velora växte fram ur vår egen erfarenhet: vi drev studior och stötte varje dag på samma vägg — ett CRM där det krävdes nio klick för att boka en kund. Här är vad som förändrades.
compare.usual	Det vanliga sättet
compare.velora	I Velora
compare.pairs.0.bad	För att boka en kund lämnar du schemat för en annan vy och går sedan tillbaka
compare.pairs.0.good	Bokningar och nya kunder skapas direkt i schemat
compare.pairs.1.bad	Rapporter exporteras till Excel och stäms av för hand
compare.pairs.1.good	Live-rapporter per tränare och tjänst, med export för valfri period
compare.pairs.2.bad	Notifieringar är en separat tjänst som du betalar för separat
compare.pairs.2.good	Telegram, e-post och WhatsApp är inbyggda med en händelse × kanal-matris
compare.pairs.3.bad	En tränare kan se allas andras scheman och kundregister
compare.pairs.3.good	Roller begränsar åtkomst både i gränssnittet och på servern
compare.pairs.4.bad	En assistent? I bästa fall kundsökning
compare.pairs.4.good	Velora AI svarar på frågor om din verksamhet — och på dina kunders frågor i Telegram och Instagram
showcase.label	allt i ett
showcase.title	En plattform i stället\nför ett dussin tjänster
