== es
telegram.tokenLabel	Token del bot
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Formato de token no válido
telegram.verifyButton	Verificar y conectar
telegram.verifiedToast	El bot @{{username}} está conectado
telegram.verifyFailedToast	Telegram rechazó este token
telegram.disconnect	Desconectar
telegram.disconnectedToast	El bot se ha desconectado
telegram.disconnectConfirmTitle	¿Desconectar el bot?
telegram.disconnectConfirmMessage	El respondedor automático de Telegram dejará de funcionar hasta que vuelvas a conectar un bot.
telegram.gateTooltip	Conecta primero un bot
telegram.statsPending	Aparecerá cuando el respondedor automático empiece a funcionar
telegram.instructionTitle	Cómo obtener un token
telegram.instructionStep1	Abre @BotFather en Telegram
telegram.instructionStep2	Envía el comando /newbot y elige un nombre y nombre de usuario para el bot
telegram.instructionStep3	Copia el token que recibes
telegram.instructionStep4	Pégalo aquí y haz clic en «Verificar y conectar»
instagram.connectButton	Conectar Instagram
instagram.connectedToast	Instagram está conectado
instagram.connectErrorToast	No se pudo conectar Instagram — inténtalo de nuevo
instagram.expiresUntil	Acceso válido hasta {{date}}
instagram.disconnect	Desconectar
instagram.disconnectedToast	Instagram se ha desconectado
instagram.disconnectConfirmTitle	¿Desconectar Instagram?
instagram.disconnectConfirmMessage	El respondedor automático de Instagram dejará de responder a los clientes hasta que vuelvas a conectar la cuenta.
instagram.gateTooltip	Conecta primero una cuenta
instagram.statsPending	Aparecerá cuando el respondedor automático empiece a funcionar
instagram.instructionTitle	Cómo conectar
instagram.instructionStep1	La cuenta del estudio debe ser profesional — Business o Creator (Configuración de Instagram → Tipo de cuenta)
instagram.instructionStep2	Haz clic en «Conectar Instagram» e inicia sesión con la cuenta del estudio
instagram.instructionStep3	Permite el acceso a los mensajes
instagram.instructionStep4	Volverás aquí automáticamente
whatsapp.numberLabel	Número de WhatsApp Business
whatsapp.connectLink	o introduce un token manualmente
whatsapp.gateTooltip	Conecta primero un número de WhatsApp
whatsapp.statsPending	Aparecerá cuando el respondedor automático empiece a funcionar
whatsapp.instructionTitle	Cómo conectar
whatsapp.instructionStep1	Haz clic en «Conectar WhatsApp» — se abrirá una ventana de Meta
whatsapp.instructionStep2	Inicia sesión en Facebook, elige una cuenta de empresa y un número (o añade uno nuevo) y confírmalo con el código
whatsapp.instructionStep3	El número se conecta una vez — se usa el mismo para notificaciones de clientes; vuelve aquí y activa el respondedor automático
whatsapp.connectButton	Conectar WhatsApp
whatsapp.connectedToast	El número de WhatsApp está conectado
whatsapp.connectErrorToast	No se pudo conectar el número de WhatsApp
whatsapp.disconnect	Desconectar
whatsapp.disconnectedToast	WhatsApp se ha desconectado
whatsapp.disconnectConfirmTitle	¿Desconectar WhatsApp?
whatsapp.disconnectConfirmMessage	El número también se desconectará de las notificaciones e integraciones del estudio.
history.title	Historial de chats
history.empty	Inicia tu primera conversación
history.today	Hoy
history.yesterday	Ayer
history.earlier	Antes
