== fr
categories.all	Tous
categories.vip	VIP
categories.active	Actifs
categories.new	Nouveaux
categories.has_subscription	Avec abonnement
categories.inactive	Inactifs
categories.frozen	Gelés
categories.birthday	Anniversaire
categoriesInfo.all.text	La liste complète des clients du studio, sans filtre de statut.
categoriesInfo.vip.text	Paiements réussis totalisant 50 000+ ou 30+ visites. Le statut VIP peut aussi être épinglé manuellement dans la fiche client ; cet épinglage reste actif quels que soient les montants.
categoriesInfo.active.text	Au moins une visite au cours des 60 derniers jours. Calculé à partir des présences marquées dans le journal : le statut se met à jour automatiquement, sans action manuelle.
categoriesInfo.new.text	Les 15 premiers jours suivant l'inscription, que le client ait été ajouté manuellement ou soit arrivé via la réservation en ligne. Au 16e jour, il passe automatiquement à Actif ou Inactif.
categoriesInfo.has_subscription.text	Dispose d'un abonnement actif : non expiré, non gelé et avec des cours restants. Mis à jour immédiatement à l'achat, après chaque cours utilisé et à l'expiration.
categoriesInfo.inactive.text	Aucune visite depuis 60 jours, ou aucune visite du tout plus de 15 jours après l'inscription.
categoriesInfo.frozen.text	Gelé via le bouton de la fiche client : le seul statut défini manuellement. Après dégel, le client retrouve son statut automatique.
categoriesInfo.birthday.text	Dont l'anniversaire est aujourd'hui : le jour et le mois correspondent, l'année est ignorée. La liste s'actualise chaque jour automatiquement.
status.active	Actif
status.vip	VIP
status.new	Nouveau
status.inactive	Inactif
status.frozen	Gelé
filtersGuide.trigger	À propos des filtres
filtersGuide.title	Filtres clients
filtersGuide.subtitle	Mode de calcul de chaque catégorie. Cliquez sur une carte pour appliquer le filtre, ou modifiez un seuil : les statuts sont recalculés immédiatement.
filtersGuide.close	Fermer
filtersGuide.rule.new_client_days	Nouveau pendant
filtersGuide.rule.active_within_days	Visite au cours des
filtersGuide.rule.vip_min_spent	Dépensé à partir de
filtersGuide.rule.vip_min_visits	ou visites
filtersGuide.unit.days	jours
filtersGuide.unit.money	
filtersGuide.unit.visits	visites
toolbar.searchPlaceholder	Rechercher un client…
toolbar.addClient	Ajouter un client
table.visits	visites
table.frozenBadge	❄ gelé
table.totalSpent	Total dépensé
table.subscription	Abonnement
table.of	sur
table.noSubscription	Aucun abonnement
loadMore	Afficher plus
loading	Chargement…
panel.tabs.info	Profil
panel.tabs.events	Événements
panel.tabs.notes	Notes
panel.tabs.wallet	Achats
panel.actions.book	Réserver
panel.actions.bonus	Bonus
panel.editDateHint	Cliquez pour modifier
panel.since	depuis le {{date}}
panel.contacts.title	Coordonnées
panel.contacts.phone	Téléphone
panel.contacts.email	E-mail
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Date de naissance
panel.contacts.city	Ville
panel.contacts.copyHint	 · cliquez pour copier
panel.debt	{{amount}} impayés pour des cours — acceptez le paiement dans le Journal
panel.stats.visits	Visites
panel.stats.spent	Dépensé
panel.stats.subscription	Abonnement
panel.loyalty.points	points
panel.loyalty.level	niveau {{tier}}
panel.loyalty.toNext	Jusqu'au niveau suivant : {{points}} points
panel.loyalty.multiplier	multiplicateur de points ×{{value}}
panel.loyalty.worth	Valeur de {{amount}} au paiement
panel.loyalty.toNextLevel	Encore {{amount}} pour atteindre {{level}}
panel.loyalty.pointValue	1 point = {{amount}}
panel.loyalty.nextPointValue	au niveau {{level}} — {{amount}}
panel.loyalty.noBonus	Ce niveau ne modifie pas la valeur des points
panel.referral.title	Inviter un ami
panel.referral.copy	Copier
panel.abonement.title	Abonnement
panel.abonement.lessons	{{remaining}}/{{total}} cours
panel.abonement.noSubscription	Aucun abonnement actif
panel.abonement.noSubscriptionWarning	Le client n'a pas d'abonnement — proposez-en un
panel.abonement.lowWarning	Il reste peu de cours — proposez un renouvellement
panel.abonement.finishedWarning	Il ne reste plus de cours — proposez un renouvellement
panel.abonement.remind	Rappeler au client
panel.abonement.reminderSent	Rappel envoyé au client
panel.products.single	à l'unité
panel.products.pending	en attente
panel.products.frozen	gelé
panel.products.until	Valable jusqu'au {{date}}
panel.products.startsOnFirstVisit	La période commence au premier cours
panel.wallet.buy	Acheter
panel.wallet.active	Actifs
panel.wallet.archived	Archivés
panel.wallet.singles	Visites à l'unité
panel.wallet.subscriptions	Abonnements
panel.wallet.noSingles	Pas encore de visites à l'unité
panel.wallet.emptyActive	Aucun produit actif
panel.wallet.emptyArchived	Aucun produit archivé
panel.wallet.emptyCatalog	Ce studio n'a pas encore de formules d'abonnement
panel.wallet.lessons	{{remaining}}/{{total}} cours
panel.wallet.lessonsCount_one	{{count}} cours
panel.wallet.lessonsCount_other	{{count}} cours
panel.wallet.perVisit	Par visite à l'unité
panel.wallet.until	jusqu'au {{date}}
panel.wallet.frozenBadge	Gelé
panel.wallet.loadFailed	Impossible de charger le portefeuille
panel.wallet.back	← Retour
panel.wallet.catalogTitle	Catalogue
panel.wallet.showAll	Tous
panel.wallet.posTitle	Paiement
panel.wallet.promoLabel	Code promo
panel.wallet.promoPlaceholder	Saisir le code promo
panel.wallet.promoInvalid	Le code promo n'est pas valide
panel.wallet.useBonuses_one	Utiliser les bonus ({{count}})
panel.wallet.useBonuses_other	Utiliser les bonus ({{count}})
panel.wallet.useDeposit	Payer depuis le dépôt ({{amount}})
panel.wallet.certLabel	Code du certificat
panel.wallet.certPlaceholder	Saisir le code du certificat
panel.wallet.certApplied	Certificat
panel.wallet.depositApplied	Dépôt
panel.wallet.base	Prix de base
panel.wallet.discount	Réduction
panel.wallet.bonuses	Bonus
panel.wallet.bonusesSpent_one	Bonus ({{count}} pt)
panel.wallet.bonusesSpent_other	Bonus ({{count}} pts)
panel.wallet.total	Total
panel.wallet.cash	Espèces
panel.wallet.card	Carte
panel.wallet.cardStripe	Les paiements par carte passent par une page Stripe et arrivent directement sur le compte du studio. Configurez-les dans Finances → Paiements en ligne.
panel.wallet.offlineLocked	Les paiements en espèces sont disponibles avec les forfaits Combo et supérieurs
panel.wallet.payByCard	Payer par carte
panel.wallet.confirmPay	Confirmer le paiement
panel.wallet.confirmPayCovered	Confirmer (déjà payé)
panel.wallet.confirmTitle	Confirmer la réception du paiement ?
panel.wallet.confirmMessage	Cette opération enregistrera un revenu de {{amount}} et attribuera le produit au client.
panel.wallet.confirmMessageCard	Un formulaire de paiement Stripe pour {{amount}} va s'ouvrir. Le produit est attribué et le revenu enregistré une fois le paiement réussi.
