== da
telegram.tokenLabel	Bot-token
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Ugyldigt tokenformat
telegram.verifyButton	Bekræft og forbind
telegram.verifiedToast	Botten @{{username}} er forbundet
telegram.verifyFailedToast	Telegram afviste dette token
telegram.disconnect	Afbryd forbindelsen
telegram.disconnectedToast	Botten er afbrudt
telegram.disconnectConfirmTitle	Vil du afbryde botten?
telegram.disconnectConfirmMessage	Det automatiske Telegram-svar holder op med at virke, indtil du forbinder en bot igen.
telegram.gateTooltip	Forbind først en bot
telegram.statsPending	Vises, når det automatiske svar begynder at virke
telegram.instructionTitle	Sådan får du et token
telegram.instructionStep1	Åbn @BotFather i Telegram
telegram.instructionStep2	Send kommandoen /newbot, og vælg et navn og brugernavn til botten
telegram.instructionStep3	Kopiér tokenet, du får
telegram.instructionStep4	Indsæt det her, og klik på "Bekræft og forbind"
instagram.connectButton	Forbind Instagram
instagram.connectedToast	Instagram er forbundet
instagram.connectErrorToast	Kunne ikke forbinde Instagram — prøv igen
instagram.expiresUntil	Adgang gyldig til {{date}}
instagram.disconnect	Afbryd forbindelsen
instagram.disconnectedToast	Instagram er afbrudt
instagram.disconnectConfirmTitle	Vil du afbryde Instagram?
instagram.disconnectConfirmMessage	Det automatiske Instagram-svar holder op med at svare kunder, indtil du forbinder kontoen igen.
instagram.gateTooltip	Forbind først en konto
instagram.statsPending	Vises, når det automatiske svar begynder at virke
instagram.instructionTitle	Sådan forbinder du
instagram.instructionStep1	Studioets konto skal være professionel — Business eller Creator (Instagram-indstillinger → Kontotype)
instagram.instructionStep2	Klik på "Forbind Instagram", og log ind med studioets konto
instagram.instructionStep3	Giv adgang til beskeder
instagram.instructionStep4	Du kommer automatisk tilbage hertil
whatsapp.numberLabel	WhatsApp Business-nummer
whatsapp.connectLink	eller indtast et token manuelt
whatsapp.gateTooltip	Forbind først et WhatsApp-nummer
whatsapp.statsPending	Vises, når det automatiske svar begynder at virke
whatsapp.instructionTitle	Sådan forbinder du
whatsapp.instructionStep1	Klik på “Forbind WhatsApp” — et Meta-vindue åbnes
whatsapp.instructionStep2	Log ind på Facebook, vælg en virksomhedskonto og et nummer (eller tilføj et nyt), og bekræft det med koden
whatsapp.instructionStep3	Nummeret forbindes én gang — det samme bruges til kundeunderretninger; kom tilbage hertil og slå det automatiske svar til
whatsapp.connectButton	Forbind WhatsApp
whatsapp.connectedToast	WhatsApp-nummeret er forbundet
whatsapp.connectErrorToast	Kunne ikke forbinde WhatsApp-nummeret
whatsapp.disconnect	Afbryd forbindelsen
whatsapp.disconnectedToast	WhatsApp er afbrudt
whatsapp.disconnectConfirmTitle	Vil du afbryde WhatsApp?
whatsapp.disconnectConfirmMessage	Nummeret bliver også afbrudt fra studioets underretninger og integrationer.
history.title	Chathistorik
history.empty	Start din første samtale
history.today	I dag
history.yesterday	I går
history.earlier	Tidligere
history.messagesCount_one	{{count}} besked
history.messagesCount_other	{{count}} beskeder
history.deleteConfirmTitle	Vil du slette denne chat?
history.deleteConfirmMessage	Alle beskeder i denne samtale slettes permanent.
actions.newChat	Ny chat
actions.deleteChat	Slet chat
actions.confirmTitle	Bekræft handlingen
actions.confirm	Bekræft
actions.cancel	Annuller
actions.cancelled	Handlingen blev annulleret.
actions.done	Udført {{date}}
actions.effect	Hvad ændres
actions.undo	Fortryd
actions.undoTitle	Vil du fortryde denne handling?
actions.undoMessage	Jeg ruller det udførte tilbage: {{action}}. Hold, som kunder allerede har booket, bliver stående — kun en person kan fjerne dem.
actions.args.lesson_id	Hold
actions.args.client_id	Kunde
actions.args.reservation_id	Booking
actions.args.alternate_with	Skiftevis med
actions.args.service_id	Ydelse
actions.args.teacher_id	Træner
actions.args.hall_id	Lokale
