== no
header.allConfigured	Alle programmer er konfigurert
header.allConfiguredSub	Lojalitetssystemet ditt fungerer for fullt
header.setup	Sett opp lojalitetsprogrammer
header.setupSub	{{count}} av {{total}} programmer er konfigurert · Hvert program styrker kundelojaliteten
header.start	Kom i gang
programs.loyalty.title	Lojalitetskort
programs.loyalty.desc	Nivåbasert system for poengopptjening
programs.loyalty.statLabel	kunder
programs.discounts.title	Rabatter og cashback
programs.discounts.desc	Personlige tilbud til kunder
programs.discounts.statLabel	aktive
programs.certificates.title	Gavekort
programs.certificates.desc	Gavekort og personlige sertifikater
programs.certificates.statLabel	solgt
programs.referral.title	Henvisninger
programs.referral.desc	Programmet «Ta med en venn»
programs.referral.statLabel	henvisninger
programs.promocodes.title	Kampanjekoder
programs.promocodes.desc	Rabattkoder med bruksgrense
programs.promocodes.statLabel	aktive
programs.deposit.title	Innskudd
programs.deposit.desc	Kundens pengebalanse hos studioet
programs.deposit.statLabel	med saldo
card.active	Aktiv
card.disable	Deaktiver
card.notConfigured	Ikke konfigurert
card.configure	Konfigurer
drawer.subtitle	Programinnstillinger
drawer.saving	Lagrer…
drawer.save	Lagre og aktiver
drawer.cancel	Avbryt
drawer.close	Lukk
config.mainParams	Hovedparametere
config.programName	Programnavn
config.pointsRate	Poengsats ({{currency}} per 1 poeng)
config.levels	Nivåer
config.pointValue	1 poeng =
config.pointValueHint	Poeng opptjenes med samme sats på hvert nivå, men de har ikke samme verdi. Gi Gold 1 og Diamond 2, så vil et poeng kunden har opptjent redusere prisen dobbelt så mye i kassen. Det er fordelen med et nivå: Jo mer noen har brukt i studioet, desto mer verdt er poengene deres.
config.expiry	Utløpsperiode
config.expiryTooltip	Hvor lenge en kunde kan bruke opptjente poeng
config.expiryOptions.3m	3 mnd.
config.expiryOptions.6m	6 mnd.
config.expiryOptions.1y	1 år
config.expiryOptions.never	Ingen utløp
config.newLevelName	Nytt nivå
config.addLevel	+ Nivå
config.levelFrom	fra
config.levelTo	til
config.deleteLevelTitle	Slette dette nivået?
config.deleteLevelMessage	Kunder på nivået «{{name}}» flyttes til nabonivået basert på samlet forbruk.
config.discountType	Rabatttype
config.discountTypes.percentage	Prosent (%)
config.discountTypes.fixed	Fast ({{currency}})
config.discountTypes.cashback	Cashback
config.cashbackPercent	Cashback-prosent
config.discountSize	Rabattbeløp
config.minPurchase	Minste kjøpsbeløp
config.noLimit	Ingen grense
config.conditions	Vilkår for bruk
config.appliesToAll	Bruk på alle tjenester
config.stackable	Kan kombineres med andre rabatter
config.visibleInCabinet	Vis kunden i kontoen deres
config.certType	Sertifikattype
config.certTypes.named	Personlig
config.certTypes.gift	Gave
config.certTypes.service	For en tjeneste
config.denominations	Beløp
config.addDenom	+ Legg til
config.service	Tjeneste
config.noServices	Det finnes ingen tjenester i katalogen ennå — legg dem til under «Katalog»
config.params	Parametere
config.expiryDays	Utløpsperiode (dager)
config.certIssue	Utsted sertifikat
config.certCustomAmount	Egendefinert beløp
config.certRecipientName	Mottakerens navn
config.certRecipientPlaceholder	Valgfritt
config.certLinkClient	Knytt til en kunde
config.certClientSearchPlaceholder	Begynn å skrive et navn…
config.certAccount	Innskuddskonto
config.certAccountNone	Ikke før i hovedboken
config.certIssueButton	Utsted
config.certIssuedTitle	Sertifikat utstedt
config.certCopyCode	Kopier kode
config.certCopied	Kopiert
config.certIssueAnother	Utsted et til
config.certIssued	Utstedte sertifikater
config.certEmpty	Ingen sertifikater er utstedt ennå
config.certStatus.active	Aktiv
config.certStatus.used	Brukt
config.certStatus.expired	Utløpt
config.certRedeem	Løs inn
config.certRedeemTitle	Løse inn dette sertifikatet?
config.certRedeemMessage	Sertifikatet {{code}} blir merket som brukt. Dette kan ikke angres.
config.referrerBonusTitle	Henvisningsbonus
config.referrerBonus	Bonus til den som henviser ({{currency}})
config.newClientDiscount	Rabatt for ny kunde (%)
config.triggerCondition	Vilkår for opptjening
config.triggerConditions.first_visit	Etter første besøk
config.triggerConditions.first_payment	Etter første betaling
config.triggerConditions.registration	Umiddelbart ved registrering
config.bonusAccrual	Bonusopptjening
config.bonusTypes.points	Poeng
config.bonusTypes.deposit	Til innskudd
config.bonusTypes.discount	Som rabatt
config.promoCreate	Opprett kampanjekode
config.promoCodePlaceholder	SOMMER25
config.promoValidUntil	Gyldig til
config.promoUsageLimit	Bruksgrense
config.promoAdd	+ Legg til kampanjekode
config.promoList	Kampanjekoder
config.promoEmpty	Det finnes ingen kampanjekoder ennå
config.promoUntil	til
config.promoStatus.active	Aktiv
config.promoStatus.expired	Utløpt
config.promoStatus.exhausted	Grensen er nådd
config.promoStatus.disabled	Deaktivert
config.depositTotal	Samlet saldo
config.depositTotalSub	på tvers av kundenes innskudd
