== fi
nav.sectionLabel	Järjestelmäasetukset
nav.general	Yleiset
nav.appearance	Ulkoasu
nav.notifications	Ilmoitukset
nav.billing	Laskutus
nav.security	Tietoturva
nav.integrations	Integraatiot
nav.data	Tiedot
nav.logout	Vaihda CRM:ää
toast.saved	Tallennettu
toast.error	Jokin meni pieleen
workspace.title	CRM-järjestelmäsi
workspace.subtitle	Valitse työtila tai luo uusi
workspace.current	Nykyinen
workspace.membersCount_one	{{count}} jäsen
workspace.membersCount_other	{{count}} jäsentä
workspace.clientsCount_one	{{count}} asiakas
workspace.clientsCount_other	{{count}} asiakasta
workspace.createNew	Luo uusi studio
workspace.loadError	Studioitasi ei voitu ladata
workspace.selectError	Tähän studioon ei voitu vaihtaa
general.company.title	Yritystiedot
general.company.subtitle	Julkiset tiedot yrityksestäsi
general.company.name	Yrityksen nimi
general.company.namePh	esim. Oma studio
general.company.desc	Kuvaus
general.company.descPh	Mitä studiosi tekee…
general.company.phone	Puhelin
general.company.email	Sähköposti
general.company.site	Verkkosivusto
general.company.sitePh	https://studio.com
general.company.address	Osoite
general.company.addressPh	Esimerkkikatu 123, kaupunki
general.reset	Palauta
general.resetToast	Asetukset palautettu
general.locale.title	Kieli ja alue
general.locale.subtitle	Käyttöliittymän lokalisointiasetukset
general.locale.timezone	Aikavyöhyke
general.locale.timezoneSearch	Kaupunki tai poikkeama
general.locale.timezoneNotFound	Aikavyöhykettä ei löytynyt
general.locale.currency	Valuutta
general.locale.currencySearch	Hae valuuttaa
general.locale.currencyNotFound	Valuuttaa ei löytynyt
general.locale.language	Käyttöliittymän kieli
general.locale.languageSearch	Hae kieltä
general.locale.languageNotFound	Kieltä ei löytynyt
general.locale.dateFormat	Päivämäärän muoto
general.locale.firstDay	Viikon ensimmäinen päivä
general.locale.firstDayLabels.0	Maanantai
general.locale.firstDayLabels.1	Sunnuntai
general.booking.title	Varausmalli
general.booking.subtitle	Näin asiakkaat varaavat sinulta
general.booking.mode	Varausmalli
general.booking.modeHint	Tapahtumat — asiakkaat ilmoittautuvat aikataulutettuun tuntiin. Yksilöllinen — asiakas valitsee asiantuntijan ja ajan. Yhdistetty — molemmat yhtä aikaa.
general.booking.profile	Toimialan sanasto
general.booking.profileHint	Valitsee henkilöstöstä ja tarjonnasta käytettävät sanat. Se muuttaa vain sanamuotoja — ei koskaan rooleja, hintoja tai varausmallia.
general.booking.strict	Tiukka aikataulu
general.booking.strictHint	Estää asiantuntijan tai yksinoikeudellisen tilan päällekkäiset varaukset. Vaaditaan ennen yksilöllisen varauksen käyttöönottoa.
general.booking.spaceAxis	Käytä {{spacePlural}} aikataulussa
