== fi
header.allConfigured	Kaikki ohjelmat on määritetty
header.allConfiguredSub	Asiakasuskollisuusjärjestelmäsi toimii täydellä teholla
header.setup	Määritä kanta-asiakasohjelmat
header.setupSub	{{count}} / {{total}} ohjelmaa on määritetty · Jokainen ohjelma parantaa asiakkaiden pysyvyyttä
header.start	Aloita
programs.loyalty.title	Kanta-asiakaskortit
programs.loyalty.desc	Tasopohjainen pisteiden keruujärjestelmä
programs.loyalty.statLabel	asiakasta
programs.discounts.title	Alennukset ja cashback
programs.discounts.desc	Henkilökohtaisia tarjouksia asiakkaille
programs.discounts.statLabel	aktiivista
programs.certificates.title	Lahjakortit
programs.certificates.desc	Lahja- ja nimelliset sertifikaatit
programs.certificates.statLabel	myytyä
programs.referral.title	Suosittelut
programs.referral.desc	”Tuo ystävä” -ohjelma
programs.referral.statLabel	suosittelua
programs.promocodes.title	Alennuskoodit
programs.promocodes.desc	Alennuskoodeja käyttörajalla
programs.promocodes.statLabel	aktiivista
programs.deposit.title	Talletus
programs.deposit.desc	Asiakkaan rahasaldo studiolla
programs.deposit.statLabel	saldollista
card.active	Aktiivinen
card.disable	Poista käytöstä
card.notConfigured	Ei määritetty
card.configure	Määritä
drawer.subtitle	Ohjelman asetukset
drawer.saving	Tallennetaan…
drawer.save	Tallenna ja aktivoi
drawer.cancel	Peruuta
drawer.close	Sulje
config.mainParams	Pääasetukset
config.programName	Ohjelman nimi
config.pointsRate	Pistekurssi ({{currency}} / 1 piste)
config.levels	Tasot
config.pointValue	1 piste =
config.pointValueHint	Pisteitä kertyy samalla kurssilla jokaisella tasolla, mutta niiden arvo ei ole sama. Anna Goldille 1 ja Diamondille 2, jolloin asiakkaan ansaitsema piste alentaa kassalla hintaa kaksinkertaisesti. Tämä on tason hyöty: mitä enemmän asiakas on käyttänyt studiolla, sitä arvokkaampia hänen pisteensä ovat.
config.expiry	Voimassaoloaika
config.expiryTooltip	Kuinka kauan asiakas voi käyttää kertyneitä pisteitä
config.expiryOptions.3m	3 kk
config.expiryOptions.6m	6 kk
config.expiryOptions.1y	1 v
config.expiryOptions.never	Ei vanhene
config.newLevelName	Uusi taso
config.addLevel	+ Taso
config.levelFrom	alkaen
config.levelTo	asti
config.deleteLevelTitle	Poistetaanko tämä taso?
config.deleteLevelMessage	Tason ”{{name}}” asiakkaat siirtyvät viereiselle tasolle kokonaiskulutuksensa perusteella.
config.discountType	Alennuksen tyyppi
config.discountTypes.percentage	Prosentti (%)
config.discountTypes.fixed	Kiinteä ({{currency}})
config.discountTypes.cashback	Cashback
config.cashbackPercent	Cashback-prosentti
config.discountSize	Alennuksen määrä
config.minPurchase	Ostoksen vähimmäissumma
config.noLimit	Ei rajaa
config.conditions	Soveltamisehdot
config.appliesToAll	Käytä kaikissa palveluissa
config.stackable	Yhdistä muihin alennuksiin
config.visibleInCabinet	Näytä asiakkaalle hänen tilillään
config.certType	Sertifikaatin tyyppi
config.certTypes.named	Nimellinen
config.certTypes.gift	Lahja
config.certTypes.service	Palveluun
config.denominations	Arvot
config.addDenom	+ Lisää
config.service	Palvelu
config.noServices	Luettelossa ei ole vielä palveluja — lisää ne kohdassa ”Luettelo”
config.params	Parametrit
config.expiryDays	Voimassaoloaika (päivää)
config.certIssue	Myönnä sertifikaatti
config.certCustomAmount	Oma summa
config.certRecipientName	Vastaanottajan nimi
config.certRecipientPlaceholder	Valinnainen
config.certLinkClient	Liitä asiakkaaseen
config.certClientSearchPlaceholder	Ala kirjoittaa nimeä…
config.certAccount	Talletustili
config.certAccountNone	Älä kirjaa kirjanpitoon
config.certIssueButton	Myönnä
config.certIssuedTitle	Sertifikaatti myönnetty
config.certCopyCode	Kopioi koodi
config.certCopied	Kopioitu
config.certIssueAnother	Myönnä toinen
config.certIssued	Myönnetyt sertifikaatit
config.certEmpty	Sertifikaatteja ei ole vielä myönnetty
config.certStatus.active	Aktiivinen
config.certStatus.used	Käytetty
config.certStatus.expired	Vanhentunut
config.certRedeem	Lunasta
config.certRedeemTitle	Lunastetaanko tämä sertifikaatti?
