== sq
tabs.overview	Përmbledhje
tabs.sales	Shitje
tabs.clients	Klientë
tabs.team	Ekipi
tabs.schedule	Orari
toolbar.period.day	Ditë
toolbar.period.week	Javë
toolbar.period.month	Muaj
toolbar.period.year	Vit
toolbar.period.custom	E personalizuar
toolbar.vsPrevious	krahasuar me periudhën e mëparshme: {{from}}–{{to}}
toolbar.allBranches	Të gjitha degët
toolbar.allHalls	Të gjitha {{spacePlural}}
toolbar.allTrainers	Të gjithë trajnerët
toolbar.allServices	Të gjitha shërbimet
toolbar.export	Eksporto
insights.title	Kërkon vëmendje
insights.action	Hap
insights.empty	Gjithçka është në rregull tani — nuk ka këshilla për të shfaqur
insights.revenue_up_clients_down	Të ardhurat po rriten, por klientët aktivë po bien — kontrolloni largimin e klientëve
insights.clients_at_risk	{{count}} klient(ë) nuk kanë marrë pjesë prej më shumë se 3 javësh — rrezik largimi
insights.lesson_overfull	„{{name}}” të {{weekday, weekday}} në {{hour}}:00 ka qenë {{pct}}% e mbushur për tre javë rresht — mendoni të shtoni një seancë tjetër
insights.trial_low_conversion	Vetëm {{pct}}% e {{buyers}} blerësve të provës blenë një abonim — mendoni për një fushatë
insights.fastest_growing_product	„{{name}}” po rritet më shpejt: +{{pct}}% krahasuar me periudhën e mëparshme
insights.renewals_low	Vetëm {{pct}}% e klientëve me abonim të skaduar e rinovojnë — mendoni për një kujtesë
insights.new_no_second_visit	{{count}} klientë të rinj erdhën një herë dhe nuk rezervuan më — mendoni për një kujtesë
insights.subs_expiring_week	{{count}} klientë kanë një abonim që skadon këtë javë — ofroni rinovim
insights.vip_inactive	Klienti VIP „{{name}}” nuk ka vizituar prej {{days}} ditësh — mendoni për një mesazh personal
insights.high_return_free_evenings	„{{name}}” ka normë të lartë kthimi ({{return_pct}}%), por mbrëmjet janë të lira — shtoni një seancë
insights.trainer_overloaded	„{{name}}” është ngarkuar {{load_pct}}% — mendoni të ribalanconi orarin
insights.low_rating	„{{name}}” ka vlerësim {{rating}} — ia vlen të shihet më nga afër
insights.slot_chronic_low	„{{name}}” të {{weekday, isodowWeekday}} në {{hour}}:00 ka qenë {{pct}}% e mbushur për {{weeks}} javë rresht — zhvendoseni ose anullojeni
insights.hall_idle_evenings	„{{name}}” është i papërdorur {{pct}}% të orëve të mbrëmjes — mendoni të caktoni një seancë
insights.slot_overfull	Koha e {{weekday, isodowWeekday}} në {{hour}}:00 ka qenë {{pct}}% e mbushur për tre javë rresht — mendoni të shtoni një seancë tjetër
insights.loss_hotspot	{{cancels}} seanca u anuluan në {{label}} këtë periudhë — shumica e anulimeve përqendrohen rreth kësaj ore
table.loading	Po ngarkohet…
table.noProduct	Pa produkt
empty.noData.title	Nuk ka ende asgjë këtu
empty.noData.text	Nuk u regjistrua aktivitet për periudhën e zgjedhur. Zgjeroni intervalin ose filloni duke rezervuar një klient në Ditar.
empty.noData.widen	Shfaq vitin
empty.noRevenue	Nuk ka pagesa në këtë periudhë
empty.noSales	Nuk ka shitje në këtë segment
empty.noProducts	Nuk janë shitur ende paketa ose shërbime
empty.noLessons	Nuk ka seanca në këtë periudhë
empty.noTrainerLessons	Ky trajner nuk ka mbajtur ende seanca
empty.noRows	Nuk ka regjistrime në këtë segment
empty.noLosses	Nuk ka anulime ose mungesa në këtë periudhë
overview.kpi.revenue	Të ardhura
overview.kpi.profit	Fitim
overview.kpi.attendance	Pjesëmarrje
overview.kpi.activeClients	Klientë aktivë
overview.kpi.fillRate	Norma e mbushjes
overview.chart.metric.revenue	Të ardhura
overview.chart.metric.profit	Fitim
overview.chart.metric.attendance	Pjesëmarrje
overview.chart.metric.new_clients	Klientë të rinj
overview.chart.metric.fill_rate	Norma e mbushjes
overview.revenueStructure.title	Struktura e të ardhurave
overview.category.subscriptions	Abonime
overview.category.services	Shërbime
overview.category.certificates	Certifikata
overview.category.rent	Qira
overview.category.salary	Pagë
overview.category.refunds	Rimbursime
overview.clientDynamics.title	Dinamika e klientëve
overview.clientDynamics.new	Të rinj
overview.clientDynamics.returned	Të rikthyer
overview.clientDynamics.lost	Të humbur
overview.drilldown.title	Operacion
overview.drilldown.category	Kategori
overview.drilldown.amount	Shuma
overview.drilldown.lesson	Seancë
overview.drilldown.time	Koha
overview.drilldown.occupancy	Zënia
overview.drilldown.date	Data
overview.drilldown.method	Metoda
overview.drilldown.trainer	Trajneri
overview.drilldown.rowsCount	regjistrime
overview.drilldown.search	Kërko në tabelë
overview.drilldown.shownOf	Po shfaqen {{shown}} nga {{total}}
overview.drilldown.noMatches	Nuk u gjet gjë për „{{query}}”
overview.drilldown.reset	Rivendos
overview.drilldown.export	Eksporto CSV
overview.drilldown.subtitle.money	Operacione në këtë segment
overview.drilldown.subtitle.lessons	Seanca në këtë segment
overview.drilldown.hint.operations	Klikoni një rresht për të hapur operacionin te Financat
overview.drilldown.hint.lessons	Klikoni një rresht për të hapur atë ditë te Ditari
overview.drilldown.stat.net	Neto
overview.drilldown.stat.income	Të ardhura
overview.drilldown.stat.expense	Shpenzime
overview.drilldown.stat.operations	Operacione
overview.drilldown.stat.topCategory	Kategoria kryesore
overview.drilldown.stat.lessons	Seanca
overview.drilldown.stat.booked	Vende të rezervuara
overview.drilldown.stat.avgFill	Zënie mesatare
overview.drilldown.stat.trainers	Trajnerë
overview.drilldown.stat.cancelled	Anuluar
sales.kpi.revenue	Të ardhura
sales.kpi.salesCount	Shitje
sales.kpi.avgCheck	Shuma mesatare
sales.kpi.repeatShare	Pjesa e përsëritur
sales.kpi.renewals	Norma e rinovimit
sales.chart.title	Shitje
sales.incomeOperations	Operacione të të ardhurave
sales.breakdown.byCategory	Çfarë blejnë
sales.breakdown.byMethod	Si paguajnë
sales.breakdown.buyerType	Kush blen
sales.breakdown.new	Të rinj
sales.breakdown.returning	Të rikthyer
sales.breakdown.noClient	Pa klient
sales.method.card	Kartë
sales.method.cash	Para në dorë
sales.method.qr	Kod QR
sales.method.transfer	Transferim
sales.products.title	Produkte
sales.products.name	Produkt
sales.products.sold	Shitur
sales.products.revenue	Të ardhura
sales.products.avgCheck	Shuma mesatare
sales.products.repeatShare	Pjesa e përsëritur
sales.products.trend	Tendenca
sales.products.trendHint	Krahasuar me periudhën e mëparshme me të njëjtën kohëzgjatje
clients.kpi.new	Të rinj
clients.kpi.returned	Të rikthyer
clients.kpi.lost	Të humbur
clients.kpi.retention	Mbajtje
clients.kpi.avgValue	Vlera e klientit
clients.chart.title	Të rinj kundrejt të rikthyerve
clients.chart.new	Të rinj
clients.chart.returned	Të rikthyer
clients.riskTitle	Segmente rreziku
clients.loyalTitle	Besnikë
clients.list	Lista
clients.campaign	Nis fushatë
clients.exportList	Eksporto listën
clients.emptySegment	Segmenti „{{name}}” nuk ka klientë tani
clients.segments.new.name	Klientë të rinj
clients.segments.new.desc	U regjistruan në periudhën e zgjedhur
clients.segments.returned.name	Klientë të rikthyer
clients.segments.returned.desc	Vizituan këtë periudhë dhe atë para saj
clients.segments.lost.name	Klientë të humbur
clients.segments.lost.desc	Vizituan periudhën e kaluar, nuk u kthyen këtë periudhë
clients.segments.active.name	Klientë aktivë
clients.segments.active.desc	Erdhën në të paktën një seancë në periudhën e zgjedhur
clients.segments.at_risk.name	Në prag largimi
clients.segments.at_risk.desc	Aktivë, pa vizitë për 21+ ditë
clients.segments.vip_idle.name	VIP pa aktivitet
clients.segments.vip_idle.desc	Klientë VIP, pa vizitë për 14+ ditë
clients.segments.expiring_subscription.name	Abonimi po përfundon
clients.segments.expiring_subscription.desc	≤2 seanca ose ≤7 ditë të mbetura
clients.segments.lost_newcomers.name	Nuk u kthyen kurrë
clients.segments.lost_newcomers.desc	Erdhën një herë, mungojnë 14+ ditë
clients.segments.upsell_candidates.name	Gati për paketë
clients.segments.upsell_candidates.desc	8+ vizita këtë muaj, pa paketë
clients.segments.frequent.name	Të shpeshtë
clients.segments.frequent.desc	8+ vizita në periudhë
clients.segments.high_ltv.name	LTV i lartë
clients.segments.high_ltv.desc	10% më të mirët sipas shpenzimeve gjatë gjithë kohës
clients.segments.referrers.name	Rekomandues
clients.segments.referrers.desc	Përfunduan rekomandim në periudhë
clients.listSearch	Kërko sipas emrit ose telefonit
clients.shownOf	Po shfaqen {{shown}} nga {{total}}
clients.noMatches	Nuk u gjet askush për „{{query}}”
clients.resetSearch	Rivendos
clients.neverVisited	Nuk ka vizituar kurrë
clients.valueLabel.visits	Vizita
clients.valueLabel.spent	Shpenzuar
clients.valueLabel.daysIdle	Ditë pa aktivitet
clients.valueLabel.remaining	Seanca të mbetura
clients.valueLabel.value	Vlera
clients.relative.today	Sot
clients.relative.daysAgo_one	{{count}} ditë më parë
clients.relative.daysAgo_other	{{count}} ditë më parë
team.kpi.lessonsCount	Seanca
team.kpi.revenuePerHour	Të ardhura/orë
team.kpi.avgFillPct	Norma e mbushjes
team.kpi.cancelNoshowPct	Anulime/mungesa
team.kpi.avgRating	Vlerësim
team.table.title	Trajnerë
team.table.trainer	Trajner
team.table.lessons	Seanca
team.table.fillPct	Norma e mbushjes
team.table.attendance	Pjesëmarrje
team.table.revenue	Të ardhura
team.table.returnRate	Norma e kthimit
team.table.cancels	Anulime
team.table.fillPctHint	Vende të zëna nga ato të planifikuara
team.table.returnRateHint	Klientë që rezervuan sërish me këtë trajner
team.table.cancelsHint	Seanca të anuluara dhe mungesa klientësh
team.table.ratingHint	Vlerësimi mesatar që klientët i dhanë seancave të këtij trajneri
team.drawer.revenueByWeek	Të ardhura sipas javës
team.drawer.loadByWeekday	Ngarkesa sipas ditës së javës
team.drawer.loadByHour	Ngarkesa sipas orës
team.drawer.loadDim.weekday	Sipas ditës
team.drawer.loadDim.hour	Sipas orës
team.drawer.schedule.title	Orari
team.drawer.schedule.empty	Nuk ka seanca në këtë periudhë
team.drawer.topLessons	Seancat e preferuara
team.drawer.returnBlock	Kthimi i klientit
team.drawer.returnOf	{{returned}} nga {{total}} klientë u kthyen ({{pct}}%)
team.drawer.openProfile	Hap profilin
team.drawer.held	Të mbajtura
team.drawer.attendance	Pjesëmarrje
team.weekdays.0	Die
team.weekdays.1	Hën
team.weekdays.2	Mar
team.weekdays.3	Mër
team.weekdays.4	Enj
team.weekdays.5	Pre
team.weekdays.6	Sht
schedule.weekdaysMonFirst.0	Hën
schedule.weekdaysMonFirst.1	Mar
schedule.weekdaysMonFirst.2	Mër
schedule.weekdaysMonFirst.3	Enj
schedule.weekdaysMonFirst.4	Pre
schedule.weekdaysMonFirst.5	Sht
schedule.weekdaysMonFirst.6	Die
schedule.kpi.avgFillPct	Norma e mbushjes
schedule.kpi.freeSpots	Vende të lira
schedule.kpi.cancels	Anulime
schedule.kpi.noshows	Mungesa
schedule.kpi.lostRevenue	Të ardhura të humbura
schedule.heatmap.title	Ngarkesa sipas ditës dhe orës
schedule.heatmap.legend	Norma e mbushjes:
schedule.heatmap.tooltip	{{lessons}} seanca · {{attendance}} pjesëmarrës · {{pct}}%
schedule.heatmap.empty	Nuk ka seanca
schedule.slices.topProfitable	Më fitimprurëset
schedule.slices.topFilled	Më të mbushurat
schedule.slices.chronicLow	Kronikisht pak të mbushura
schedule.slices.halls	Përdorimi: {{spacePlural}}
schedule.slices.held	{{count}} të mbajtura
schedule.slices.weeks	{{count}} javë
schedule.slices.move	Zhvendos
schedule.slices.cancel	Anulo
schedule.slices.eveningIdle	mbrëmje të lira {{pct}}%
schedule.losses.title	Anulime dhe mungesa
schedule.losses.dim.hour	Sipas orës
schedule.losses.dim.service	Sipas shërbimit
schedule.losses.dim.trainer	Sipas trajnerit
schedule.losses.cancels_one	{{count}} anulim
schedule.losses.cancels_other	{{count}} anulime
schedule.losses.noshows_one	{{count}} mungesë
schedule.losses.noshows_other	{{count}} mungesa
schedule.losses.lostSpots_one	−{{count}} vend
schedule.losses.lostSpots_other	−{{count}} vende
schedule.status.confirmed	Konfirmuar
schedule.status.pending	Në pritje
schedule.status.cancelled	Anuluar
schedule.slot.summary	për {{from}} — {{to}}
schedule.slot.lessonsCount	Seanca gjithsej
export.csv	Shkarko CSV
scopeNote.label	Për gjithë studion
scopeNote.money	Filtrat Dega dhe {{space}} nuk ndikojnë te paratë — pagesa nuk lidhet me to
scopeNote.clientBase	Trajneri, {{space}}, dega dhe shërbimi nuk e ndryshojnë këtë tregues — një klient nuk lidhet me to
descriptions.overview.metric.revenue	Të gjitha paratë që hynë në studio gjatë periudhës
descriptions.overview.metric.profit	Ajo që mbetet pas shpenzimeve të periudhës
descriptions.overview.metric.attendance	Seanca ku klientët morën pjesë realisht
