== pt
telegram.tokenLabel	Token do bot
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Formato de token inválido
telegram.verifyButton	Verificar e ligar
telegram.verifiedToast	O bot @{{username}} foi ligado
telegram.verifyFailedToast	O Telegram rejeitou este token
telegram.disconnect	Desligar
telegram.disconnectedToast	O bot foi desligado
telegram.disconnectConfirmTitle	Desligar o bot?
telegram.disconnectConfirmMessage	A resposta automática do Telegram deixará de funcionar até voltar a ligar um bot.
telegram.gateTooltip	Ligue primeiro um bot
telegram.statsPending	Aparecerá quando a resposta automática começar a funcionar
telegram.instructionTitle	Como obter um token
telegram.instructionStep1	Abra o @BotFather no Telegram
telegram.instructionStep2	Envie o comando /newbot e escolha um nome e nome de utilizador para o bot
telegram.instructionStep3	Copie o token que receber
telegram.instructionStep4	Cole-o aqui e clique em "Verificar e ligar"
instagram.connectButton	Ligar Instagram
instagram.connectedToast	O Instagram foi ligado
instagram.connectErrorToast	Não foi possível ligar o Instagram — tente novamente
instagram.expiresUntil	Acesso válido até {{date}}
instagram.disconnect	Desligar
instagram.disconnectedToast	O Instagram foi desligado
instagram.disconnectConfirmTitle	Desligar o Instagram?
instagram.disconnectConfirmMessage	A resposta automática do Instagram deixará de responder aos clientes até voltar a ligar a conta.
instagram.gateTooltip	Ligue primeiro uma conta
instagram.statsPending	Aparecerá quando a resposta automática começar a funcionar
instagram.instructionTitle	Como ligar
instagram.instructionStep1	A conta do estúdio deve ser profissional — Business ou Creator (Definições do Instagram → Tipo de conta)
instagram.instructionStep2	Clique em "Ligar Instagram" e inicie sessão com a conta do estúdio
instagram.instructionStep3	Permita o acesso às mensagens
instagram.instructionStep4	Voltará aqui automaticamente
whatsapp.numberLabel	Número do WhatsApp Business
whatsapp.connectLink	ou introduza um token manualmente
whatsapp.gateTooltip	Ligue primeiro um número do WhatsApp
whatsapp.statsPending	Aparecerá quando a resposta automática começar a funcionar
whatsapp.instructionTitle	Como ligar
