== it
categories.all	Tutti
categories.vip	VIP
categories.active	Attivi
categories.new	Nuovi
categories.has_subscription	Con abbonamento
categories.inactive	Inattivi
categories.frozen	Sospesi
categories.birthday	Compleanno
categoriesInfo.all.text	L'elenco completo dei clienti dello studio, senza filtri di stato applicati.
categoriesInfo.vip.text	Pagamenti riusciti per un totale di 50.000+ o 30+ visite. Il VIP può anche essere fissato manualmente nella scheda cliente; il fissaggio manuale rimane indipendentemente dagli importi.
categoriesInfo.active.text	Almeno una visita negli ultimi 60 giorni. Si basa sulle presenze segnate nel registro: lo stato si aggiorna da solo, senza doverlo impostare manualmente.
categoriesInfo.new.text	I primi 15 giorni dalla data di registrazione, sia che il cliente sia stato aggiunto manualmente sia che sia arrivato dalla prenotazione online. Il 16° giorno passa automaticamente ad Attivo o Inattivo.
categoriesInfo.has_subscription.text	Ha un abbonamento valido: non scaduto, non sospeso e con lezioni rimanenti. Si aggiorna subito all'acquisto, a ogni lezione usata e alla scadenza.
categoriesInfo.inactive.text	Nessuna visita negli ultimi 60 giorni, oppure nessuna visita in assoluto e più di 15 giorni dalla registrazione.
categoriesInfo.frozen.text	Sospeso dal pulsante nella scheda cliente: è l'unico stato impostato manualmente. Dopo la riattivazione il cliente torna al proprio stato automatico.
categoriesInfo.birthday.text	Chi compie gli anni oggi: giorno e mese coincidono, l'anno viene ignorato. L'elenco si aggiorna automaticamente ogni giorno.
status.active	Attivo
status.vip	VIP
status.new	Nuovo
status.inactive	Inattivo
status.frozen	Sospeso
filtersGuide.trigger	Informazioni sui filtri
filtersGuide.title	Filtri clienti
filtersGuide.subtitle	Come viene calcolata ogni categoria. Fai clic su una scheda per applicare il filtro, oppure modifica una soglia: gli stati si ricalcolano subito.
filtersGuide.close	Chiudi
filtersGuide.rule.new_client_days	Nuovo per
filtersGuide.rule.active_within_days	Visita entro
filtersGuide.rule.vip_min_spent	Speso da
filtersGuide.rule.vip_min_visits	o visite
filtersGuide.unit.days	giorni
filtersGuide.unit.money	
filtersGuide.unit.visits	visite
toolbar.searchPlaceholder	Cerca cliente…
toolbar.addClient	Aggiungi cliente
table.visits	visite
table.frozenBadge	❄ sospeso
table.totalSpent	Totale speso
table.subscription	Abbonamento
table.of	di
table.noSubscription	Nessun abbonamento
loadMore	Carica altro
loading	Caricamento…
panel.tabs.info	Profilo
panel.tabs.events	Eventi
panel.tabs.notes	Note
panel.tabs.wallet	Acquisti
panel.actions.book	Prenota
panel.actions.bonus	Bonus
panel.editDateHint	Fai clic per modificare
panel.since	dal {{date}}
panel.contacts.title	Contatti
panel.contacts.phone	Telefono
panel.contacts.email	E-mail
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Data di nascita
panel.contacts.city	Città
panel.contacts.copyHint	 · fai clic per copiare
panel.debt	{{amount}} non pagati per le lezioni — accetta il pagamento nel Registro
panel.stats.visits	Visite
panel.stats.spent	Speso
panel.stats.subscription	Abbonamento
panel.loyalty.points	punti
panel.loyalty.level	livello {{tier}}
panel.loyalty.toNext	Al livello successivo: {{points}} punti
panel.loyalty.multiplier	moltiplicatore punti ×{{value}}
panel.loyalty.worth	Vale {{amount}} alla cassa
panel.loyalty.toNextLevel	Ancora {{amount}} per raggiungere {{level}}
panel.loyalty.pointValue	1 punto = {{amount}}
panel.loyalty.nextPointValue	al livello {{level}} — {{amount}}
panel.loyalty.noBonus	Questo livello non modifica il valore dei punti
panel.referral.title	Invita un amico
panel.referral.copy	Copia
panel.abonement.title	Abbonamento
panel.abonement.lessons	{{remaining}}/{{total}} lezioni
panel.abonement.noSubscription	Nessun abbonamento attivo
panel.abonement.noSubscriptionWarning	Il cliente non ha un abbonamento: proponine uno
panel.abonement.lowWarning	Restano poche lezioni: proponi un rinnovo
panel.abonement.finishedWarning	Non restano lezioni: proponi un rinnovo
panel.abonement.remind	Ricorda al cliente
panel.abonement.reminderSent	Promemoria inviato al cliente
panel.products.single	singolo
panel.products.pending	in attesa
panel.products.frozen	sospeso
panel.products.until	Valido fino al {{date}}
panel.products.startsOnFirstVisit	Il periodo inizia con la prima lezione
panel.wallet.buy	Acquista
panel.wallet.active	Attivi
panel.wallet.archived	Archiviati
panel.wallet.singles	Visite singole
panel.wallet.subscriptions	Abbonamenti
panel.wallet.noSingles	Ancora nessuna visita singola
panel.wallet.emptyActive	Nessun prodotto attivo
panel.wallet.emptyArchived	Nessun prodotto archiviato
panel.wallet.emptyCatalog	Questo studio non ha ancora pacchetti di abbonamento
panel.wallet.lessons	{{remaining}}/{{total}} lezioni
panel.wallet.lessonsCount_one	{{count}} lezione
panel.wallet.lessonsCount_other	{{count}} lezioni
panel.wallet.perVisit	Per singola visita
panel.wallet.until	fino al {{date}}
panel.wallet.frozenBadge	Sospeso
panel.wallet.loadFailed	Impossibile caricare il portafoglio
panel.wallet.back	← Indietro
panel.wallet.catalogTitle	Catalogo
panel.wallet.showAll	Tutti
panel.wallet.posTitle	Cassa
panel.wallet.promoLabel	Codice promozionale
panel.wallet.promoPlaceholder	Inserisci il codice promozionale
panel.wallet.promoInvalid	Il codice promozionale non è valido
panel.wallet.useBonuses_one	Usa bonus ({{count}})
panel.wallet.useBonuses_other	Usa bonus ({{count}})
panel.wallet.useDeposit	Paga dal deposito ({{amount}})
panel.wallet.certLabel	Codice certificato
panel.wallet.certPlaceholder	Inserisci il codice del certificato
panel.wallet.certApplied	Certificato
panel.wallet.depositApplied	Deposito
panel.wallet.base	Prezzo base
panel.wallet.discount	Sconto
panel.wallet.bonuses	Bonus
panel.wallet.bonusesSpent_one	Bonus ({{count}} pt)
panel.wallet.bonusesSpent_other	Bonus ({{count}} pt)
panel.wallet.total	Totale
panel.wallet.cash	Contanti
panel.wallet.card	Carta
panel.wallet.cardStripe	I pagamenti con carta passano da una pagina Stripe e arrivano direttamente sul conto dello studio. Configurali in Finanze → Pagamenti online.
panel.wallet.offlineLocked	I pagamenti in contanti sono disponibili con i piani Combo e superiori
panel.wallet.payByCard	Paga con carta
panel.wallet.confirmPay	Conferma pagamento
panel.wallet.confirmPayCovered	Conferma (già pagato)
panel.wallet.confirmTitle	Confermare il pagamento ricevuto?
panel.wallet.confirmMessage	Verrà registrata un'entrata di {{amount}} e il prodotto sarà assegnato al cliente.
panel.wallet.confirmMessageCard	Si aprirà un modulo di pagamento Stripe per {{amount}}. Il prodotto sarà assegnato e l'entrata registrata dopo l'esito positivo del pagamento.
panel.wallet.payToStudio	Il pagamento arriva sul conto dello studio
panel.wallet.payConfirming	Verifica del pagamento…
panel.wallet.close	Chiudi
