== pl
header.allConfigured	Wszystkie programy są skonfigurowane
header.allConfiguredSub	Twój system lojalnościowy działa pełną parą
header.setup	Skonfiguruj programy lojalnościowe
header.setupSub	Skonfigurowano {{count}} z {{total}} programów · Każdy program zwiększa retencję klientów
header.start	Zacznij
programs.loyalty.title	Karty lojalnościowe
programs.loyalty.desc	System zbierania punktów z poziomami
programs.loyalty.statLabel	klientów
programs.discounts.title	Rabaty i cashback
programs.discounts.desc	Indywidualne oferty dla klientów
programs.discounts.statLabel	aktywnych
programs.certificates.title	Bony podarunkowe
programs.certificates.desc	Bony podarunkowe i imienne
programs.certificates.statLabel	sprzedanych
programs.referral.title	Polecenia
programs.referral.desc	Program „Przyprowadź znajomego”
programs.referral.statLabel	poleceń
programs.promocodes.title	Kody promocyjne
programs.promocodes.desc	Kody rabatowe z limitem użyć
programs.promocodes.statLabel	aktywnych
programs.deposit.title	Depozyt
programs.deposit.desc	Saldo środków klienta w studiu
programs.deposit.statLabel	z saldem
card.active	Aktywny
card.disable	Wyłącz
card.notConfigured	Nieskonfigurowany
card.configure	Skonfiguruj
drawer.subtitle	Ustawienia programu
drawer.saving	Zapisywanie…
drawer.save	Zapisz i aktywuj
drawer.cancel	Anuluj
drawer.close	Zamknij
config.mainParams	Główne parametry
config.programName	Nazwa programu
config.pointsRate	Kurs punktów ({{currency}} za 1 punkt)
config.levels	Poziomy
config.pointValue	1 punkt =
config.pointValueHint	Punkty naliczają się według tego samego kursu na każdym poziomie, ale nie mają tej samej wartości. Przypisz Gold 1, a Diamond 2 — punkt zdobyty przez klienta obniży wtedy cenę przy kasie dwukrotnie bardziej. To daje poziom: im więcej ktoś wydał w studiu, tym więcej warte są jego punkty.
config.expiry	Okres ważności
config.expiryTooltip	Jak długo klient może wykorzystywać zgromadzone punkty
config.expiryOptions.3m	3 mies.
config.expiryOptions.6m	6 mies.
config.expiryOptions.1y	1 rok
config.expiryOptions.never	Bez wygaśnięcia
config.newLevelName	Nowy poziom
config.addLevel	+ Poziom
config.levelFrom	od
config.levelTo	do
config.deleteLevelTitle	Usunąć ten poziom?
