== sv
header.allConfigured	Alla program är konfigurerade
header.allConfiguredSub	Ditt lojalitetssystem fungerar för fullt
header.setup	Ställ in lojalitetsprogram
header.setupSub	{{count}} av {{total}} program är konfigurerade · Varje program stärker kundlojaliteten
header.start	Kom igång
programs.loyalty.title	Lojalitetskort
programs.loyalty.desc	Nivåbaserat system för poängintjäning
programs.loyalty.statLabel	kunder
programs.discounts.title	Rabatter och cashback
programs.discounts.desc	Personliga erbjudanden för kunder
programs.discounts.statLabel	aktiva
programs.certificates.title	Presentkort
programs.certificates.desc	Presentkort och personliga certifikat
programs.certificates.statLabel	sålda
programs.referral.title	Rekommendationer
programs.referral.desc	Programmet ”Ta med en vän”
programs.referral.statLabel	rekommendationer
programs.promocodes.title	Kampanjkoder
programs.promocodes.desc	Rabattkoder med användningsgräns
programs.promocodes.statLabel	aktiva
programs.deposit.title	Insättning
programs.deposit.desc	Kundens penningbalans hos studion
programs.deposit.statLabel	med saldo
card.active	Aktiv
card.disable	Inaktivera
card.notConfigured	Inte konfigurerad
card.configure	Konfigurera
drawer.subtitle	Programinställningar
drawer.saving	Sparar…
drawer.save	Spara och aktivera
drawer.cancel	Avbryt
drawer.close	Stäng
config.mainParams	Huvudparametrar
config.programName	Programnamn
config.pointsRate	Poängkurs ({{currency}} per 1 poäng)
config.levels	Nivåer
config.pointValue	1 poäng =
config.pointValueHint	Poäng tjänas in enligt samma kurs på varje nivå, men de har inte samma värde. Ge Gold 1 och Diamond 2, så minskar en poäng som kunden tjänar in priset dubbelt så mycket i kassan. Det är vad en nivå ger: ju mer någon har spenderat i studion, desto mer värda är poängen.
config.expiry	Giltighetstid
config.expiryTooltip	Hur länge en kund kan använda sina intjänade poäng
config.expiryOptions.3m	3 mån.
config.expiryOptions.6m	6 mån.
config.expiryOptions.1y	1 år
config.expiryOptions.never	Ingen utgångstid
config.newLevelName	Ny nivå
config.addLevel	+ Nivå
config.levelFrom	från
config.levelTo	till
config.deleteLevelTitle	Radera denna nivå?
config.deleteLevelMessage	Kunder på nivån ”{{name}}” flyttas till angränsande nivå utifrån sina totala utgifter.
config.discountType	Rabattyp
config.discountTypes.percentage	Procent (%)
config.discountTypes.fixed	Fast ({{currency}})
config.discountTypes.cashback	Cashback
config.cashbackPercent	Cashback-procent
config.discountSize	Rabattbelopp
config.minPurchase	Minsta köpbelopp
config.noLimit	Ingen gräns
config.conditions	Villkor för tillämpning
config.appliesToAll	Tillämpa på alla tjänster
config.stackable	Kombinera med andra rabatter
config.visibleInCabinet	Visa för kunden i kundens konto
config.certType	Certifikattyp
config.certTypes.named	Personligt
config.certTypes.gift	Gåva
config.certTypes.service	För en tjänst
config.denominations	Belopp
config.addDenom	+ Lägg till
config.service	Tjänst
config.noServices	Det finns ännu inga tjänster i katalogen — lägg till dem under ”Katalog”
config.params	Parametrar
config.expiryDays	Giltighetstid (dagar)
config.certIssue	Utfärda certifikat
config.certCustomAmount	Eget belopp
config.certRecipientName	Mottagarens namn
config.certRecipientPlaceholder	Valfritt
config.certLinkClient	Koppla till en kund
config.certClientSearchPlaceholder	Börja skriva ett namn…
config.certAccount	Insättningskonto
