== pl
tabs.overview	Przegląd
tabs.sales	Sprzedaż
tabs.clients	Klienci
tabs.team	Zespół
tabs.schedule	Grafik
toolbar.period.day	Dzień
toolbar.period.week	Tydzień
toolbar.period.month	Miesiąc
toolbar.period.year	Rok
toolbar.period.custom	Niestandardowy
toolbar.vsPrevious	w porównaniu z poprzednim okresem: {{from}}–{{to}}
toolbar.allBranches	Wszystkie oddziały
toolbar.allHalls	Wszystkie {{spacePlural}}
toolbar.allTrainers	Wszyscy trenerzy
toolbar.allServices	Wszystkie usługi
toolbar.export	Eksportuj
insights.title	Wymaga uwagi
insights.action	Otwórz
insights.empty	Na razie wszystko jest w porządku — brak porad do wyświetlenia
insights.revenue_up_clients_down	Przychody rosną, ale liczba aktywnych klientów spada — sprawdź odpływ klientów
insights.clients_at_risk	{{count}} klient(ów) nie uczestniczyło od ponad 3 tygodni — ryzyko odpływu
insights.lesson_overfull	„{{name}}” {{weekday, weekday}} o {{hour}}:00 jest zapełnione w {{pct}}% od trzech tygodni — rozważ dodanie kolejnych zajęć
insights.trial_low_conversion	Tylko {{pct}}% z {{buyers}} klientów próbnych kupiło później abonament — rozważ kampanię
insights.fastest_growing_product	„{{name}}” rośnie najszybciej: +{{pct}}% w porównaniu z poprzednim okresem
insights.renewals_low	Tylko {{pct}}% klientów z wygasłym abonamentem odnawia go — rozważ przypomnienie
insights.new_no_second_visit	{{count}} nowych klientów przyszło raz i nigdy więcej nie zarezerwowało wizyty — rozważ przypomnienie
insights.subs_expiring_week	{{count}} klientów ma abonament wygasający w tym tygodniu — rozważ ofertę odnowienia
insights.vip_inactive	Klient VIP „{{name}}” nie odwiedził nas od {{days}} dni — rozważ osobistą wiadomość
insights.high_return_free_evenings	„{{name}}” ma wysoki wskaźnik powrotów ({{return_pct}}%), ale wieczory są wolne — dodaj zajęcia
insights.trainer_overloaded	„{{name}}” ma obciążenie {{load_pct}}% — rozważ zrównoważenie grafiku
insights.low_rating	„{{name}}” ma ocenę {{rating}} — warto przyjrzeć się temu bliżej
insights.slot_chronic_low	„{{name}}” {{weekday, isodowWeekday}} o {{hour}}:00 jest zapełnione w {{pct}}% od {{weeks}} tygodni — przenieś je lub odwołaj
insights.hall_idle_evenings	„{{name}}” jest niewykorzystane przez {{pct}}% wieczornych godzin — rozważ zaplanowanie zajęć
insights.slot_overfull	Slot {{weekday, isodowWeekday}} o {{hour}}:00 jest zapełniony w {{pct}}% od trzech tygodni — rozważ dodanie kolejnych zajęć
insights.loss_hotspot	{{cancels}} zajęć odwołano o {{label}} w tym okresie — najwięcej odwołań przypada na tę godzinę
table.loading	Ładowanie…
table.noProduct	Brak produktu
empty.noData.title	Nie ma tu jeszcze nic
empty.noData.text	W wybranym okresie nie zarejestrowano aktywności. Poszerz zakres albo zacznij od zapisania klienta w Dzienniku.
empty.noData.widen	Pokaż rok
empty.noRevenue	Brak płatności w tym okresie
empty.noSales	Brak sprzedaży w tym fragmencie
empty.noProducts	Nie sprzedano jeszcze żadnych pakietów ani usług
empty.noLessons	Brak zajęć w tym okresie
empty.noTrainerLessons	Ten trener nie przeprowadził jeszcze żadnych zajęć
empty.noRows	Brak rekordów w tym fragmencie
empty.noLosses	Brak odwołań ani nieobecności w tym okresie
overview.kpi.revenue	Przychody
overview.kpi.profit	Zysk
overview.kpi.attendance	Frekwencja
overview.kpi.activeClients	Aktywni klienci
overview.kpi.fillRate	Wskaźnik zapełnienia
overview.chart.metric.revenue	Przychody
overview.chart.metric.profit	Zysk
overview.chart.metric.attendance	Frekwencja
overview.chart.metric.new_clients	Nowi klienci
overview.chart.metric.fill_rate	Wskaźnik zapełnienia
overview.revenueStructure.title	Struktura przychodów
