== hu
nav.sectionLabel	Rendszerbeállítások
nav.general	Általános
nav.appearance	Megjelenés
nav.notifications	Értesítések
nav.billing	Számlázás
nav.security	Biztonság
nav.integrations	Integrációk
nav.data	Adatok
nav.logout	CRM váltása
toast.saved	Mentve
toast.error	Hiba történt
workspace.title	Az Ön CRM-rendszerei
workspace.subtitle	Válasszon munkaterületet, vagy hozzon létre újat
workspace.current	Jelenlegi
workspace.membersCount_one	{{count}} tag
workspace.membersCount_other	{{count}} tag
workspace.clientsCount_one	{{count}} ügyfél
workspace.clientsCount_other	{{count}} ügyfél
workspace.createNew	Új stúdió létrehozása
workspace.loadError	A stúdiók betöltése nem sikerült
workspace.selectError	Nem lehet erre a stúdióra váltani
general.company.title	Cégadatok
general.company.subtitle	Nyilvános információk a vállalkozásáról
general.company.name	Cégnév
general.company.namePh	pl. Az én stúdióm
general.company.desc	Leírás
general.company.descPh	Mivel foglalkozik a stúdiója…
general.company.phone	Telefon
general.company.email	E-mail
general.company.site	Webhely
general.company.sitePh	https://studio.com
general.company.address	Cím
general.company.addressPh	Példa utca 123., város
general.reset	Visszaállítás
general.resetToast	Beállítások visszaállítva
general.locale.title	Nyelv és régió
general.locale.subtitle	Felület lokalizációs beállításai
general.locale.timezone	Időzóna
general.locale.timezoneSearch	Város vagy eltérés
general.locale.timezoneNotFound	Nem található időzóna
general.locale.currency	Pénznem
general.locale.currencySearch	Pénznem vagy kód keresése
general.locale.currencyNotFound	Nem található pénznem
general.locale.language	Felület nyelve
general.locale.languageSearch	Nyelv keresése
general.locale.languageNotFound	Nem található nyelv
general.locale.dateFormat	Dátumformátum
general.locale.firstDay	A hét első napja
general.locale.firstDayLabels.0	Hétfő
general.locale.firstDayLabels.1	Vasárnap
general.booking.title	Foglalási modell
general.booking.subtitle	Így foglalnak Önhöz az ügyfelek
general.booking.mode	Foglalási modell
general.booking.modeHint	Események — az ügyfelek egy meghirdetett órára jelentkeznek. Egyéni — az ügyfél szakembert és időpontot választ. Vegyes — a kettő együtt.
general.booking.profile	Ágazati szóhasználat
general.booking.profileHint	Kiválasztja a személyzethez és ajánlatokhoz használt szavakat. Csak a megfogalmazást módosítja — a szerepköröket, árakat vagy foglalási modellt soha.
general.booking.strict	Szigorú időbeosztás
general.booking.strictHint	Megtiltja egy szakember vagy kizárólagos tér dupla foglalását. Az egyéni foglalás bekapcsolása előtt kötelező.
general.booking.spaceAxis	{{spacePlural}} használata az időbeosztásban
general.booking.spaceAxisHint	Kikapcsolva — az ügyfél személyt foglal, a térnek nincs oszlopa a naplóban. Bekapcsolva — az óra egy térhez kapcsolódik.
general.booking.spaceAxisDefaultOn	Alapértelmezés az Ön ágazatában: be
general.booking.spaceAxisDefaultOff	Alapértelmezés az Ön ágazatában: ki
general.booking.modes.event	Események
