== el
nav.product	Προϊόν
nav.modules	Ενότητες
nav.pricing	Τιμές
nav.faq	Συχνές ερωτήσεις
nav.login	Σύνδεση
nav.startShort	Ξεκινήστε
nav.startFull	Ξεκινήστε δωρεάν
nav.language	Γλώσσα
hero.badge	Το νέο πρότυπο CRM του 2026
hero.title	Ένα CRM που θα\n*χαίρεστε* να χρησιμοποιείτε
hero.lead	Premium B2B CRM για στούντιο γιόγκα και πιλάτες. Κρατήσεις, πελάτες, ομάδα και οικονομικά σε ένα μέρος. Χωρίς περιττά κλικ και μπέρδεμα.
hero.cta	Δοκιμάστε δωρεάν για 30 ημέρες
hero.perks.0	30 ημέρες δωρεάν
hero.perks.1	Δεν χρειάζεται κάρτα
hero.perks.2	Ακύρωση με ένα κλικ
marquee.0	Πρόγραμμα
marquee.1	Πελάτες
marquee.2	Συνδρομές
marquee.3	Online κρατήσεις
marquee.4	Οικονομικά
marquee.5	Μισθοδοσία
marquee.6	Ειδοποιήσεις
marquee.7	Επιβράβευση
marquee.8	Αναφορές
marquee.9	Velora AI
marquee.10	Εφαρμογή πελάτη
marquee.11	Ρόλοι και πρόσβαση
stats.items.0.value	30 ημέρες
stats.items.0.label	Δωρεάν, χωρίς κάρτα
stats.items.1.value	16
stats.items.1.label	ενότητες σε κάθε πλάνο
stats.items.2.value	4
stats.items.2.label	κανάλια online κράτησης
stats.items.3.value	από 15 €
stats.items.3.label	ανά μήνα και στούντιο
stats.trust.0	Τα δεδομένα σας παραμένουν δικά σας
stats.trust.1	Οι ρόλοι εφαρμόζονται και στον διακομιστή
stats.trust.2	Εξαγωγή CSV όποτε θέλετε
stats.trust.3	Διαγραφή κατόπιν αιτήματος
compare.label	η διαφορά
compare.title	Αφαιρέσαμε ό,τι\nσας κρατούσε πίσω
compare.lead	Το Velora γεννήθηκε από τη δική μας εμπειρία: διαχειριζόμασταν στούντιο και κάθε μέρα συναντούσαμε το ίδιο εμπόδιο — ένα CRM που χρειαζόταν εννέα κλικ για να κλείσετε έναν πελάτη. Δείτε τι άλλαξε.
compare.usual	Ο συνηθισμένος τρόπος
compare.velora	Στο Velora
compare.pairs.0.bad	Για να κλείσετε έναν πελάτη, φεύγετε από το πρόγραμμα για άλλη οθόνη και μετά επιστρέφετε
compare.pairs.0.good	Οι κρατήσεις και οι νέοι πελάτες δημιουργούνται απευθείας στο πρόγραμμα
compare.pairs.1.bad	Οι αναφορές εξάγονται στο Excel και συγκρίνονται χειροκίνητα
compare.pairs.1.good	Ζωντανές αναφορές ανά εκπαιδευτή και υπηρεσία, με εξαγωγή για κάθε περίοδο
compare.pairs.2.bad	Οι ειδοποιήσεις είναι ξεχωριστή υπηρεσία για την οποία πληρώνετε επιπλέον
compare.pairs.2.good	Telegram, email και WhatsApp είναι ενσωματωμένα με πίνακα συμβάν × κανάλι
compare.pairs.3.bad	Ένας εκπαιδευτής βλέπει το πρόγραμμα και τη βάση πελατών όλων των άλλων
compare.pairs.3.good	Οι ρόλοι περιορίζουν την πρόσβαση τόσο στο περιβάλλον όσο και στον διακομιστή
compare.pairs.4.bad	Βοηθός; Στην καλύτερη περίπτωση, αναζήτηση πελάτη
compare.pairs.4.good	Το Velora AI απαντά σε ερωτήσεις για την επιχείρησή σας — και στις ερωτήσεις των πελατών σας στο Telegram και το Instagram
showcase.label	όλα σε ένα
showcase.title	Μία πλατφόρμα αντί\nγια δεκάδες υπηρεσίες
showcase.lead	Κρατήσεις, πελάτες, χρήματα, επικοινωνία και AI σε ένα περιβάλλον. Ούτε μία περιττή ενότητα: κάθε οθόνη λύνει ένα πραγματικό πρόβλημα του ιδιοκτήτη.
showcase.blocks.journal.title	Το πρόγραμμά σας
showcase.blocks.journal.lead	Ημερήσιο πλέγμα, με τους εκπαιδευτές σε στήλες και τις ώρες σε γραμμές. Όλα όσα κάνει ο διαχειριστής συμβαίνουν εδώ.
showcase.blocks.journal.points.0	Σύρετε ένα μάθημα σε άλλη ώρα — ή σε άλλον εκπαιδευτή
showcase.blocks.journal.points.1	Δημιουργήστε νέα μαθήματα και πελάτες χωρίς να φύγετε από το πρόγραμμα
showcase.blocks.journal.points.2	Η σύνοψη της ημέρας είναι δίπλα σας: πληρότητα αιθουσών και έσοδα
showcase.blocks.booking.title	Οι online κρατήσεις σας
showcase.blocks.booking.lead	Τέσσερα κανάλια όπου οι πελάτες κλείνουν μόνοι τους, όλο το εικοσιτετράωρο και χωρίς διαχειριστή.
showcase.blocks.booking.points.0	Widget ιστού, Telegram, WhatsApp και Instagram — το καθένα ρυθμίζεται ξεχωριστά
showcase.blocks.booking.points.1	Κανόνες: πόσες ώρες πριν την έναρξη κλείνει η κράτηση και μέχρι πότε μπορεί ο πελάτης να ακυρώσει
