== sq
tabs.accounts	Llogaritë
tabs.operations	Operacionet
tabs.salaries	Pagat
tabs.counterparties	Palët kontraktuese
tabs.documents	Dokumentet
tabs.onlinePayments	Pagesat online
tabs.paymentMethods	Mënyrat e pagesës
tabs.reports	Raportet
tabs.goals	Objektivat
common.save	Ruaj
common.cancel	Anulo
common.create	Krijo
common.edit	Ndrysho
common.delete	Fshi
common.loading	Po ngarkohet…
common.all	Të gjitha
common.confirm	Konfirmo
common.monthsShort.0	Jan
common.monthsShort.1	Shk
common.monthsShort.2	Mar
common.monthsShort.3	Pri
common.monthsShort.4	Maj
common.monthsShort.5	Qer
common.monthsShort.6	Kor
common.monthsShort.7	Gus
common.monthsShort.8	Sht
common.monthsShort.9	Tet
common.monthsShort.10	Nën
common.monthsShort.11	Dhj
common.weekdaysShort.0	Hën
common.weekdaysShort.1	Mar
common.weekdaysShort.2	Mër
common.weekdaysShort.3	Enj
common.weekdaysShort.4	Pre
common.weekdaysShort.5	Sht
common.weekdaysShort.6	Die
info.accounts	Llogaritë janë arkat e studios, llogaritë bankare dhe pranimi online i pagesave. Këtu shihni çdo bilanc dhe kapitalin total.
info.operations	Operacionet janë të gjitha të ardhurat dhe shpenzimet e studios. Krijimi i një operacioni lëviz menjëherë bilancin e llogarisë së lidhur.
info.salaries	Pagat llogariten nga norma e anëtarit të stafit (fikse, për orë ose përqindje) për periudhën e zgjedhur.
info.counterparties	Palët kontraktuese janë organizata dhe individë me të cilët studioja kryen shlyerje: furnitorë, qiradhënës, partnerë.
info.documents	Dokumentet janë kontrata, akte dhe fatura të lidhura me palët kontraktuese, ose dokumente të brendshme.
info.onlinePayments	Pagesat online — lidhja e Stripe për pagesa me kartë. Llogaria krijohet për studion tuaj, prandaj paratë shkojnë drejtpërdrejt te ju, pa kaluar nga Velora.
info.paymentMethods	Mënyrat e pagesës tregojnë si paguajnë klientët në studio dhe statistikat për secilën.
info.reports	Raportet tregojnë prirjet e të ardhurave, shpenzimeve dhe fitimit gjatë periudhës së zgjedhur.
info.goals	Objektivat financiare janë plani i kursimeve të studios me ndjekje automatike ose manuale të progresit.
accounts.loading	Po ngarkohen llogaritë…
accounts.totalCapital	Kapitali total i studios
accounts.donutTotal	{{symbol}} gjithsej
accounts.todayChange	sot
accounts.system	SISTEMI
accounts.today	sot
accounts.editTitle	Ndrysho llogarinë
accounts.namePlaceholder	Emri
accounts.balancePlaceholder	Bilanci, {{symbol}}
accounts.types.cash	Para në dorë
accounts.types.bank	Kartë
accounts.types.online	Online
accounts.typesShort.cash	Para në dorë
accounts.typesShort.bank	Kartë
accounts.typesShort.online	Online
accounts.history	Historia
accounts.historyTitle	Historia: {{name}}
accounts.income30d	Të ardhura (30 d.)
