== pl
telegram.tokenLabel	Token bota
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Nieprawidłowy format tokena
telegram.verifyButton	Zweryfikuj i połącz
telegram.verifiedToast	Bot @{{username}} został połączony
telegram.verifyFailedToast	Telegram odrzucił ten token
telegram.disconnect	Rozłącz
telegram.disconnectedToast	Bot został rozłączony
telegram.disconnectConfirmTitle	Rozłączyć bota?
telegram.disconnectConfirmMessage	Automatyczna odpowiedź Telegrama przestanie działać, dopóki nie połączysz ponownie bota.
telegram.gateTooltip	Najpierw połącz bota
telegram.statsPending	Pojawią się, gdy automatyczna odpowiedź zacznie działać
telegram.instructionTitle	Jak uzyskać token
telegram.instructionStep1	Otwórz @BotFather w Telegramie
telegram.instructionStep2	Wyślij polecenie /newbot, a następnie wybierz nazwę i nazwę użytkownika dla bota
telegram.instructionStep3	Skopiuj otrzymany token
telegram.instructionStep4	Wklej go tutaj i kliknij „Zweryfikuj i połącz”
instagram.connectButton	Połącz Instagram
instagram.connectedToast	Instagram został połączony
instagram.connectErrorToast	Nie udało się połączyć Instagrama — spróbuj ponownie
instagram.expiresUntil	Dostęp ważny do {{date}}
instagram.disconnect	Rozłącz
instagram.disconnectedToast	Instagram został rozłączony
instagram.disconnectConfirmTitle	Rozłączyć Instagram?
instagram.disconnectConfirmMessage	Automatyczna odpowiedź Instagrama przestanie odpowiadać klientom, dopóki nie połączysz konta ponownie.
instagram.gateTooltip	Najpierw połącz konto
instagram.statsPending	Pojawią się, gdy automatyczna odpowiedź zacznie działać
instagram.instructionTitle	Jak się połączyć
instagram.instructionStep1	Konto studia musi być profesjonalne — Business lub Creator (Ustawienia Instagrama → Typ konta)
instagram.instructionStep2	Kliknij „Połącz Instagram” i zaloguj się na konto studia
instagram.instructionStep3	Zezwól na dostęp do wiadomości
instagram.instructionStep4	Wrócisz tutaj automatycznie
whatsapp.numberLabel	Numer WhatsApp Business
whatsapp.connectLink	lub wpisz token ręcznie
whatsapp.gateTooltip	Najpierw połącz numer WhatsApp
whatsapp.statsPending	Pojawią się, gdy automatyczna odpowiedź zacznie działać
whatsapp.instructionTitle	Jak się połączyć
whatsapp.instructionStep1	Kliknij „Połącz WhatsApp” — otworzy się okno Meta
whatsapp.instructionStep2	Zaloguj się do Facebooka, wybierz konto firmowe i numer (lub dodaj nowy) oraz potwierdź go kodem
whatsapp.instructionStep3	Numer łączy się raz — ten sam służy do powiadomień klientów; wróć tutaj i włącz automatyczną odpowiedź
whatsapp.connectButton	Połącz WhatsApp
whatsapp.connectedToast	Numer WhatsApp został połączony
whatsapp.connectErrorToast	Nie udało się połączyć numeru WhatsApp
whatsapp.disconnect	Rozłącz
whatsapp.disconnectedToast	WhatsApp został rozłączony
whatsapp.disconnectConfirmTitle	Rozłączyć WhatsApp?
whatsapp.disconnectConfirmMessage	Numer zostanie także odłączony od powiadomień i integracji studia.
history.title	Historia czatów
history.empty	Rozpocznij pierwszą rozmowę
history.today	Dzisiaj
history.yesterday	Wczoraj
history.earlier	Wcześniej
history.messagesCount_one	{{count}} wiadomość
history.messagesCount_few	{{count}} wiadomości
history.messagesCount_many	{{count}} wiadomości
history.deleteConfirmTitle	Usunąć ten czat?
history.deleteConfirmMessage	Wszystkie wiadomości w tej rozmowie zostaną trwale usunięte.
actions.newChat	Nowy czat
actions.deleteChat	Usuń czat
actions.confirmTitle	Potwierdź działanie
actions.confirm	Potwierdź
actions.cancel	Anuluj
actions.cancelled	Działanie anulowano.
actions.done	Gotowe {{date}}
actions.effect	Co się zmieni
actions.undo	Cofnij
actions.undoTitle	Cofnąć to działanie?
actions.undoMessage	Cofnę wykonane działanie: {{action}}. Zajęcia, które klienci już zarezerwowali, pozostaną — może je usunąć tylko człowiek.
actions.args.lesson_id	Zajęcia
actions.args.client_id	Klient
actions.args.reservation_id	Rezerwacja
actions.args.alternate_with	Na zmianę z
actions.args.service_id	Usługa
actions.args.teacher_id	Trener
actions.args.hall_id	Sala
actions.args.start_time	Zaczyna się
actions.args.duration_min	Czas trwania, min
actions.args.total_spots	Miejsca
actions.args.price	Cena
actions.args.name	Imię
actions.args.last_name	Nazwisko
actions.args.phone	Telefon
actions.args.email	E-mail
actions.args.city	Miasto
actions.args.birth_date	Data urodzenia
actions.args.source	Źródło
actions.args.frozen	Zamrożone
actions.args.date_from	Od
actions.args.date_to	Do
actions.args.weekdays	Dni tygodnia
actions.args.time_from	Od
actions.args.time_to	Do
actions.args.break_at	Przerwa o
actions.args.break_min	Przerwa, min
actions.args.extend_hours	Wydłuż godziny pracy trenera
actions.args.salary	Wynagrodzenie
actions.args.access_role	Dostęp
actions.args.department	Stanowisko
actions.args.password	Hasło pracownika
actions.args.rate	Stawka
actions.args.rate_type	Rodzaj wynagrodzenia
actions.args.service_ids	Usługi
actions.args.schedule	Harmonogram
actions.bool.yes	tak
actions.bool.no	nie
settings.title	Ustawienia AI
settings.model	Model
settings.language	Język
models.comingSoon	Wkrótce
models.velora-3.5	Velora AI 3.5
languages.auto	Automatycznie
languages.ru	Rosyjski
languages.en	Angielski
languages.uk	Ukraiński
languages.cs	Czeski
languages.de	Niemiecki
chat.thinking	Velora AI myśli
chat.thinkingAnswer	Velora AI analizuje odpowiedź
chat.readyTitle	Velora AI jest gotowe pomóc
chat.thinkingTitle	Velora AI myśli...
chat.readySubtitle	Zadaj pytanie lub wybierz sugestię
chat.thinkingSubtitle	Przetwarzanie Twojego żądania
chat.placeholder	Napisz wiadomość...
chat.drawerPlaceholder	Zapytaj mnie o cokolwiek...
chat.navbarPlaceholder	Zapytaj AI lub ustaw zadanie...
chat.enterToSend	Enter, aby wysłać
chat.shiftEnterNewline	Shift+Enter, aby dodać nową linię
chat.aiDisclaimer	Velora AI może się mylić. Sprawdzaj ważne informacje.
chat.continueInChat	Kontynuuj na czacie →
chat.emptyTitle	Jak mogę pomóc?
chat.emptySubtitle	Zapytaj o studio, klientów lub swoją działalność
chat.charCount_one	{{count}} / 4000 znak
chat.charCount_few	{{count}} / 4000 znaki
chat.charCount_many	{{count}} / 4000 znaków
chat.suggestions.revenue	Pokaż statystyki przychodów za ten miesiąc
chat.suggestions.sms	Napisz SMS z przypomnieniem o wizycie
chat.suggestions.promo	Pomysły na letnią promocję
