== sv
categories.all	Alla
categories.vip	VIP
categories.active	Aktiva
categories.new	Nya
categories.has_subscription	Med abonnemang
categories.inactive	Inaktiva
categories.frozen	Frysta
categories.birthday	Födelsedag
categoriesInfo.all.text	Studions fullständiga kundlista utan något statusfilter.
categoriesInfo.vip.text	Genomförda betalningar på sammanlagt 50 000+ eller 30+ besök. VIP kan också fästas manuellt i kundkortet; en manuell fastsättning gäller oavsett beloppen.
categoriesInfo.active.text	Minst ett besök under de senaste 60 dagarna. Bygger på närvaro som markerats i journalen — statusen uppdateras automatiskt och behöver inte ställas in för hand.
categoriesInfo.new.text	De första 15 dagarna från registreringsdatumet, oavsett om kunden lades till manuellt eller kom via onlinebokning. Dag 16 flyttas kunden automatiskt till Aktiv eller Inaktiv.
categoriesInfo.has_subscription.text	Har ett giltigt abonnemang: inte utgånget, inte fryst och med lektioner kvar. Uppdateras direkt vid köp, efter varje använd lektion och när det löper ut.
categoriesInfo.inactive.text	Inga besök de senaste 60 dagarna — eller aldrig besökt och mer än 15 dagar sedan registreringen.
categoriesInfo.frozen.text	Fryst via knappen i kundkortet — den enda status som sätts manuellt. Efter upptining återgår kunden till sin automatiska status.
categoriesInfo.birthday.text	De som fyller år i dag — dag och månad stämmer, året ignoreras. Listan uppdateras automatiskt varje dag.
status.active	Aktiv
status.vip	VIP
status.new	Ny
status.inactive	Inaktiv
status.frozen	Fryst
filtersGuide.trigger	Om filter
filtersGuide.title	Kundfilter
filtersGuide.subtitle	Så här beräknas varje kategori. Klicka på ett kort för att använda filtret eller ändra ett tröskelvärde — statusarna beräknas om direkt.
filtersGuide.close	Stäng
filtersGuide.rule.new_client_days	Ny i
filtersGuide.rule.active_within_days	Besök inom
filtersGuide.rule.vip_min_spent	Spenderat från
filtersGuide.rule.vip_min_visits	eller besök
filtersGuide.unit.days	dagar
filtersGuide.unit.money	
filtersGuide.unit.visits	besök
toolbar.searchPlaceholder	Sök kund…
toolbar.addClient	Lägg till kund
table.visits	besök
table.frozenBadge	❄ fryst
table.totalSpent	Totalt spenderat
table.subscription	Abonnemang
table.of	av
table.noSubscription	Inget abonnemang
loadMore	Ladda fler
loading	Laddar…
panel.tabs.info	Profil
panel.tabs.events	Händelser
panel.tabs.notes	Anteckningar
panel.tabs.wallet	Köp
panel.actions.book	Boka
panel.actions.bonus	Bonus
panel.editDateHint	Klicka för att redigera
panel.since	sedan {{date}}
panel.contacts.title	Kontaktuppgifter
panel.contacts.phone	Telefon
panel.contacts.email	E-post
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Födelsedatum
panel.contacts.city	Ort
panel.contacts.copyHint	 · klicka för att kopiera
panel.debt	{{amount}} obetalt för lektioner — ta emot betalningen i Journalen
panel.stats.visits	Besök
panel.stats.spent	Spenderat
panel.stats.subscription	Abonnemang
panel.loyalty.points	poäng
panel.loyalty.level	{{tier}}-nivå
panel.loyalty.toNext	Till nästa nivå: {{points}} poäng
panel.loyalty.multiplier	×{{value}} poängmultiplikator
panel.loyalty.worth	Värt {{amount}} i kassan
panel.loyalty.toNextLevel	{{amount}} till för att nå {{level}}
panel.loyalty.pointValue	1 poäng = {{amount}}
panel.loyalty.nextPointValue	på {{level}} — {{amount}}
panel.loyalty.noBonus	Den här nivån ändrar inte poängvärdet
panel.referral.title	Bjud in en vän
panel.referral.copy	Kopiera
panel.abonement.title	Abonnemang
panel.abonement.lessons	{{remaining}}/{{total}} lektioner
panel.abonement.noSubscription	Inget aktivt abonnemang
panel.abonement.noSubscriptionWarning	Kunden har inget abonnemang — erbjud ett
panel.abonement.lowWarning	Få lektioner kvar — erbjud förnyelse
panel.abonement.finishedWarning	Inga lektioner kvar — erbjud förnyelse
panel.abonement.remind	Påminn kunden
panel.abonement.reminderSent	Påminnelse skickad till kunden
panel.products.single	enstaka
panel.products.pending	köad
panel.products.frozen	fryst
panel.products.until	Gäller till {{date}}
panel.products.startsOnFirstVisit	Perioden börjar med första lektionen
panel.wallet.buy	Köp
panel.wallet.active	Aktiva
panel.wallet.archived	Arkiverade
panel.wallet.singles	Enstaka besök
panel.wallet.subscriptions	Abonnemang
panel.wallet.noSingles	Inga enstaka besök än
panel.wallet.emptyActive	Inga aktiva produkter
panel.wallet.emptyArchived	Inga arkiverade produkter
panel.wallet.emptyCatalog	Den här studion har inga abonnemangspaket ännu
panel.wallet.lessons	{{remaining}}/{{total}} lektioner
panel.wallet.lessonsCount_one	{{count}} lektion
panel.wallet.lessonsCount_other	{{count}} lektioner
panel.wallet.perVisit	Per enstaka besök
panel.wallet.until	till {{date}}
panel.wallet.frozenBadge	Fryst
panel.wallet.loadFailed	Kunde inte läsa in plånboken
panel.wallet.back	← Tillbaka
panel.wallet.catalogTitle	Katalog
panel.wallet.showAll	Alla
panel.wallet.posTitle	Kassa
panel.wallet.promoLabel	Kampanjkod
panel.wallet.promoPlaceholder	Ange kampanjkod
panel.wallet.promoInvalid	Kampanjkoden är ogiltig
panel.wallet.useBonuses_one	Använd bonus ({{count}})
panel.wallet.useBonuses_other	Använd bonus ({{count}})
panel.wallet.useDeposit	Betala från insättning ({{amount}})
panel.wallet.certLabel	Certifikatkod
panel.wallet.certPlaceholder	Ange certifikatkod
panel.wallet.certApplied	Certifikat
panel.wallet.depositApplied	Insättning
panel.wallet.base	Grundpris
panel.wallet.discount	Rabatt
panel.wallet.bonuses	Bonus
panel.wallet.bonusesSpent_one	Bonus ({{count}} p)
panel.wallet.bonusesSpent_other	Bonus ({{count}} p)
panel.wallet.total	Totalt
panel.wallet.cash	Kontant
panel.wallet.card	Kort
panel.wallet.cardStripe	Kortbetalningar går via en Stripe-sida och kommer direkt in på studions konto. Ställ in det under Ekonomi → Onlinebetalningar.
panel.wallet.offlineLocked	Kontantbetalningar är tillgängliga med Combo-planer och högre
panel.wallet.payByCard	Betala med kort
panel.wallet.confirmPay	Bekräfta betalning
panel.wallet.confirmPayCovered	Bekräfta (redan betalt)
panel.wallet.confirmTitle	Bekräfta mottagen betalning?
panel.wallet.confirmMessage	Detta registrerar en intäkt på {{amount}} och tilldelar produkten till kunden.
panel.wallet.confirmMessageCard	Ett Stripe-betalningsformulär för {{amount}} öppnas. Produkten tilldelas och intäkten registreras när betalningen lyckas.
panel.wallet.payToStudio	Betalningen kommer in på studions konto
panel.wallet.payConfirming	Verifierar betalning…
panel.wallet.close	Stäng
panel.wallet.confirmMessageCovered	Betalningen täcks helt av insättning eller certifikat. Produkten tilldelas kunden.
panel.wallet.paySuccess	Betalning registrerad
panel.wallet.payCancelled	Betalning avbruten — inget har debiterats
panel.wallet.payNotCompleted	Stripe har inte bekräftat betalningen ännu. Om kortet debiterades, uppdatera sidan om en minut.
panel.wallet.payNotApplied	Kortet debiterades men försäljningen kunde inte registreras: villkoren ändrades (certifikat, kampanjkod eller paket). Registrera försäljningen manuellt eller återbetala i Stripe.
panel.wallet.transfer	Överför
panel.wallet.transferTitle	Överför abonnemang
panel.wallet.transferSearchLabel	Överför till
panel.wallet.transferSearchPlaceholder	Kundens namn eller telefon
