== es
tabs.overview	Resumen
tabs.sales	Ventas
tabs.clients	Clientes
tabs.team	Equipo
tabs.schedule	Horario
toolbar.period.day	Día
toolbar.period.week	Semana
toolbar.period.month	Mes
toolbar.period.year	Año
toolbar.period.custom	Personalizado
toolbar.vsPrevious	frente al período anterior: {{from}}–{{to}}
toolbar.allBranches	Todas las sucursales
toolbar.allHalls	Todos los {{spacePlural}}
toolbar.allTrainers	Todos los entrenadores
toolbar.allServices	Todos los servicios
toolbar.export	Exportar
insights.title	Requiere atención
insights.action	Abrir
insights.empty	Todo está bien por ahora — no hay consejos que mostrar
insights.revenue_up_clients_down	Los ingresos suben, pero los clientes activos bajan — revisa la pérdida de clientes
insights.clients_at_risk	{{count}} cliente(s) no ha asistido en más de 3 semanas — riesgo de pérdida
insights.lesson_overfull	«{{name}}» el {{weekday, weekday}} a las {{hour}}:00 ha estado al {{pct}}% de ocupación durante tres semanas seguidas — considera añadir otra sesión
insights.trial_low_conversion	Solo el {{pct}}% de {{buyers}} compradores de prueba adquirió después una suscripción — considera una campaña
insights.fastest_growing_product	«{{name}}» crece más rápido: +{{pct}}% frente al período anterior
insights.renewals_low	Solo el {{pct}}% de los clientes con suscripción vencida renueva — considera un recordatorio
insights.new_no_second_visit	{{count}} clientes nuevos vinieron una vez y nunca reservaron de nuevo — considera un recordatorio
insights.subs_expiring_week	{{count}} clientes tienen una suscripción que vence esta semana — considera ofrecer una renovación
insights.vip_inactive	El cliente VIP «{{name}}» no ha visitado en {{days}} días — considera un mensaje personal
insights.high_return_free_evenings	«{{name}}» tiene una alta tasa de retorno ({{return_pct}}%), pero las tardes están libres — añade una sesión
insights.trainer_overloaded	«{{name}}» tiene una carga del {{load_pct}}% — considera equilibrar el horario
insights.low_rating	«{{name}}» tiene una valoración de {{rating}} — merece una revisión más detenida
insights.slot_chronic_low	«{{name}}» el {{weekday, isodowWeekday}} a las {{hour}}:00 ha estado al {{pct}}% de ocupación durante {{weeks}} semanas seguidas — muévelo o cancélalo
insights.hall_idle_evenings	«{{name}}» está inactivo el {{pct}}% de las horas de la tarde — considera programar una sesión
insights.slot_overfull	El horario de {{weekday, isodowWeekday}} a las {{hour}}:00 ha estado al {{pct}}% de ocupación durante tres semanas seguidas — considera añadir otra sesión
insights.loss_hotspot	Se cancelaron {{cancels}} sesiones a las {{label}} en este período — la mayoría de las cancelaciones se concentra en esta hora
table.loading	Cargando…
table.noProduct	Sin producto
empty.noData.title	Aún no hay nada aquí
empty.noData.text	No se registró actividad en el período seleccionado. Amplía el intervalo o comienza reservando un cliente en el Diario.
empty.noData.widen	Mostrar el año
empty.noRevenue	No hay pagos en este período
empty.noSales	No hay ventas en este segmento
empty.noProducts	Aún no se han vendido paquetes ni servicios
empty.noLessons	No hay sesiones en este período
empty.noTrainerLessons	Este entrenador aún no ha impartido sesiones
empty.noRows	No hay registros en este segmento
empty.noLosses	No hay cancelaciones ni ausencias en este período
overview.kpi.revenue	Ingresos
overview.kpi.profit	Beneficio
overview.kpi.attendance	Asistencia
overview.kpi.activeClients	Clientes activos
overview.kpi.fillRate	Tasa de ocupación
overview.chart.metric.revenue	Ingresos
overview.chart.metric.profit	Beneficio
overview.chart.metric.attendance	Asistencia
overview.chart.metric.new_clients	Clientes nuevos
overview.chart.metric.fill_rate	Tasa de ocupación
overview.revenueStructure.title	Estructura de ingresos
overview.category.subscriptions	Suscripciones
overview.category.services	Servicios
overview.category.certificates	Tarjetas regalo
overview.category.rent	Alquiler
overview.category.salary	Salarios
overview.category.refunds	Reembolsos
overview.clientDynamics.title	Dinámica de clientes
overview.clientDynamics.new	Nuevos
overview.clientDynamics.returned	Regresaron
overview.clientDynamics.lost	Perdidos
overview.drilldown.title	Operación
overview.drilldown.category	Categoría
overview.drilldown.amount	Importe
overview.drilldown.lesson	Sesión
overview.drilldown.time	Hora
overview.drilldown.occupancy	Ocupación
overview.drilldown.date	Fecha
overview.drilldown.method	Método
overview.drilldown.trainer	Entrenador
overview.drilldown.rowsCount	registros
overview.drilldown.search	Buscar en la tabla
overview.drilldown.shownOf	Mostrando {{shown}} de {{total}}
overview.drilldown.noMatches	No se encontró nada para «{{query}}»
overview.drilldown.reset	Restablecer
overview.drilldown.export	Exportar CSV
overview.drilldown.subtitle.money	Operaciones en este segmento
overview.drilldown.subtitle.lessons	Sesiones en este segmento
overview.drilldown.hint.operations	Haz clic en una fila para abrir la operación en Finanzas
overview.drilldown.hint.lessons	Haz clic en una fila para abrir ese día en el Diario
overview.drilldown.stat.net	Neto
overview.drilldown.stat.income	Ingreso
overview.drilldown.stat.expense	Gasto
overview.drilldown.stat.operations	Operaciones
overview.drilldown.stat.topCategory	Categoría principal
overview.drilldown.stat.lessons	Sesiones
overview.drilldown.stat.booked	Plazas reservadas
overview.drilldown.stat.avgFill	Ocupación media
overview.drilldown.stat.trainers	Entrenadores
overview.drilldown.stat.cancelled	Cancelado
sales.kpi.revenue	Ingresos
sales.kpi.salesCount	Ventas
sales.kpi.avgCheck	Ticket medio
sales.kpi.repeatShare	Porcentaje de recompras
sales.kpi.renewals	Tasa de renovación
sales.chart.title	Ventas
sales.incomeOperations	Operaciones de ingreso
sales.breakdown.byCategory	Qué compran
sales.breakdown.byMethod	Cómo pagan
sales.breakdown.buyerType	Quién compra
sales.breakdown.new	Nuevos
sales.breakdown.returning	Recurrentes
sales.breakdown.noClient	Sin cliente
sales.method.card	Tarjeta
sales.method.cash	Efectivo
sales.method.qr	Código QR
sales.method.transfer	Transferencia
sales.products.title	Productos
sales.products.name	Producto
sales.products.sold	Vendidos
sales.products.revenue	Ingresos
sales.products.avgCheck	Ticket medio
sales.products.repeatShare	Porcentaje de recompras
sales.products.trend	Tendencia
sales.products.trendHint	Comparado con el período anterior de la misma duración
clients.kpi.new	Nuevos
clients.kpi.returned	Regresaron
clients.kpi.lost	Perdidos
clients.kpi.retention	Retención
clients.kpi.avgValue	Valor del cliente
clients.chart.title	Nuevos frente a recurrentes
clients.chart.new	Nuevos
clients.chart.returned	Recurrentes
clients.riskTitle	Segmentos de riesgo
clients.loyalTitle	Fieles
clients.list	Lista
clients.campaign	Iniciar campaña
clients.exportList	Exportar lista
clients.emptySegment	El segmento «{{name}}» no tiene clientes ahora mismo
clients.segments.new.name	Clientes nuevos
clients.segments.new.desc	Registrados en el período seleccionado
clients.segments.returned.name	Clientes recurrentes
clients.segments.returned.desc	Visitaron este período y el anterior
clients.segments.lost.name	Clientes perdidos
clients.segments.lost.desc	Visitaron el período anterior, pero no volvieron en este
clients.segments.active.name	Clientes activos
clients.segments.active.desc	Asistieron al menos a una sesión en el período seleccionado
clients.segments.at_risk.name	En riesgo
clients.segments.at_risk.desc	Activos, pero sin visita durante 21+ días
clients.segments.vip_idle.name	VIP inactivos
clients.segments.vip_idle.desc	Clientes VIP sin visita durante 14+ días
clients.segments.expiring_subscription.name	Suscripción por vencer
clients.segments.expiring_subscription.desc	Quedan ≤2 sesiones o ≤7 días
clients.segments.lost_newcomers.name	Nunca volvieron
clients.segments.lost_newcomers.desc	Vinieron una vez, ausentes 14+ días
clients.segments.upsell_candidates.name	Listos para una mejora
clients.segments.upsell_candidates.desc	8+ visitas este mes, sin paquete
clients.segments.frequent.name	Frecuentes
clients.segments.frequent.desc	8+ visitas en el período
clients.segments.high_ltv.name	LTV alto
clients.segments.high_ltv.desc	El 10% superior por gasto acumulado
clients.segments.referrers.name	Referidores
clients.segments.referrers.desc	Completaron una recomendación en el período
clients.listSearch	Buscar por nombre o teléfono
clients.shownOf	Mostrando {{shown}} de {{total}}
clients.noMatches	No se encontró a nadie para «{{query}}»
clients.resetSearch	Restablecer
clients.neverVisited	Nunca visitó
clients.valueLabel.visits	Visitas
clients.valueLabel.spent	Gastado
clients.valueLabel.daysIdle	Días inactivo
clients.valueLabel.remaining	Sesiones restantes
clients.valueLabel.value	Valor
