== it
telegram.tokenLabel	Token del bot
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Formato del token non valido
telegram.verifyButton	Verifica e connetti
telegram.verifiedToast	Il bot @{{username}} è connesso
telegram.verifyFailedToast	Telegram ha rifiutato questo token
telegram.disconnect	Disconnetti
telegram.disconnectedToast	Il bot è disconnesso
telegram.disconnectConfirmTitle	Disconnettere il bot?
telegram.disconnectConfirmMessage	Il risponditore automatico di Telegram smetterà di funzionare finché non ricollegherai un bot.
telegram.gateTooltip	Collega prima un bot
telegram.statsPending	Comparirà quando il risponditore automatico inizierà a funzionare
telegram.instructionTitle	Come ottenere un token
telegram.instructionStep1	Apri @BotFather in Telegram
telegram.instructionStep2	Invia il comando /newbot, quindi scegli nome e nome utente per il bot
telegram.instructionStep3	Copia il token ricevuto
telegram.instructionStep4	Incollalo qui e fai clic su "Verifica e connetti"
instagram.connectButton	Connetti Instagram
instagram.connectedToast	Instagram è connesso
instagram.connectErrorToast	Impossibile connettere Instagram — riprova
instagram.expiresUntil	Accesso valido fino al {{date}}
instagram.disconnect	Disconnetti
instagram.disconnectedToast	Instagram è disconnesso
instagram.disconnectConfirmTitle	Disconnettere Instagram?
instagram.disconnectConfirmMessage	Il risponditore automatico di Instagram smetterà di rispondere ai clienti finché non ricollegherai l’account.
instagram.gateTooltip	Collega prima un account
instagram.statsPending	Comparirà quando il risponditore automatico inizierà a funzionare
instagram.instructionTitle	Come connettersi
instagram.instructionStep1	L’account dello studio deve essere professionale — Business o Creator (Impostazioni Instagram → Tipo di account)
instagram.instructionStep2	Fai clic su "Connetti Instagram" e accedi con l’account dello studio
instagram.instructionStep3	Consenti l’accesso ai messaggi
instagram.instructionStep4	Tornerai qui automaticamente
whatsapp.numberLabel	Numero WhatsApp Business
whatsapp.connectLink	oppure inserisci un token manualmente
whatsapp.gateTooltip	Collega prima un numero WhatsApp
whatsapp.statsPending	Comparirà quando il risponditore automatico inizierà a funzionare
whatsapp.instructionTitle	Come connettersi
whatsapp.instructionStep1	Fai clic su “Connetti WhatsApp” — si aprirà una finestra Meta
whatsapp.instructionStep2	Accedi a Facebook, scegli un account aziendale e un numero (o aggiungine uno), quindi confermalo con il codice
whatsapp.instructionStep3	Il numero si collega una sola volta — sarà usato anche per le notifiche ai clienti; torna qui e attiva il risponditore automatico
whatsapp.connectButton	Connetti WhatsApp
whatsapp.connectedToast	Il numero WhatsApp è connesso
whatsapp.connectErrorToast	Impossibile connettere il numero WhatsApp
whatsapp.disconnect	Disconnetti
whatsapp.disconnectedToast	WhatsApp è disconnesso
whatsapp.disconnectConfirmTitle	Disconnettere WhatsApp?
whatsapp.disconnectConfirmMessage	Il numero verrà disconnesso anche dalle notifiche e integrazioni dello studio.
history.title	Cronologia chat
history.empty	Inizia la tua prima conversazione
history.today	Oggi
history.yesterday	Ieri
history.earlier	Prima
history.messagesCount_one	{{count}} messaggio
history.messagesCount_other	{{count}} messaggi
history.deleteConfirmTitle	Eliminare questa chat?
history.deleteConfirmMessage	Tutti i messaggi di questa conversazione verranno eliminati definitivamente.
actions.newChat	Nuova chat
actions.deleteChat	Elimina chat
actions.confirmTitle	Conferma l’azione
actions.confirm	Conferma
actions.cancel	Annulla
actions.cancelled	Azione annullata.
actions.done	Completato {{date}}
actions.effect	Cosa cambia
actions.undo	Annulla modifica
actions.undoTitle	Annullare questa azione?
actions.undoMessage	Ripristinerò ciò che è stato fatto: {{action}}. Le lezioni già prenotate dai clienti resteranno — solo una persona può rimuoverle.
actions.args.lesson_id	Lezione
actions.args.client_id	Cliente
actions.args.reservation_id	Prenotazione
actions.args.alternate_with	In alternanza con
actions.args.service_id	Servizio
actions.args.teacher_id	Istruttore
actions.args.hall_id	Sala
actions.args.start_time	Inizia
actions.args.duration_min	Durata, min
actions.args.total_spots	Posti
actions.args.price	Prezzo
actions.args.name	Nome
actions.args.last_name	Cognome
actions.args.phone	Telefono
actions.args.email	E-mail
actions.args.city	Città
actions.args.birth_date	Data di nascita
actions.args.source	Origine
actions.args.frozen	Sospeso
actions.args.date_from	Dal
actions.args.date_to	Al
actions.args.weekdays	Giorni della settimana
actions.args.time_from	Dalle
actions.args.time_to	Alle
actions.args.break_at	Pausa alle
actions.args.break_min	Pausa, min
actions.args.extend_hours	Estendi l’orario dell’istruttore
actions.args.salary	Stipendio
actions.args.access_role	Accesso
actions.args.department	Ruolo
actions.args.password	Password del dipendente
actions.args.rate	Tariffa
actions.args.rate_type	Tipo di pagamento
actions.args.service_ids	Servizi
actions.args.schedule	Orario
actions.bool.yes	sì
actions.bool.no	no
settings.title	Impostazioni AI
settings.model	Modello
settings.language	Lingua
models.comingSoon	Prossimamente
models.velora-3.5	Velora AI 3.5
languages.auto	Automatico
languages.ru	Russo
languages.en	Inglese
languages.uk	Ucraino
languages.cs	Ceco
languages.de	Tedesco
chat.thinking	Velora AI sta pensando
chat.thinkingAnswer	Velora AI sta elaborando la risposta
chat.readyTitle	Velora AI è pronto ad aiutarti
chat.thinkingTitle	Velora AI sta pensando...
chat.readySubtitle	Fai una domanda o scegli un suggerimento
chat.thinkingSubtitle	Elaborazione della tua richiesta
chat.placeholder	Scrivi un messaggio...
chat.drawerPlaceholder	Chiedimi qualsiasi cosa...
chat.navbarPlaceholder	Chiedi all’AI o imposta un’attività...
chat.enterToSend	Invio per inviare
chat.shiftEnterNewline	Maiusc+Invio per una nuova riga
chat.aiDisclaimer	Velora AI può commettere errori. Controlla le informazioni importanti.
chat.continueInChat	Continua nella chat →
chat.emptyTitle	Come posso aiutarti?
chat.emptySubtitle	Fai una domanda sul tuo studio, sui clienti o sulla tua attività
chat.charCount_one	{{count}} / 4000 carattere
chat.charCount_other	{{count}} / 4000 caratteri
chat.suggestions.revenue	Mostra le statistiche delle entrate di questo mese
chat.suggestions.sms	Scrivi un SMS di promemoria per un appuntamento
chat.suggestions.promo	Idee per una promozione estiva
chat.suggestions.retention	Come posso migliorare la fidelizzazione dei clienti?
chat.drawerSuggestions.revenueAnalysis	Analisi delle entrate
chat.drawerSuggestions.emailTemplate	Modello e-mail
chat.drawerSuggestions.promoIdeas	Idee promozionali
chat.drawerSuggestions.clientReport	Report cliente
drawer.historyBack	Chat
drawer.historyLabel	Cronologia
agents.title	Agenti AI
