== el
telegram.tokenLabel	Διακριτικό bot
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Μη έγκυρη μορφή διακριτικού
telegram.verifyButton	Επαλήθευση και σύνδεση
telegram.verifiedToast	Το bot @{{username}} συνδέθηκε
telegram.verifyFailedToast	Το Telegram απέρριψε αυτό το διακριτικό
telegram.disconnect	Αποσύνδεση
telegram.disconnectedToast	Το bot αποσυνδέθηκε
telegram.disconnectConfirmTitle	Αποσύνδεση του bot;
telegram.disconnectConfirmMessage	Η αυτόματη απάντηση του Telegram θα σταματήσει να λειτουργεί μέχρι να συνδέσετε ξανά ένα bot.
telegram.gateTooltip	Συνδέστε πρώτα ένα bot
telegram.statsPending	Θα εμφανιστεί μόλις αρχίσει να λειτουργεί η αυτόματη απάντηση
telegram.instructionTitle	Πώς να λάβετε διακριτικό
telegram.instructionStep1	Ανοίξτε το @BotFather στο Telegram
telegram.instructionStep2	Στείλτε την εντολή /newbot και επιλέξτε όνομα και όνομα χρήστη για το bot
telegram.instructionStep3	Αντιγράψτε το διακριτικό που θα λάβετε
telegram.instructionStep4	Επικολλήστε το εδώ και πατήστε «Επαλήθευση και σύνδεση»
instagram.connectButton	Σύνδεση Instagram
instagram.connectedToast	Το Instagram συνδέθηκε
instagram.connectErrorToast	Δεν ήταν δυνατή η σύνδεση του Instagram — δοκιμάστε ξανά
instagram.expiresUntil	Η πρόσβαση ισχύει έως {{date}}
instagram.disconnect	Αποσύνδεση
instagram.disconnectedToast	Το Instagram αποσυνδέθηκε
instagram.disconnectConfirmTitle	Αποσύνδεση Instagram;
instagram.disconnectConfirmMessage	Η αυτόματη απάντηση του Instagram θα σταματήσει να απαντά στους πελάτες μέχρι να συνδέσετε ξανά τον λογαριασμό.
instagram.gateTooltip	Συνδέστε πρώτα έναν λογαριασμό
instagram.statsPending	Θα εμφανιστεί μόλις αρχίσει να λειτουργεί η αυτόματη απάντηση
instagram.instructionTitle	Πώς να συνδεθείτε
instagram.instructionStep1	Ο λογαριασμός του στούντιο πρέπει να είναι επαγγελματικός — Business ή Creator (Ρυθμίσεις Instagram → Τύπος λογαριασμού)
instagram.instructionStep2	Πατήστε «Σύνδεση Instagram» και συνδεθείτε με τον λογαριασμό του στούντιο
