== fr
telegram.tokenLabel	Jeton du bot
telegram.tokenPlaceholder	1234567890:ABC...
telegram.tokenInvalidFormat	Format de jeton non valide
telegram.verifyButton	Vérifier et connecter
telegram.verifiedToast	Le bot @{{username}} est connecté
telegram.verifyFailedToast	Telegram a refusé ce jeton
telegram.disconnect	Déconnecter
telegram.disconnectedToast	Le bot est déconnecté
telegram.disconnectConfirmTitle	Déconnecter le bot ?
telegram.disconnectConfirmMessage	Le répondeur automatique Telegram cessera de fonctionner jusqu’à ce que vous reconnectiez un bot.
telegram.gateTooltip	Connectez d’abord un bot
telegram.statsPending	S’affichera une fois que le répondeur automatique sera actif
telegram.instructionTitle	Comment obtenir un jeton
telegram.instructionStep1	Ouvrez @BotFather dans Telegram
telegram.instructionStep2	Envoyez la commande /newbot, puis choisissez un nom et un identifiant pour le bot
telegram.instructionStep3	Copiez le jeton reçu
telegram.instructionStep4	Collez-le ici et cliquez sur « Vérifier et connecter »
instagram.connectButton	Connecter Instagram
instagram.connectedToast	Instagram est connecté
instagram.connectErrorToast	Impossible de connecter Instagram — veuillez réessayer
instagram.expiresUntil	Accès valable jusqu’au {{date}}
instagram.disconnect	Déconnecter
instagram.disconnectedToast	Instagram est déconnecté
instagram.disconnectConfirmTitle	Déconnecter Instagram ?
instagram.disconnectConfirmMessage	Le répondeur automatique Instagram cessera de répondre aux clients jusqu’à ce que vous reconnectiez le compte.
instagram.gateTooltip	Connectez d’abord un compte
instagram.statsPending	S’affichera une fois que le répondeur automatique sera actif
instagram.instructionTitle	Comment se connecter
instagram.instructionStep1	Le compte du studio doit être professionnel — Business ou Creator (Paramètres Instagram → Type de compte)
instagram.instructionStep2	Cliquez sur « Connecter Instagram » et connectez-vous avec le compte du studio
instagram.instructionStep3	Autorisez l’accès aux messages
instagram.instructionStep4	Vous reviendrez ici automatiquement
whatsapp.numberLabel	Numéro WhatsApp Business
whatsapp.connectLink	ou saisissez un jeton manuellement
whatsapp.gateTooltip	Connectez d’abord un numéro WhatsApp
whatsapp.statsPending	S’affichera une fois que le répondeur automatique sera actif
whatsapp.instructionTitle	Comment se connecter
whatsapp.instructionStep1	Cliquez sur « Connecter WhatsApp » — une fenêtre Meta s’ouvrira
whatsapp.instructionStep2	Connectez-vous à Facebook, choisissez un compte professionnel et un numéro (ou ajoutez-en un), puis confirmez-le avec le code
whatsapp.instructionStep3	Le numéro est connecté une fois — il servira aussi aux notifications clients ; revenez ici et activez le répondeur automatique
whatsapp.connectButton	Connecter WhatsApp
whatsapp.connectedToast	Le numéro WhatsApp est connecté
whatsapp.connectErrorToast	Impossible de connecter le numéro WhatsApp
whatsapp.disconnect	Déconnecter
whatsapp.disconnectedToast	WhatsApp est déconnecté
whatsapp.disconnectConfirmTitle	Déconnecter WhatsApp ?
whatsapp.disconnectConfirmMessage	Le numéro sera aussi déconnecté des notifications et intégrations du studio.
history.title	Historique des discussions
history.empty	Commencez votre première conversation
history.today	Aujourd’hui
history.yesterday	Hier
history.earlier	Plus tôt
history.messagesCount_one	{{count}} message
history.messagesCount_other	{{count}} messages
