== da
tabs.overview	Oversigt
tabs.sales	Salg
tabs.clients	Kunder
tabs.team	Team
tabs.schedule	Kalender
toolbar.period.day	Dag
toolbar.period.week	Uge
toolbar.period.month	Måned
toolbar.period.year	År
toolbar.period.custom	Brugerdefineret
toolbar.vsPrevious	sammenlignet med forrige periode: {{from}}–{{to}}
toolbar.allBranches	Alle afdelinger
toolbar.allHalls	Alle {{spacePlural}}
toolbar.allTrainers	Alle trænere
toolbar.allServices	Alle ydelser
toolbar.export	Eksportér
insights.title	Kræver opmærksomhed
insights.action	Åbn
insights.empty	Alt ser godt ud lige nu — ingen anbefalinger at vise
insights.revenue_up_clients_down	Omsætningen stiger, men antallet af aktive kunder falder — undersøg kundefrafald
insights.clients_at_risk	{{count}} kunde(r) har ikke deltaget i over 3 uger — risiko for frafald
insights.lesson_overfull	"{{name}}" {{weekday, weekday}} kl. {{hour}}:00 har været {{pct}} % fyldt tre uger i træk — overvej at tilføje et hold mere
insights.trial_low_conversion	Kun {{pct}} % af {{buyers}} prøveforløbskøbere købte efterfølgende et abonnement — overvej en kampagne
insights.fastest_growing_product	"{{name}}" vokser hurtigst: +{{pct}} % sammenlignet med forrige periode
insights.renewals_low	Kun {{pct}} % af kunder med et udløbet abonnement fornyer — overvej en påmindelse
insights.new_no_second_visit	{{count}} nye kunder kom én gang og bookede aldrig igen — overvej en påmindelse
insights.subs_expiring_week	{{count}} kunder har et abonnement, der udløber i denne uge — overvej at tilbyde fornyelse
insights.vip_inactive	VIP-kunden "{{name}}" har ikke besøgt jer i {{days}} dage — overvej en personlig besked
insights.high_return_free_evenings	"{{name}}" har en høj tilbagevendingsrate ({{return_pct}} %), men ledige aftener — tilføj et hold
insights.trainer_overloaded	"{{name}}" er belastet {{load_pct}} % — overvej at omfordele kalenderen
insights.low_rating	"{{name}}" har en vurdering på {{rating}} — det er værd at se nærmere på
insights.slot_chronic_low	"{{name}}" {{weekday, isodowWeekday}} kl. {{hour}}:00 har været {{pct}} % fyldt i {{weeks}} uger i træk — flyt eller aflys det
insights.hall_idle_evenings	"{{name}}" står tomt {{pct}} % af aftentimerne — overvej at planlægge et hold
insights.slot_overfull	Tidspunktet {{weekday, isodowWeekday}} kl. {{hour}}:00 har været {{pct}} % fyldt tre uger i træk — overvej at tilføje et hold mere
insights.loss_hotspot	{{cancels}} hold blev aflyst {{label}} i denne periode — de fleste aflysninger samler sig om denne time
table.loading	Indlæser…
table.noProduct	Intet produkt
empty.noData.title	Der er ikke noget her endnu
empty.noData.text	Der blev ikke registreret aktivitet i den valgte periode. Udvid perioden, eller begynd med at booke en kunde i Journalen.
empty.noData.widen	Vis året
empty.noRevenue	Ingen betalinger i denne periode
empty.noSales	Intet salg i dette udsnit
empty.noProducts	Ingen pakker eller ydelser solgt endnu
empty.noLessons	Ingen hold i denne periode
empty.noTrainerLessons	Denne træner har ikke afholdt nogen hold endnu
empty.noRows	Ingen poster i dette udsnit
empty.noLosses	Ingen aflysninger eller udeblivelser i denne periode
overview.kpi.revenue	Omsætning
overview.kpi.profit	Overskud
overview.kpi.attendance	Fremmøde
overview.kpi.activeClients	Aktive kunder
overview.kpi.fillRate	Belægningsgrad
overview.chart.metric.revenue	Omsætning
overview.chart.metric.profit	Overskud
overview.chart.metric.attendance	Fremmøde
