== sq
nav.product	Produkti
nav.modules	Modulet
nav.pricing	Çmimet
nav.faq	Pyetjet e shpeshta
nav.login	Hyni
nav.startShort	Filloni
nav.startFull	Filloni falas
nav.language	Gjuha
hero.badge	Standardi i ri CRM për vitin 2026
hero.title	Një CRM që do ta\\n*donit* ta përdornit
hero.lead	CRM premium B2B për studio yoga dhe pilates. Rezervime, klientë, ekip dhe financa në një vend. Pa klikime të panevojshme, pa ngatërresë.
hero.cta	Provojeni falas për 30 ditë
hero.perks.0	30 ditë falas
hero.perks.1	Pa kartë
hero.perks.2	Anulojeni me një klik
marquee.0	Orari
marquee.1	Klientët
marquee.2	Anëtarësimet
marquee.3	Rezervimet online
marquee.4	Financat
marquee.5	Pagat
marquee.6	Njoftimet
marquee.7	Besnikëria
marquee.8	Raportet
marquee.9	Velora AI
marquee.10	Aplikacioni i klientit
marquee.11	Rolet dhe qasja
stats.items.0.value	30 ditë
stats.items.0.label	Falas, pa kartë
stats.items.1.value	16
stats.items.1.label	module në çdo plan
stats.items.2.value	4
stats.items.2.label	kanale rezervimi online
stats.items.3.value	nga 15 €
stats.items.3.label	për muaj, për studio
stats.trust.0	Të dhënat tuaja mbeten tuajat
stats.trust.1	Rolet zbatohen edhe në server
stats.trust.2	Eksport CSV kurdoherë
stats.trust.3	Fshirje me kërkesë
compare.label	dallimi
compare.title	Hoqëm atë që\\nju pengonte
compare.lead	Velora lindi nga përvoja jonë: drejtonim studio dhe çdo ditë ndesheshim me të njëjtin mur — një CRM ku duheshin nëntë klikime për të rezervuar një klient. Ja çfarë ndryshoi.
compare.usual	Mënyra e zakonshme
compare.velora	Në Velora
compare.pairs.0.bad	Për të rezervuar një klient, largoheni nga orari për një ekran tjetër dhe pastaj ktheheni
compare.pairs.0.good	Rezervimet dhe klientët e rinj krijohen drejtpërdrejt në orar
compare.pairs.1.bad	Raportet eksportohen në Excel dhe përputhen me dorë
compare.pairs.1.good	Raporte live sipas trajnerit dhe shërbimit, me eksport për çdo periudhë
compare.pairs.2.bad	Njoftimet janë një shërbim i veçantë për të cilin paguani veçmas
compare.pairs.2.good	Telegram, email dhe WhatsApp janë të integruara me një matricë ngjarje × kanal
compare.pairs.3.bad	Një trajner mund të shohë orarin dhe bazën e klientëve të të gjithëve të tjerëve
compare.pairs.3.good	Rolet e kufizojnë qasjen si në ndërfaqe, ashtu edhe në server
compare.pairs.4.bad	Një asistent? Në rastin më të mirë, kërkim klientësh
compare.pairs.4.good	Velora AI u përgjigjet pyetjeve për biznesin tuaj — dhe pyetjeve të klientëve tuaj në Telegram dhe Instagram
showcase.label	gjithçka në një vend
showcase.title	Një platformë në vend të\\ndhjetëra shërbimeve
showcase.lead	Rezervime, klientë, para, komunikim dhe AI në një ndërfaqe të vetme. Asnjë modul i tepërt: çdo pamje zgjidh një problem real të pronarit.
showcase.blocks.journal.title	Orari juaj
showcase.blocks.journal.lead	Rrjetë ditore ku trajnerët janë kolona dhe orët janë rreshta. Këtu ndodh gjithçka që bën administratori.
showcase.blocks.journal.points.0	Tërhiqni një klasë në një orar tjetër — ose te një trajner tjetër
showcase.blocks.journal.points.1	Krijoni klasa dhe klientë të rinj pa dalë nga orari
showcase.blocks.journal.points.2	Përmbledhja e ditës është pranë: zënia e sallave dhe të ardhurat
showcase.blocks.booking.title	Rezervimet tuaja online
showcase.blocks.booking.lead	Katër kanale ku klientët rezervojnë vetë, në çdo kohë dhe pa administrator.
showcase.blocks.booking.points.0	Widget në faqe, Telegram, WhatsApp dhe Instagram — secili konfigurohet veçmas
showcase.blocks.booking.points.1	Rregulla: sa orë para fillimit mbyllet rezervimi dhe deri kur klienti mund të anulojë
showcase.blocks.booking.points.2	Markimi i aplikacionit të klientit me parapamje live — ngjyra dhe gjuha që i përshtaten markës suaj
showcase.blocks.finance.title	Financat tuaja
showcase.blocks.finance.lead	Llogari, transaksione, paga dhe dokumente në një vend, pa eksport në tabela llogaritëse.
showcase.blocks.finance.points.0	Arkë, llogari bankare dhe pranime me kartë me saldo dhe lëvizje ditore
showcase.blocks.finance.points.1	Anëtarësime, karta dhuratë dhe rimbursime të lidhura me një klient dhe llogari
showcase.blocks.finance.points.2	Pagat e trajnerëve të llogaritura sipas rregullave tuaja
showcase.blocks.notify.title	Njoftimet tuaja
showcase.blocks.notify.lead	Tri kanale dërgimi dhe një matricë ku vendosni çfarë dërgohet dhe ku.
showcase.blocks.notify.points.0	Telegram, email dhe WhatsApp — secili lidhet me çelësin e vet të studios
showcase.blocks.notify.points.1	Një grup i veçantë ngjarjesh për klientin, trajnerin, administratorin dhe pronarin
showcase.blocks.notify.points.2	Kujtesa 24 dhe 2 orë përpara, „mbeten 1–2 klasa”, ditëlindje dhe kërkesa për vlerësim
showcase.blocks.ai.title	Shtresa juaj AI
showcase.blocks.ai.lead	Asistenti e njeh kontekstin e biznesit dhe është në çdo faqe — agjentët u përgjigjen vetë klientëve.
showcase.blocks.ai.points.0	Pyesni për studion nga shiriti i sipërm, pa hapur një seksion tjetër
showcase.blocks.ai.points.1	Agjentë AI në Telegram dhe Instagram: toni i komunikimit dhe mënyra „vetëm jashtë orarit të punës”
showcase.blocks.ai.points.2	Statistika: sa biseda u trajtuan dhe si u vlerësuan
ctaStrip.title	Provojeni pa migrim të të dhënave dhe pa pagesë paraprake
ctaStrip.button	Filloni falas
ctaStrip.note	30 ditë falas • Pa kartë • Ndihmë për fillimin
modules.label	modulet
modules.title	16 module,\\ntashmë të përfshira
modules.lead	Jo një koleksion vendmbajtësish „së shpejti” — gjithçka e listuar funksionon dhe përfshihet në plan. Rolet vendosin kush e sheh secilin seksion.
modules.items.dashboard.title	Pasqyrë
modules.items.dashboard.desc	Të ardhura, klientë aktivë, rezervime dhe besnikëria e klientëve — me trende
modules.items.journal.title	Orari
modules.items.journal.desc	Rrjetë ditore sipas trajnerit dhe sallës, tërhiqeni për ta ricaktuar
modules.items.clients.title	Klientët
modules.items.clients.desc	Profili, anëtarësime, pikë, histori, shënime, etiketa
modules.items.staff.title	Ekipi
modules.items.staff.desc	Profile, tregues, orari i punës, caktime sallash
modules.items.catalog.title	Katalogu
