== hu
categories.all	Összes
categories.vip	VIP
categories.active	Aktív
categories.new	Új
categories.has_subscription	Bérlettel
categories.inactive	Inaktív
categories.frozen	Felfüggesztett
categories.birthday	Születésnap
categoriesInfo.all.text	A stúdió teljes ügyféllistája, állapotszűrő nélkül.
categoriesInfo.vip.text	Sikeres fizetések összesen 50 000+ értékben vagy 30+ látogatás. A VIP kézzel is rögzíthető az ügyfélkártyán; a kézi rögzítés az összegektől függetlenül megmarad.
categoriesInfo.active.text	Legalább egy látogatás az elmúlt 60 napban. A naplóban jelölt jelenléten alapul — az állapot magától frissül, nem kell kézzel beállítani.
categoriesInfo.new.text	A regisztráció dátumától számított első 15 nap, függetlenül attól, hogy az ügyfelet kézzel adták hozzá vagy online foglalásból érkezett. A 16. napon automatikusan Aktív vagy Inaktív lesz.
categoriesInfo.has_subscription.text	Érvényes bérlete van: nem járt le, nincs felfüggesztve, és maradt még alkalom. Azonnal frissül vásárláskor, minden felhasznált alkalom után és lejáratkor.
categoriesInfo.inactive.text	Nincs látogatása az elmúlt 60 napban — vagy soha nem látogatott el, és több mint 15 nap telt el a regisztráció óta.
categoriesInfo.frozen.text	Az ügyfélkártya gombjával felfüggesztve — ez az egyetlen kézzel beállított állapot. Feloldás után az ügyfél visszatér az automatikus állapotához.
categoriesInfo.birthday.text	Akiknek ma van a születésnapjuk — a nap és a hónap egyezik, az év nem számít. A lista minden nap automatikusan frissül.
status.active	Aktív
status.vip	VIP
status.new	Új
status.inactive	Inaktív
status.frozen	Felfüggesztett
filtersGuide.trigger	A szűrőkről
filtersGuide.title	Ügyfélszűrők
filtersGuide.subtitle	Így számítjuk ki az egyes kategóriákat. Kattintson egy kártyára a szűrő alkalmazásához, vagy módosítson egy küszöbértéket — az állapotok azonnal újraszámolódnak.
filtersGuide.close	Bezárás
filtersGuide.rule.new_client_days	Új ennyi ideig:
filtersGuide.rule.active_within_days	Látogatás ennyi időn belül:
filtersGuide.rule.vip_min_spent	Elköltött összeg ettől:
filtersGuide.rule.vip_min_visits	vagy látogatások
filtersGuide.unit.days	nap
filtersGuide.unit.money	
filtersGuide.unit.visits	látogatás
toolbar.searchPlaceholder	Ügyfél keresése…
toolbar.addClient	Ügyfél hozzáadása
table.visits	látogatás
table.frozenBadge	❄ felfüggesztve
table.totalSpent	Összes költés
table.subscription	Bérlet
table.of	/
table.noSubscription	Nincs bérlet
loadMore	Több betöltése
loading	Betöltés…
panel.tabs.info	Profil
panel.tabs.events	Események
panel.tabs.notes	Jegyzetek
panel.tabs.wallet	Vásárlások
panel.actions.book	Foglalás
panel.actions.bonus	Bónusz
panel.editDateHint	Kattintson a szerkesztéshez
panel.since	{{date}} óta
panel.contacts.title	Kapcsolat
panel.contacts.phone	Telefon
panel.contacts.email	E-mail
panel.contacts.telegram	Telegram
panel.contacts.birthDate	Születési dátum
panel.contacts.city	Város
panel.contacts.copyHint	 · kattintson a másoláshoz
panel.debt	{{amount}} kifizetetlen az alkalmakért — fogadja el a fizetést a Naplóban
panel.stats.visits	Látogatások
panel.stats.spent	Elköltve
panel.stats.subscription	Bérlet
panel.loyalty.points	pont
panel.loyalty.level	{{tier}} szint
panel.loyalty.toNext	A következő szintig: {{points}} pont
panel.loyalty.multiplier	×{{value}} pontos szorzó
panel.loyalty.worth	Értéke fizetéskor: {{amount}}
panel.loyalty.toNextLevel	Még {{amount}} a(z) {{level}} eléréséhez
panel.loyalty.pointValue	1 pont = {{amount}}
panel.loyalty.nextPointValue	a(z) {{level}} szinten — {{amount}}
panel.loyalty.noBonus	Ez a szint nem változtatja meg a pont értékét
panel.referral.title	Barát meghívása
panel.referral.copy	Másolás
panel.abonement.title	Bérlet
panel.abonement.lessons	{{remaining}}/{{total}} alkalom
panel.abonement.noSubscription	Nincs aktív bérlet
panel.abonement.noSubscriptionWarning	Az ügyfélnek nincs bérlete — ajánljon fel egyet
panel.abonement.lowWarning	Kevés alkalom maradt — ajánljon fel hosszabbítást
panel.abonement.finishedWarning	Nincs több alkalom — ajánljon fel hosszabbítást
panel.abonement.remind	Ügyfél emlékeztetése
panel.abonement.reminderSent	Emlékeztető elküldve az ügyfélnek
panel.products.single	egyszeri
panel.products.pending	várakozó
panel.products.frozen	felfüggesztett
panel.products.until	Érvényes {{date}}-ig
panel.products.startsOnFirstVisit	Az időszak az első alkalommal kezdődik
panel.wallet.buy	Vásárlás
panel.wallet.active	Aktív
panel.wallet.archived	Archivált
panel.wallet.singles	Egyszeri látogatások
panel.wallet.subscriptions	Bérletek
panel.wallet.noSingles	Még nincsenek egyszeri látogatások
panel.wallet.emptyActive	Nincsenek aktív termékek
panel.wallet.emptyArchived	Nincsenek archivált termékek
panel.wallet.emptyCatalog	Ennek a stúdiónak még nincsenek bérletcsomagjai
panel.wallet.lessons	{{remaining}}/{{total}} alkalom
panel.wallet.lessonsCount_one	{{count}} alkalom
panel.wallet.lessonsCount_other	{{count}} alkalom
panel.wallet.perVisit	Egyszeri látogatásonként
panel.wallet.until	{{date}}-ig
panel.wallet.frozenBadge	Felfüggesztett
panel.wallet.loadFailed	A pénztárca betöltése nem sikerült
panel.wallet.back	← Vissza
panel.wallet.catalogTitle	Katalógus
panel.wallet.showAll	Összes
panel.wallet.posTitle	Pénztár
panel.wallet.promoLabel	Promóciós kód
panel.wallet.promoPlaceholder	Adja meg a promóciós kódot
panel.wallet.promoInvalid	A promóciós kód érvénytelen
panel.wallet.useBonuses_one	Bónuszok felhasználása ({{count}})
panel.wallet.useBonuses_other	Bónuszok felhasználása ({{count}})
panel.wallet.useDeposit	Fizetés letétből ({{amount}})
panel.wallet.certLabel	Utalványkód
panel.wallet.certPlaceholder	Adja meg az utalványkódot
panel.wallet.certApplied	Utalvány
panel.wallet.depositApplied	Letét
panel.wallet.base	Alapár
panel.wallet.discount	Kedvezmény
panel.wallet.bonuses	Bónuszok
panel.wallet.bonusesSpent_one	Bónuszok ({{count}} p.)
panel.wallet.bonusesSpent_other	Bónuszok ({{count}} p.)
panel.wallet.total	Összesen
panel.wallet.cash	Készpénz
panel.wallet.card	Kártya
panel.wallet.cardStripe	A kártyás fizetések egy Stripe-oldalon keresztül közvetlenül a stúdió számlájára érkeznek. Állítsa be a Pénzügyek → Online fizetések menüpontban.
panel.wallet.offlineLocked	A készpénzes fizetés a Combo és magasabb csomagokban érhető el
panel.wallet.payByCard	Fizetés kártyával
panel.wallet.confirmPay	Fizetés megerősítése
panel.wallet.confirmPayCovered	Megerősítés (már fizetve)
panel.wallet.confirmTitle	Megerősíti a beérkezett fizetést?
panel.wallet.confirmMessage	Ez {{amount}} bevételt rögzít, és átadja a terméket az ügyfélnek.
panel.wallet.confirmMessageCard	Megnyílik egy Stripe fizetési űrlap {{amount}} összeggel. A termék átadása és a bevétel rögzítése sikeres fizetés után történik.
panel.wallet.payToStudio	A fizetés a stúdió számlájára érkezik
panel.wallet.payConfirming	Fizetés ellenőrzése…
panel.wallet.close	Bezárás
panel.wallet.confirmMessageCovered	A fizetést teljesen fedezi a letét vagy az utalvány. A terméket átadjuk az ügyfélnek.
panel.wallet.paySuccess	Fizetés rögzítve
panel.wallet.payCancelled	A fizetés megszakítva — nem történt terhelés
panel.wallet.payNotCompleted	A Stripe még nem erősítette meg a fizetést. Ha a kártyát megterhelték, frissítsen egy perc múlva.
panel.wallet.payNotApplied	A kártyát megterhelték, de az értékesítést nem lehetett rögzíteni: a feltételek megváltoztak (utalvány, promóciós kód vagy csomag). Rögzítse kézzel az értékesítést, vagy térítsen vissza a Stripe-ban.
panel.wallet.transfer	Átruházás
panel.wallet.transferTitle	Bérlet átruházása
